PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,(RV) Ursinus,K,FMC,1,,,,,,,KO,Return,,,,,,,,,Luke Dauberman,,,,,,,Tony Holden,20,22.0,J. Rodenberger,63.0,2.0,Return,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,(RV) Ursinus,D,UC,1,,1.0,1.0,0.0,10.0,-22.0,Run,Rush,3.0,Samuel Ragland,,,,,,,Thomas Downs,Tom Papa,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
3,(RV) Ursinus,D,UC,1,,1.0,2.0,2.0,7.0,-25.0,Run,Rush,9.0,Tony Holden,,,,,,,Colin Lavigne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
4,(RV) Ursinus,D,UC,1,,1.0,3.0,1.0,10.0,-34.0,Run,Rush,-1.0,Tony Holden,,,,,,,Kevonte Beard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
5,(RV) Ursinus,D,UC,1,,1.0,4.0,2.0,11.0,-33.0,Pass,Complete,9.0,,Jack Psenicska,Complete,Kevin DePrince,,,,Peter Orio,Kell Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
6,(RV) Ursinus,D,UC,1,,1.0,5.0,3.0,2.0,-42.0,Run,Rush,4.0,Samuel Ragland,,,,,,,Calvin Krippner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
7,(RV) Ursinus,D,UC,1,,1.0,6.0,1.0,10.0,-46.0,Run,Rush,5.0,Samuel Ragland,,,,,,,Luke Dauberman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
8,(RV) Ursinus,D,UC,1,,1.0,7.0,2.0,5.0,49.0,Run,Rush,-1.0,Samuel Ragland,,,,,,,Thomas Downs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
9,(RV) Ursinus,D,UC,1,,1.0,8.0,3.0,6.0,-50.0,Pass,Complete,13.0,,Jack Psenicska,Complete,Kevin DePrince,,,,Peter Orio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
10,(RV) Ursinus,D,UC,1,,1.0,9.0,1.0,10.0,37.0,Pass,Complete,7.0,,Jack Psenicska,Complete,Kevin DePrince,,,,Dan DiBeneditto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
11,(RV) Ursinus,D,UC,1,,1.0,10.0,2.0,3.0,30.0,Pass,Complete,12.0,,Jack Psenicska,Complete,Octavious Carte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
12,(RV) Ursinus,D,UC,1,,1.0,11.0,1.0,10.0,18.0,Run,Rush,-1.0,Samuel Ragland,,,,,,,Calvin Krippner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
13,(RV) Ursinus,D,UC,1,,1.0,12.0,2.0,11.0,19.0,Pass,Complete,19.0,,Jack Psenicska,Complete,Octavious Carte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,TD,14:54,1794,0,0,0,3,3,3,,,,,,,
14,(RV) Ursinus,K,UC,1,,,,,,,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,Dakota Wherrity,,,Good,,,,,,,,08:45,1425,6,0,-6,3,3,3,,,,,,,
15,(RV) Ursinus,K,UC,1,,,,,,,KO Ret,Return,,,,,,,,,Connor Carter,,,,,,,Matt Scully,18,28.0,Dakota Wherrity,55.0,10.0,Return,,,,,,,,,,,,,,,,08:45,1425,7,0,-7,3,3,3,,,,,,,
16,(RV) Ursinus,O,FMC,1,,1.0,1.0,0.0,10.0,-28.0,Run,Rush,-3.0,Keshon Farmer,,,,,,,Jonathan Klee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:38,1418,0,7,-7,3,3,3,,,,,,,
17,(RV) Ursinus,O,FMC,1,,1.0,2.0,2.0,13.0,-25.0,Pass,Complete,12.0,,Logan Clouse,Complete,Tim Walters,,,,Jonathan Klee,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,08:38,1418,0,7,-7,3,3,3,holding,FMC,John DeSantis,,,,10.0
18,(RV) Ursinus,O,FMC,1,,1.0,3.0,2.0,23.0,-15.0,Run,Rush,5.0,Logan Clouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:38,1418,0,7,-7,3,3,3,,,,,,,
19,(RV) Ursinus,O,FMC,1,,1.0,4.0,3.0,18.0,-20.0,Run,Rush,11.0,Logan Clouse,,,,,,,Brett Gross,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,08:38,1418,0,7,-7,3,3,3,,,,,,,
20,(RV) Ursinus,K,FMC,1,,,,4.0,7.0,-31.0,Punt,,,,,,,,,,,,,,,,,,,,,,,,J. Rodenberger,47.0,22.0,,,,,,,,,,,,,08:38,1418,0,7,-7,3,3,3,,,,,,,
21,(RV) Ursinus,D,UC,1,,2.0,1.0,0.0,10.0,-22.0,Pass,Complete,8.0,,Jack Psenicska,Complete,Kevin DePrince,,,,Kell Hall,Dan DiBeneditto,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:11,1271,7,0,-7,3,3,3,,,,,,,
22,(RV) Ursinus,D,UC,1,,2.0,2.0,2.0,2.0,-30.0,Run,Rush,4.0,Samuel Ragland,,,,,,,Dan DiBeneditto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:11,1271,7,0,-7,3,3,3,,,,,,,
