PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Delaware Valley,K,KINGS,1,,,,,,,KO,Return,,,,,,,,,Amir Gibson,,,,,,,Tavian Dorsey,14,25.0,Kyle Prescavage,54.0,11.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Delaware Valley,D,DELVAL,1,,1.0,1.0,0.0,10.0,-25.0,Pass,Complete,4.0,,Daquan Bohannan,Complete,John Davis,,,,B. Mozeleski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
3,Delaware Valley,D,DELVAL,1,,1.0,2.0,2.0,6.0,-29.0,Pass,Complete,1.0,,Daquan Bohannan,Complete,Bryce Dorsey,,,,J. Lettsome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
4,Delaware Valley,D,DELVAL,1,,1.0,3.0,3.0,7.0,-28.0,Pass,Complete,8.0,,Daquan Bohannan,Complete,Tahmi Barksdale,,,,E. Demosthene,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
5,Delaware Valley,D,DELVAL,1,,1.0,4.0,1.0,10.0,-36.0,Run,Rush,15.0,Donte Simmons,,,,,,,Tommy Gilmore,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
6,Delaware Valley,D,DELVAL,1,,1.0,5.0,1.0,10.0,49.0,Run,Rush,2.0,Donte Simmons,,,,,,,,,True,Donte Simmons,Dallas Solomon,KINGS,E. Demosthene,,,45.0,,,,,,,,,,,,,,,,,,,,,,Fumble,14:54,1794,0,0,0,3,3,3,,,,,,,
7,Delaware Valley,O,KINGS,1,,1.0,1.0,0.0,10.0,-45.0,Run,Rush,0.0,Gabe Boccella,,,,,,,Trent Fries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:27,1647,0,0,0,3,3,3,,,,,,,
8,Delaware Valley,O,KINGS,1,,1.0,2.0,2.0,10.0,-45.0,Pass,Incomplete,0.0,,Gabe Boccella,Incomplete,E. Demosthene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:27,1647,0,0,0,3,3,3,,,,,,,
9,Delaware Valley,O,KINGS,1,,1.0,3.0,3.0,10.0,-45.0,Pass,Sack,0.0,,Tyler Moore,Sack,,,,,Michael Nobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,12:27,1647,0,0,0,3,3,3,holding,KINGS,,,,,
10,Delaware Valley,K,KINGS,1,,,,4.0,10.0,-45.0,Punt,,,,,,,,,,,,,,,,,,,,,,,,,Tim Costantino,33.0,22.0,,,,,,,,,True,,,,,,12:27,1647,0,0,0,3,3,3,personal foul,DELVAL,Jamir Prevard,,,,11.0
