PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Wis.-Eau Claire,K,WEC,1,,,,,,,KO Ret,Return,,,,,,,,,,,,,,,,Brendan Teal,98,0.0,Brady Frantal,63.0,2.0,Return,,,,,,,,,,,,,,True,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Wis.-Eau Claire,K,ALB,1,,,,,,,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jackson Cooney,,,Good,,,,,,,,,15:00,1800,6,0,6,3,3,3,,,,,,,
3,Wis.-Eau Claire,K,ALB,1,,,,,,,KO,Return,,,,,,,,,Conner Smith,,,,,,,David Antoine,10,21.0,Hunter Williams,54.0,11.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,7,0,7,3,3,3,,,,,,,
4,Wis.-Eau Claire,D,WEC,1,,1.0,1.0,0.0,10.0,-21.0,Run,Rush,-2.0,Austin Belot,,,,,,,Noah Anderson,Mitch Arendsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:44,1784,0,7,7,3,3,3,,,,,,,
5,Wis.-Eau Claire,D,WEC,1,,1.0,2.0,2.0,12.0,-19.0,Run,Rush,5.0,Nicholas Kudick,,,,,,,Drew Shafer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:44,1784,0,7,7,3,3,3,,,,,,,
6,Wis.-Eau Claire,D,WEC,1,,1.0,3.0,3.0,7.0,-24.0,Pass,Incomplete,0.0,,Jonathan Malueg,Incomplete,Brycen Froehlich,,,Bobby Willis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:44,1784,0,7,7,3,3,3,,,,,,,
7,Wis.-Eau Claire,K,WEC,1,,,,4.0,7.0,-24.0,Punt Ret,Return,,,,,,,,,Cole Dunbar,,,,,,,Andy Durand,4,33.0,,,,,,Nate Baranek,47.0,29.0,Return,,,,,,,,,,,,,,14:44,1784,0,7,7,3,3,3,,,,,,,
8,Wis.-Eau Claire,O,ALB,1,,1.0,1.0,0.0,10.0,-33.0,Run,Rush,5.0,Kyle Thomas,,,,,,,Spencer Van Pietersom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:17,1697,7,0,7,3,3,3,,,,,,,
9,Wis.-Eau Claire,O,ALB,1,,1.0,2.0,2.0,5.0,-38.0,Pass,Incomplete,0.0,,Kyle Thomas,Incomplete,Kolby Canfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,,,13:17,1697,7,0,7,3,3,3,Pass Interference,WEC,Ryan Kuechle,,,,15.0
10,Wis.-Eau Claire,O,ALB,1,,1.0,3.0,1.0,10.0,-49.0,Run,Rush,2.0,Kyle Thomas,,,,,,,Alex Mashak,Trevor Nelson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:17,1697,7,0,7,3,3,3,,,,,,,
11,Wis.-Eau Claire,O,ALB,1,,1.0,4.0,2.0,8.0,49.0,Pass,Complete,49.0,,Kyle Thomas,Complete,Justin Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,13:17,1697,7,0,7,3,3,3,,,,,,,
12,Wis.-Eau Claire,K,ALB,1,,,,1.0,3.0,3.0,Extra Pt.,No Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jackson Cooney,,,No Good,,,,,,,,,12:16,1636,13,0,13,3,3,3,,,,,,,
13,Wis.-Eau Claire,K,ALB,1,,,,1.0,10.0,-35.0,KO,Out of bounds,,,,,,,,,,,,,,,,,,,Hunter Williams,0.0,-35.0,Out of bounds,,,,,,,,,,,,,,,,,,,12:16,1636,13,0,13,3,3,3,,,,,,,
14,Wis.-Eau Claire,D,WEC,1,,2.0,1.0,0.0,10.0,-35.0,Pass,Incomplete,0.0,,Jonathan Malueg,Incomplete,Brycen Froehlich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:15,1635,0,13,13,3,3,3,,,,,,,
15,Wis.-Eau Claire,D,WEC,1,,2.0,2.0,2.0,10.0,-35.0,Run,Rush,0.0,Jonathan Malueg,,,,,,,,,True,Jonathan Malueg,,WEC,,,,,,,,,,,,,,,,,,,,,,,,,,,12:15,1635,0,13,13,3,3,3,,,,,,,
16,Wis.-Eau Claire,D,WEC,1,,2.0,3.0,3.0,17.0,-28.0,Run,Rush,7.0,Jonathan Malueg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,12:15,1635,0,13,13,3,3,3,,,,,,,
17,Wis.-Eau Claire,K,WEC,1,,,,4.0,10.0,-35.0,Punt Ret,,,,,,,,,,,,,,,,,,,,,,,,,Nate Baranek,35.0,30.0,,,,,,,,,,,,,,,12:15,1635,0,13,13,3,3,3,,,,,,,
18,Wis.-Eau Claire,O,ALB,1,,2.0,1.0,0.0,8.0,-32.0,Run,Rush,2.0,Phillip Jones-Price,,,,,,,Connor Miller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:45,1545,13,0,13,3,3,3,,,,,,,
19,Wis.-Eau Claire,O,ALB,1,,2.0,2.0,2.0,6.0,-34.0,Pass,Incomplete,0.0,,Kyle Thomas,Incomplete,Kolby Canfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:45,1545,13,0,13,3,3,3,,,,,,,
20,Wis.-Eau Claire,O,ALB,1,,2.0,3.0,3.0,6.0,-34.0,Pass,Incomplete,0.0,,Kyle Thomas,Incomplete,Chase Knopf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,10:45,1545,13,0,13,3,3,3,,,,,,,
21,Wis.-Eau Claire,K,ALB,1,,,,4.0,6.0,-34.0,Punt,Return,,,,,,,,,Larry Platt,Chase Knopf,,,,,,Alex Mashak,31,-30.0,,,,,,Hunter Williams,27.0,39.0,Return,,,,,,,,,,,,,,10:45,1545,13,0,13,3,3,3,,,,,,,
22,Wis.-Eau Claire,D,WEC,1,,3.0,1.0,0.0,10.0,30.0,Run,Rush,25.0,Ivan Ruble,,,,,,,Ricky Pearson,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,09:58,1498,0,13,13,3,3,3,,,,,,,
23,Wis.-Eau Claire,D,WEC,1,,3.0,2.0,1.0,5.0,5.0,Run,Rush,0.0,Jonathan Malueg,,,,,,,Jeremiah Major,Casmer Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:58,1498,0,13,13,3,3,3,,,,,,,
24,Wis.-Eau Claire,D,WEC,1,,3.0,3.0,2.0,5.0,5.0,Run,Rush,-3.0,Ivan Ruble,,,,,,,Duwayne Legette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:58,1498,0,13,13,3,3,3,,,,,,,
25,Wis.-Eau Claire,D,WEC,1,,3.0,4.0,3.0,8.0,8.0,Pass,Interception,0.0,,Jonathan Malueg,Interception,,,Levi Ladd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Interception,09:58,1498,0,13,13,3,3,3,,,,,,,
26,Wis.-Eau Claire,O,ALB,1,,3.0,1.0,0.0,10.0,-20.0,Run,Rush,7.0,Phillip Jones-Price,,,,,,,Branden Huwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:15,1395,13,0,13,3,3,3,,,,,,,
27,Wis.-Eau Claire,O,ALB,1,,3.0,2.0,2.0,3.0,-27.0,Pass,Incomplete,0.0,,Kyle Thomas,Incomplete,Brendan Teal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:15,1395,13,0,13,3,3,3,,,,,,,
28,Wis.-Eau Claire,O,ALB,1,,3.0,3.0,3.0,3.0,-27.0,Run,Rush,2.0,Kyle Thomas,,,,,,,AJ Firminhac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,08:15,1395,13,0,13,3,3,3,,,,,,,
29,Wis.-Eau Claire,K,ALB,1,,,,4.0,1.0,-29.0,Punt,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,,Hunter Williams,28.0,43.0,Fair Catch,,,,,,,,,,,,,,08:15,1395,13,0,13,3,3,3,,,,,,,
30,Wis.-Eau Claire,D,WEC,1,,4.0,1.0,0.0,10.0,-43.0,Run,Rush,7.0,Austin Belot,,,,,,,John Wester Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:58,1318,0,13,13,3,3,3,,,,,,,
