PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Carroll,K,BENU,1,,,,,,,KO,Return,,,,,,,,,Ton Candelaria,,,,,,,Legnaioli ,6,24.0,Tanner Mateus,47.0,18.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Carroll,D,CARROLL,1,,1.0,1.0,0.0,10.0,-24.0,Run,Rush,13.0,,,,,,,,Cy Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Carroll,D,CARROLL,1,,1.0,2.0,1.0,10.0,-37.0,Pass,Complete,2.0,,,Complete,,,,,Tommy O'Malley,Jalaan Owens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Carroll,D,CARROLL,1,,1.0,3.0,2.0,8.0,-39.0,Run,Rush,3.0,,,,,,,,Joel Nanni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Carroll,D,CARROLL,1,,1.0,4.0,3.0,5.0,-42.0,Pass,Complete,2.0,,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Carroll,K,CARROLL,1,,,,4.0,3.0,-44.0,Punt Ret,Out of bounds,,,,,,,,,,,,,,,,,,,,,,,,,29.0,27.0,Out of bounds,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,Carroll,O,BENU,1,,1.0,1.0,0.0,10.0,-27.0,Pass,Complete,8.0,,Tyler Jarnagin,Complete,Calin Gurau,,,,Moorer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:21,1641,0,0,0,3,3,3,,,,,,,
8,Carroll,O,BENU,1,,1.0,2.0,2.0,2.0,-35.0,Pass,Complete,10.0,,Tyler Jarnagin,Complete,Anth Senerchia,,,,Schmidt,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,12:21,1641,0,0,0,3,3,3,,,,,,,
9,Carroll,O,BENU,1,,1.0,3.0,1.0,10.0,-45.0,Pass,Complete,7.0,,Tyler Jarnagin,Complete,Gregory Hoard,,,,Moorer,Hauge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:21,1641,0,0,0,3,3,3,,,,,,,
10,Carroll,O,BENU,1,,1.0,4.0,2.0,3.0,48.0,Run,Rush,8.0,Deand Holliday,,,,,,,Kontny,Knotts,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,12:21,1641,0,0,0,3,3,3,,,,,,,
