PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Wash. & Jeff.,K,BETFB,1,,,,,,,KO,Out of bounds,,,,,,,,,,,,,,,,,,,Nate Sciarro,63.0,-2.0,Out of bounds,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Wash. & Jeff.,,BETFB,1,,,,1.0,10.0,-35.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,false start,BETFB,,,,,5.0
3,Wash. & Jeff.,,BETFB,1,,,,1.0,15.0,-30.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,false start,BETFB,X. Strickland,,,,5.0
4,Wash. & Jeff.,O,BETFB,1,,1.0,1.0,0.0,20.0,-25.0,Pass,Complete,14.0,,Dom Salinetro,Complete,Tim Mickens,,,,Sean  Doran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Wash. & Jeff.,O,BETFB,1,,1.0,2.0,2.0,6.0,-39.0,Pass,Complete,7.0,,Dom Salinetro,Complete,D. McWhorter,,,,Alex Bellinotti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Wash. & Jeff.,O,BETFB,1,,1.0,3.0,1.0,10.0,-46.0,Run,Rush,2.0,Colton Stoneman,,,,,,,Sean  Doran,Max Garda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,Wash. & Jeff.,O,BETFB,1,,1.0,4.0,2.0,8.0,-48.0,Pass,Complete,6.0,,Dom Salinetro,Complete,S. Smith,,,,Jason Hersh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
8,Wash. & Jeff.,O,BETFB,1,,1.0,5.0,3.0,2.0,46.0,Run,Rush,-1.0,Colton Stoneman,,,,,,,T. Volpatti,Elijah  Goosby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
9,Wash. & Jeff.,O,BETFB,1,,1.0,6.0,4.0,3.0,47.0,Pass,Complete,13.0,,Dom Salinetro,Complete,D. McWhorter,,,,T. Volpatti,Alex Bellinotti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
10,Wash. & Jeff.,O,BETFB,1,,1.0,7.0,1.0,10.0,34.0,Run,Rush,0.0,Colton Stoneman,,,,,,,Keith Knowell,Sean  Doran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
11,Wash. & Jeff.,,BETFB,1,,,,2.0,10.0,34.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,false start,BETFB,Caleb King,,,,5.0
12,Wash. & Jeff.,O,BETFB,1,,1.0,8.0,2.0,15.0,39.0,Pass,Complete,5.0,,Dom Salinetro,Complete,D. McWhorter,,,,Drew Ehrlich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
13,Wash. & Jeff.,,BETFB,1,,,,3.0,10.0,34.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,false start,BETFB,X. Strickland,,,,5.0
14,Wash. & Jeff.,O,BETFB,1,,1.0,9.0,3.0,15.0,39.0,Pass,Incomplete,0.0,,Dom Salinetro,Incomplete,Chris Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,1800,0,0,0,3,3,3,,,,,,,
15,Wash. & Jeff.,K,BETFB,1,,,,4.0,15.0,39.0,Punt,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,,Narvy Bibiano,30.0,9.0,Fair Catch,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
16,Wash. & Jeff.,D,WJC,1,,1.0,1.0,0.0,10.0,-9.0,Run,Rush,7.0,,,,,,,,C. Tuma-Hynes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:08,1508,0,0,0,3,3,3,,,,,,,
17,Wash. & Jeff.,D,WJC,1,,1.0,2.0,2.0,3.0,-16.0,Run,Rush,7.0,,,,,,,,Wakke Lawton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:08,1508,0,0,0,3,3,3,,,,,,,
18,Wash. & Jeff.,D,WJC,1,,1.0,3.0,1.0,10.0,-23.0,Pass,Complete,9.0,,Justin Heacock,Complete,,,,,Rondell Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:08,1508,0,0,0,3,3,3,,,,,,,
19,Wash. & Jeff.,D,WJC,1,,1.0,4.0,2.0,1.0,-32.0,Pass,Complete,7.0,,Justin Heacock,Complete,,,,,Isaiah Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:08,1508,0,0,0,3,3,3,,,,,,,
20,Wash. & Jeff.,D,WJC,1,,1.0,5.0,1.0,10.0,-39.0,Pass,Complete,7.0,,Justin Heacock,Complete,,,,,Rondell Lewis,Wakke Lawton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:08,1508,0,0,0,3,3,3,,,,,,,
21,Wash. & Jeff.,D,WJC,1,,1.0,6.0,2.0,3.0,-46.0,Run,Rush,10.0,,,,,,,,Wakke Lawton,Brennon Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:08,1508,0,0,0,3,3,3,,,,,,,
22,Wash. & Jeff.,D,WJC,1,,1.0,7.0,1.0,10.0,44.0,Pass,Complete,3.0,,Justin Heacock,Complete,,,,,Jaheem Culbert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:08,1508,0,0,0,3,3,3,,,,,,,
23,Wash. & Jeff.,D,WJC,1,,1.0,8.0,2.0,7.0,41.0,Pass,Complete,1.0,,Justin Heacock,Complete,,,,,Rondell Lewis,Shawn Wheeler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:08,1508,0,0,0,3,3,3,,,,,,,
24,Wash. & Jeff.,D,WJC,1,,1.0,9.0,3.0,6.0,40.0,Pass,Complete,11.0,,Justin Heacock,Complete,TJ Troxell,,,,Wakke Lawton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:08,1508,0,0,0,3,3,3,,,,,,,
25,Wash. & Jeff.,D,WJC,1,,1.0,10.0,1.0,10.0,29.0,Run,Rush,3.0,,,,,,,,Brennon Smith,Rondell Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:08,1508,0,0,0,3,3,3,,,,,,,
26,Wash. & Jeff.,D,WJC,1,,1.0,11.0,2.0,7.0,26.0,Pass,Sack,-9.0,,Justin Heacock,Sack,,,,,J. Schorn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:08,1508,0,0,0,3,3,3,,,,,,,
27,Wash. & Jeff.,D,WJC,1,,1.0,12.0,3.0,16.0,35.0,Pass,Incomplete,0.0,,Justin Heacock,Incomplete,Anthony Rosati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,10:08,1508,0,0,0,3,3,3,,,,,,,
28,Wash. & Jeff.,K,WJC,1,,,,4.0,16.0,35.0,Punt Ret,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,0.0,,,,,,,,,,,,,,,10:08,1508,0,0,0,3,3,3,,,,,,,
29,Wash. & Jeff.,,BETFB,1,,,,1.0,10.0,-20.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:56,1196,0,0,0,3,3,3,false start,BETFB,,,,,5.0
30,Wash. & Jeff.,O,BETFB,1,,2.0,1.0,0.0,15.0,-15.0,Run,Rush,1.0,Amos Porter,,,,,,,Alex Keith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:56,1196,0,0,0,3,3,3,,,,,,,
31,Wash. & Jeff.,O,BETFB,1,,2.0,2.0,2.0,14.0,-16.0,Pass,Sack,-7.0,,Dom Salinetro,Sack,,,,,Alex Keith,Elijah  Goosby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:56,1196,0,0,0,3,3,3,,,,,,,
32,Wash. & Jeff.,O,BETFB,1,,2.0,3.0,3.0,21.0,-9.0,Run,Rush,1.0,Amos Porter,,,,,,,Sean  Doran,Alex Bellinotti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,04:56,1196,0,0,0,3,3,3,,,,,,,
33,Wash. & Jeff.,K,BETFB,1,,,,4.0,20.0,-10.0,Punt,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,,Narvy Bibiano,36.0,-46.0,Fair Catch,,,,,,,,,,,,,,04:56,1196,0,0,0,3,3,3,,,,,,,
34,Wash. & Jeff.,D,WJC,1,,2.0,1.0,0.0,10.0,46.0,Pass,Complete,23.0,,Justin Heacock,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:08,1088,0,0,0,3,3,3,,,,,,,
35,Wash. & Jeff.,D,WJC,1,,2.0,2.0,1.0,10.0,23.0,Run,Rush,6.0,,,,,,,,Shawn Wheeler,C. Tuma-Hynes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:08,1088,0,0,0,3,3,3,,,,,,,
36,Wash. & Jeff.,D,WJC,1,,2.0,3.0,2.0,4.0,17.0,Run,Rush,2.0,,,,,,,,Dadrick Vickers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:08,1088,0,0,0,3,3,3,holding,WJC,John O'Rourke,,,,10.0
37,Wash. & Jeff.,D,WJC,1,,2.0,4.0,2.0,12.0,25.0,Pass,Complete,25.0,,Justin Heacock,Complete,C. O'Brien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,03:08,1088,0,0,0,3,3,3,holding,WJC,John O'Rourke,,,,10.0
38,Wash. & Jeff.,D,WJC,1,,2.0,5.0,2.0,22.0,35.0,Run,Rush,3.0,,,,,,,,D. Gilbert Jr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01:45,1005,0,0,0,3,3,3,,,,,,,
39,Wash. & Jeff.,D,WJC,1,,2.0,6.0,3.0,19.0,32.0,Run,Rush,4.0,Justin Heacock,,,,,,,Jaheem Culbert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01:45,1005,0,0,0,3,3,3,,,,,,,
40,Wash. & Jeff.,D,WJC,1,,2.0,7.0,4.0,15.0,28.0,Pass,Incomplete,0.0,,Justin Heacock,Incomplete,Anthony Rosati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Downs,01:45,1005,0,0,0,3,3,3,,,,,,,
41,Wash. & Jeff.,O,BETFB,1,,3.0,1.0,0.0,10.0,-28.0,Run,Rush,-2.0,Colton Stoneman,,,,,,,Alex Keith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:11,911,0,0,0,3,3,3,,,,,,,
42,Wash. & Jeff.,O,BETFB,2,,3.0,2.0,2.0,12.0,-26.0,Pass,Incomplete,0.0,,Dom Salinetro,Incomplete,S. Smith,,,,Jason Hersh,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,15:00,900,0,0,0,3,3,3,holding,BETFB,Aaron Baird,,,,8.0
43,Wash. & Jeff.,O,BETFB,2,,3.0,3.0,2.0,20.0,-18.0,Pass,Interception,0.0,,Dom Salinetro,Interception,,,D. Nunnally,,,,,,,,,D. Nunnally,0,-36.0,,,,,,,,,,,,,,,,,,,,,,Interception,15:00,900,0,0,0,3,3,3,,,,,,,
44,Wash. & Jeff.,D,WJC,2,,3.0,1.0,0.0,10.0,36.0,Run,Rush,21.0,,,,,,,,Rondell Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:47,887,0,0,0,3,3,3,,,,,,,
45,Wash. & Jeff.,D,WJC,2,,3.0,2.0,1.0,10.0,15.0,Run,Rush,3.0,,,,,,,,Rondell Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:47,887,0,0,0,3,3,3,,,,,,,
46,Wash. & Jeff.,D,WJC,2,,3.0,3.0,2.0,7.0,12.0,Pass,Complete,1.0,,Justin Heacock,Complete,C. O'Brien,,,,Rondell Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:47,887,0,0,0,3,3,3,,,,,,,
47,Wash. & Jeff.,D,WJC,2,,3.0,4.0,3.0,6.0,11.0,Pass,Incomplete,0.0,,Justin Heacock,Incomplete,TJ Troxell,,,,Aarin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:47,887,0,0,0,3,3,3,,,,,,,
48,Wash. & Jeff.,D,WJC,2,,3.0,5.0,4.0,6.0,11.0,Pass,Incomplete,0.0,,Justin Heacock,Incomplete,,,,,Shawn Wheeler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Downs,14:47,887,0,0,0,3,3,3,,,,,,,
49,Wash. & Jeff.,O,BETFB,2,,4.0,1.0,0.0,10.0,-11.0,Run,Rush,4.0,Amos Porter,,,,,,,Drew Ehrlich,Elijah  Goosby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:49,769,0,0,0,3,3,3,,,,,,,
50,Wash. & Jeff.,O,BETFB,2,,4.0,2.0,2.0,6.0,-15.0,Run,Rush,0.0,Amos Porter,,,,,,,Alex Keith,Justin  Johns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:49,769,0,0,0,3,3,3,,,,,,,
51,Wash. & Jeff.,O,BETFB,2,,4.0,3.0,3.0,6.0,-15.0,Pass,Complete,1.0,,Dom Salinetro,Complete,D. McWhorter,,,,Elijah  Goosby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,12:49,769,0,0,0,3,3,3,,,,,,,
52,Wash. & Jeff.,K,BETFB,2,,,,4.0,7.0,-14.0,Punt,Return,,,,,,,,,D. Hollis,Dante Belardo,,,,,,,5,-39.0,,,,,,Narvy Bibiano,30.0,-44.0,Return,,,,,,,,,,,,,,12:49,769,0,0,0,3,3,3,,,,,,,
53,Wash. & Jeff.,D,WJC,2,,4.0,1.0,0.0,10.0,39.0,Pass,Complete,13.0,,Justin Heacock,Complete,C. O'Brien,,,,Dadrick Vickers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:44,644,0,0,0,3,3,3,,,,,,,
54,Wash. & Jeff.,D,WJC,2,,4.0,2.0,1.0,10.0,26.0,Run,Rush,21.0,,,,,,,,D. Gilbert Jr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:44,644,0,0,0,3,3,3,,,,,,,
55,Wash. & Jeff.,D,WJC,2,,4.0,3.0,1.0,5.0,5.0,Run,Rush,3.0,,,,,,,,Rondell Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:44,644,0,0,0,3,3,3,,,,,,,
56,Wash. & Jeff.,D,WJC,2,,4.0,4.0,2.0,2.0,2.0,Run,Rush,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,10:44,644,0,0,0,3,3,3,,,,,,,
57,Wash. & Jeff.,K,WJC,2,,,,,,,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,,,,,,,,09:13,553,6,0,-6,3,3,3,,,,,,,
58,Wash. & Jeff.,K,WJC,2,,,,,,,KO Ret,Return,,,,,,,,,Keaton Hall,,,,,,,D. McWhorter,18,21.0,Nate Sciarro,62.0,3.0,Return,,,,,,,,,,,,,,,,,,,09:13,553,7,0,-7,3,3,3,,,,,,,
59,Wash. & Jeff.,O,BETFB,2,,5.0,1.0,0.0,10.0,-21.0,Run,Rush,3.0,Colton Stoneman,,,,,,,Sean  Doran,Drew Ehrlich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:07,547,0,7,-7,3,3,3,face mask,WJC,,,,,15.0
60,Wash. & Jeff.,O,BETFB,2,,5.0,2.0,1.0,10.0,-39.0,Run,Rush,0.0,Colton Stoneman,,,,,,,Elijah  Goosby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:07,547,0,7,-7,3,3,3,,,,,,,
61,Wash. & Jeff.,O,BETFB,2,,5.0,3.0,2.0,10.0,-39.0,Run,Rush,4.0,Colton Stoneman,,,,,,,Alex Bellinotti,Sean  Doran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:07,547,0,7,-7,3,3,3,,,,,,,
62,Wash. & Jeff.,O,BETFB,2,,5.0,4.0,3.0,6.0,-43.0,Pass,Complete,7.0,,Dom Salinetro,Complete,Chris Williams,,,,Drew Ehrlich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:07,547,0,7,-7,3,3,3,,,,,,,
63,Wash. & Jeff.,O,BETFB,2,,5.0,5.0,1.0,10.0,-50.0,Pass,Complete,11.0,,Dom Salinetro,Complete,D. McWhorter,,,,Drew Ehrlich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:07,547,0,7,-7,3,3,3,,,,,,,
64,Wash. & Jeff.,O,BETFB,2,,5.0,6.0,1.0,10.0,39.0,Run,Rush,-2.0,Colton Stoneman,,,,,,,Will Paczkoskie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:07,547,0,7,-7,3,3,3,,,,,,,
65,Wash. & Jeff.,O,BETFB,2,,5.0,7.0,2.0,12.0,41.0,Pass,Interception,0.0,,Dom Salinetro,Interception,,,T. Volpatti,,,,,,,,,T. Volpatti,0,17.0,,,,,,,,,,,,,,,,,,,,,,Interception,09:07,547,0,7,-7,3,3,3,ineligible man down field,BETFB,,,,,
66,Wash. & Jeff.,D,WJC,2,,5.0,1.0,0.0,10.0,-17.0,Pass,Incomplete,0.0,,Justin Heacock,Incomplete,C. O'Brien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:26,326,7,0,-7,3,3,3,,,,,,,
67,Wash. & Jeff.,D,WJC,2,,5.0,2.0,2.0,10.0,-17.0,Pass,Complete,8.0,,Justin Heacock,Complete,,,,,Brennon Smith,Jaheem Culbert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:26,326,7,0,-7,3,3,3,,,,,,,
68,Wash. & Jeff.,D,WJC,2,,5.0,3.0,3.0,2.0,-25.0,Run,Rush,3.0,,,,,,,,Shawn Wheeler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:26,326,7,0,-7,3,3,3,,,,,,,
69,Wash. & Jeff.,D,WJC,2,,5.0,4.0,1.0,10.0,-28.0,Run,Rush,4.0,,,,,,,,Jaheem Culbert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:26,326,7,0,-7,3,3,3,,,,,,,
70,Wash. & Jeff.,D,WJC,2,,5.0,5.0,2.0,6.0,-32.0,Run,Rush,7.0,,,,,,,,Wakke Lawton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:26,326,7,0,-7,3,3,3,,,,,,,
71,Wash. & Jeff.,D,WJC,2,,5.0,6.0,1.0,10.0,-39.0,Run,Rush,-1.0,,,,,,,,C. Tuma-Hynes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:26,326,7,0,-7,3,3,3,,,,,,,
72,Wash. & Jeff.,D,WJC,2,,5.0,7.0,2.0,11.0,-38.0,Pass,Complete,2.0,,Justin Heacock,Complete,,,,,Keyohn Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:26,326,7,0,-7,3,3,3,,,,,,,
73,Wash. & Jeff.,D,WJC,2,,5.0,8.0,3.0,9.0,-40.0,Pass,Incomplete,0.0,,Justin Heacock,Incomplete,C. O'Brien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,05:26,326,7,0,-7,3,3,3,,,,,,,
74,Wash. & Jeff.,K,WJC,2,,,,4.0,9.0,-40.0,Punt Ret,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,,,31.0,29.0,Fair Catch,,,,,,,,,,,,,,05:26,326,7,0,-7,3,3,3,,,,,,,
