PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Case Western Reserve,K,BETFB,1,,,,,,,KO,Return,,,,,,,,,C. Norfus,,,,,,,Ethan Dahlem,32,34.0,Sean Cole,63.0,2.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Case Western Reserve,D,CWR,1,,1.0,1.0,0.0,10.0,-34.0,Run,Rush,4.0,Antonio Orsini,,,,,,,,,True,Antonio Orsini,Brennon Smith,CWR,Peter Kelly,,,-39.0,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Case Western Reserve,D,CWR,1,,1.0,2.0,2.0,5.0,-39.0,Run,Rush,17.0,Antonio Orsini,,,,,,,Shawn Wheeler,Keyohn Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Case Western Reserve,D,CWR,1,,1.0,3.0,1.0,10.0,44.0,Run,Rush,11.0,Antonio Orsini,,,,,,,Shawn Wheeler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Case Western Reserve,D,CWR,1,,1.0,4.0,1.0,10.0,33.0,Run,Rush,10.0,S. James,,,,,,,Rondell Lewis,Brennon Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Case Western Reserve,D,CWR,1,,1.0,5.0,1.0,10.0,23.0,Run,Rush,23.0,Antonio Orsini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,15:00,1800,0,0,0,3,3,3,,,,,,,
7,Case Western Reserve,K,CWR,1,,,,,,,Extra Pt. Block,No Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jacob Lurie,,,No Good,,,,,,,,,12:46,1666,6,0,-6,3,3,3,,,,,,,
8,Case Western Reserve,K,CWR,1,,,,,,,KO Ret,Return,,,,,,,,,,,True,S. Smith,,CWR,Sean Torres,Smith Jr,4,4.0,Jacob Lurie,65.0,0.0,Return,,,,,,,,,,,,,,,,,,,12:46,1666,6,0,-6,3,3,3,,,,,,,
9,Case Western Reserve,D,CWR,1,,2.0,1.0,0.0,5.0,5.0,Run,Rush,0.0,TEAM,,,,,,,,,True,TEAM,,CWR,Antonio Orsini,,,,,,,,,,,,,,,,,,,,,,,,,,12:40,1660,6,0,-6,3,3,3,,,,,,,
10,Case Western Reserve,D,CWR,1,,2.0,2.0,2.0,7.0,7.0,Run,Rush,-2.0,Antonio Orsini,,,,,,,C. Longmire Jr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:40,1660,6,0,-6,3,3,3,,,,,,,
