PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Rose-Hulman,K,RHIT,1,,,,,,,KO Rec,Return,,,,,,,,,Connor Schulte,Riley Roberts,,,,,,,0,13.0,Brett Tuttle,52.0,13.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Rose-Hulman,O,BU,1,,1.0,1.0,0.0,10.0,-13.0,Run,Rush,3.0,,,,,,,,Riley Roberts,Michael Stevens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
3,Rose-Hulman,O,BU,1,,1.0,2.0,2.0,7.0,-16.0,Run,Rush,5.0,,,,,,,,J. Anstett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
4,Rose-Hulman,O,BU,1,,1.0,3.0,3.0,2.0,-21.0,Run,Rush,17.0,,,,,,,,Pete Cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
5,Rose-Hulman,O,BU,1,,1.0,4.0,1.0,10.0,-38.0,Pass,Sack,-6.0,,,Sack,,,,,J. Anstett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
6,Rose-Hulman,O,BU,1,,1.0,5.0,2.0,16.0,-32.0,Pass,Complete,3.0,,,Complete,Ethan for Beringer,,,,Cameron Dorsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
7,Rose-Hulman,O,BU,1,,1.0,6.0,3.0,13.0,-35.0,Pass,Incomplete,0.0,,,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:54,1794,0,0,0,3,3,3,,,,,,,
8,Rose-Hulman,K,BU,1,,,,4.0,13.0,-35.0,Punt,Blocked,,,,,,,,,,,,,,,,,,,,,,,,TEAM,,-9.0,Blocked,Diego Cruz,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
9,Rose-Hulman,D,RHIT,1,,1.0,1.0,0.0,9.0,9.0,Run,Rush,5.0,Shane Welshans,,,,,,,Antione Coulter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:41,1601,0,0,0,3,3,3,,,,,,,
10,Rose-Hulman,D,RHIT,1,,1.0,2.0,2.0,4.0,4.0,Run,Rush,2.0,Alex Gresock,,,,,,,Davon Wooden,Marvus McWright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:41,1601,0,0,0,3,3,3,,,,,,,
11,Rose-Hulman,D,RHIT,1,,1.0,3.0,3.0,2.0,2.0,Run,Rush,2.0,Alex Gresock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,11:41,1601,0,0,0,3,3,3,,,,,,,
12,Rose-Hulman,K,RHIT,1,,,,,,,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jonathan Oliger,,,Good,,,,,,,,,10:49,1549,6,0,-6,3,3,3,,,,,,,
