PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Rochester,K,BROCK,1,,,,,,,KO,Return,,,,,,,,,Andrew Covais,,,,,,,Peyton Monaco,17,32.0,Nate Wigent,50.0,15.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,face mask,BROCK,Andrew Covais,,,,15.0
2,Rochester,D,ROC,1,,1.0,1.0,0.0,10.0,-47.0,Run,Rush,-1.0,D. Papantonis,,,,,,,Ben Damiani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Rochester,D,ROC,1,,1.0,2.0,2.0,11.0,-46.0,Run,Rush,5.0,D. Papantonis,,,,,,,Andrew Covais,Ben Damiani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Rochester,D,ROC,1,,1.0,3.0,3.0,6.0,49.0,Pass,Incomplete,0.0,,Sean Casey,Incomplete,E. Underwood,,,,Josh Greenwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Rochester,K,ROC,1,,,,4.0,6.0,49.0,Punt Ret,Return,,,,,,,,,Simon Weeren,Abdul Bah,,,,,,Derrick Chance,8,19.0,,,,,,Alex Wing,38.0,-11.0,Return,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Rochester,O,BROCK,1,,1.0,1.0,0.0,10.0,-19.0,Run,Rush,9.0,Jala Coad,,,,,,,Simon Weeren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:41,1721,0,0,0,3,3,3,,,,,,,
7,Rochester,O,BROCK,1,,1.0,2.0,2.0,1.0,-28.0,Pass,Complete,12.0,,Jack Cheshire,Complete,Imhotep Cromer,,,,Jack Yensel,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:41,1721,0,0,0,3,3,3,,,,,,,
8,Rochester,O,BROCK,1,,1.0,3.0,1.0,10.0,-40.0,Run,Rush,5.0,G. Fontanarosa,,,,,,,Caden Cole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:41,1721,0,0,0,3,3,3,,,,,,,
9,Rochester,O,BROCK,1,,1.0,4.0,2.0,5.0,-45.0,Run,Rush,3.0,Jala Coad,,,,,,,B. Beckwith,Caden Cole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:41,1721,0,0,0,3,3,3,,,,,,,
10,Rochester,O,BROCK,1,,1.0,5.0,3.0,2.0,-48.0,Pass,Incomplete,0.0,,Jack Cheshire,Incomplete,Andrew Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,13:41,1721,0,0,0,3,3,3,,,,,,,
