PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,#6 Wheaton (IL),K,WHE,1,,,,,,,KO Ret,Return,,,,,,,,,Kyle Carter,,,,,,,Nick Legnaioli,8,13.0,Tommy Gallagher,60.0,5.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,#6 Wheaton (IL),O,CAR,1,,1.0,1.0,0.0,10.0,-13.0,Pass,Incomplete,0.0,,Michael Johnson,Incomplete,J Muth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:56,1796,0,0,0,3,3,3,,,,,,,
3,#6 Wheaton (IL),O,CAR,1,,1.0,2.0,2.0,10.0,-13.0,Pass,Incomplete,0.0,,Michael Johnson,Incomplete,Titan Kilgore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:56,1796,0,0,0,3,3,3,,,,,,,
4,#6 Wheaton (IL),O,CAR,1,,1.0,3.0,3.0,10.0,-13.0,Pass,Sack,-5.0,,Michael Johnson,Sack,,,,,Jake Holaday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:56,1796,0,0,0,3,3,3,,,,,,,
5,#6 Wheaton (IL),K,CAR,1,,,,4.0,15.0,-8.0,Punt,,,,,,,,,,,,,,,,,,,,,,,,,Demetrios Brillakis,19.0,-27.0,,,,,,,,,,,,,,,14:56,1796,0,0,0,3,3,3,,,,,,,
6,#6 Wheaton (IL),D,WHE,1,,1.0,1.0,0.0,10.0,27.0,Pass,Complete,27.0,,Luke Anthony,Complete,Spencer Peterson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,14:07,1747,0,0,0,3,3,3,,,,,,,
7,#6 Wheaton (IL),K,WHE,1,,,,1.0,3.0,3.0,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tommy Gallagher,,,Good,,,,,,,,,13:58,1738,6,0,-6,3,3,3,,,,,,,
8,#6 Wheaton (IL),K,WHE,1,,,,1.0,10.0,-35.0,KO Ret,Fair Catch,,,,,,,,,,,,,,,,,,,Tommy Gallagher,64.0,1.0,Fair Catch,,,,,,,,,,,,,,,,,,,13:58,1738,7,0,-7,3,3,3,,,,,,,
9,#6 Wheaton (IL),O,CAR,1,,2.0,1.0,0.0,10.0,-25.0,Pass,Complete,0.0,,Michael Johnson,Complete,Adam Timbrook,,,,Luke Gammichia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:58,1738,0,7,-7,3,3,3,,,,,,,
10,#6 Wheaton (IL),O,CAR,1,,2.0,2.0,2.0,10.0,-25.0,Pass,Complete,3.0,,Michael Johnson,Complete,Adam Timbrook,,,,Luke Gammichia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:58,1738,0,7,-7,3,3,3,,,,,,,
