PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Endicott,K,CATHU,1,,,,,,,KO,Return,,,,,,,,,Harry Stinger,,,,,,,A. Caggianelli,6,15.0,Connor Gill,56.0,9.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,holding,EC,,,,,10.0
2,Endicott,D,EC,1,,1.0,1.0,0.0,10.0,-15.0,Run,Rush,1.0,John Kenney,,,,,,,Josh Webb,Luke Brautigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Endicott,D,EC,1,,1.0,2.0,2.0,9.0,-16.0,Pass,Complete,4.0,,Joe Leonard,Complete,Shane Aylward,,,,Matt Grant,Mason Stillwell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Endicott,,EC,1,,,,3.0,5.0,-20.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,offside,CATHU,JP Kennedy,,,,5.0
5,Endicott,D,EC,1,,1.0,3.0,1.0,10.0,-25.0,Run,Rush,1.0,John Kenney,,,,,,,Jaegar Wesley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Endicott,D,EC,1,,1.0,4.0,2.0,9.0,-26.0,Run,Rush,3.0,John Kenney,,,,,,,Gage Hurlbut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,Endicott,,EC,1,,,,3.0,6.0,-29.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,offside,CATHU,Huey Bodger,,,,5.0
8,Endicott,D,EC,1,,1.0,5.0,3.0,1.0,-34.0,Run,Rush,2.0,John Kenney,,,,,,,Jaegar Wesley,Dieter Kerat,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
9,Endicott,D,EC,1,,1.0,6.0,1.0,10.0,-36.0,Run,Rush,4.0,John Kenney,,,,,,,Huey Bodger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
10,Endicott,D,EC,1,,1.0,7.0,2.0,6.0,-40.0,Pass,Incomplete,0.0,,Joe Leonard,Incomplete,John Kenney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
11,Endicott,D,EC,1,,1.0,8.0,3.0,6.0,-40.0,Pass,Interception,0.0,,Joe Leonard,Interception,,,Gage Hurlbut,,Shane Aylward,,,,,,,Gage Hurlbut,16,45.0,,,,,,,,,,,,,,,,,,,,,,Interception,15:00,1800,0,0,0,3,3,3,,,,,,,
12,Endicott,O,CATHU,1,,1.0,1.0,0.0,10.0,39.0,Pass,Complete,11.0,,Madden Lowe,Complete,Derrick Aikens,,,,Joseph Pagett,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,10:47,1547,0,0,0,3,3,3,,,,,,,
13,Endicott,O,CATHU,1,,1.0,2.0,1.0,10.0,28.0,Run,Rush,2.0,Andrew Comeau,,,,,,,Nate Driscoll,Tyler Davis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:47,1547,0,0,0,3,3,3,,,,,,,
14,Endicott,O,CATHU,1,,1.0,3.0,2.0,8.0,26.0,Pass,Incomplete,0.0,,Madden Lowe,Incomplete,Derrick Aikens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:47,1547,0,0,0,3,3,3,,,,,,,
15,Endicott,O,CATHU,1,,1.0,4.0,3.0,8.0,26.0,Pass,Sack,-2.0,,Madden Lowe,Sack,,,,,C. Meropoulos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:47,1547,0,0,0,3,3,3,,,,,,,
16,Endicott,O,CATHU,1,,1.0,5.0,4.0,10.0,28.0,Pass,Complete,28.0,,Madden Lowe,Complete,Malachi Hansen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,,10:47,1547,0,0,0,3,3,3,,,,,,,
17,Endicott,,CATHU,1,,,,1.0,3.0,3.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:49,1429,6,0,6,3,3,3,Not found,CATHU,,Not found,EC,,
18,Endicott,O,CATHU,1,,1.0,6.0,0.0,,,Run,Good,,Madden Lowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,,,,,,TD,08:49,1429,6,0,6,3,3,3,,,,,,,
19,Endicott,K,CATHU,1,,,,,,,KO,Return,,,,,,,,,Shane Greene,Carson Henry,,,,,,A. Caggianelli,7,15.0,Connor Gill,57.0,8.0,Return,,,,,,,,,,,,,,,,,,,08:49,1429,8,0,8,3,3,3,,,,,,,
20,Endicott,D,EC,1,,2.0,1.0,0.0,10.0,-33.0,Run,Rush,16.0,John Kenney,,,,,,,Noah Miller,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,08:42,1422,0,8,8,3,3,3,,,,,,,
21,Endicott,,EC,1,,,,1.0,10.0,-49.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:42,1422,0,8,8,3,3,3,offside,CATHU,JP Kennedy,,,,5.0
22,Endicott,D,EC,1,,2.0,2.0,1.0,5.0,46.0,Pass,Complete,5.0,,Clayton Marengi,Complete,Jonas Wiechmann,,,,Matt Grant,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,08:42,1422,0,8,8,3,3,3,,,,,,,
23,Endicott,D,EC,1,,2.0,3.0,1.0,10.0,41.0,Run,Rush,5.0,Camron Monteiro,,,,,,,Dieter Kerat,Noah Miller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:42,1422,0,8,8,3,3,3,,,,,,,
24,Endicott,,EC,1,,,,2.0,5.0,36.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:42,1422,0,8,8,3,3,3,false start,EC,Tyler Youmans,,,,5.0
25,Endicott,D,EC,1,,2.0,4.0,2.0,10.0,41.0,Run,Rush,8.0,John Kenney,,,,,,,Noah Miller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:42,1422,0,8,8,3,3,3,,,,,,,
26,Endicott,D,EC,1,,2.0,5.0,3.0,2.0,33.0,Run,Rush,6.0,John Kenney,,,,,,,Dieter Kerat,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,08:42,1422,0,8,8,3,3,3,,,,,,,
27,Endicott,D,EC,1,,2.0,6.0,1.0,10.0,27.0,Run,Rush,1.0,John Kenney,,,,,,,Travis Hensley,Ryan Keating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:42,1422,0,8,8,3,3,3,,,,,,,
28,Endicott,D,EC,1,,2.0,7.0,2.0,9.0,26.0,Pass,Complete,0.0,,Clayton Marengi,Complete,John Kenney,,,,Noah Miller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:42,1422,0,8,8,3,3,3,,,,,,,
