PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Christopher Newport,K,CATHU,1,,,,,,,KO Ret,Return,,,,,,,,,,,,,,,,Jordan Borders,93,0.0,Connor Gill,58.0,7.0,Return,,,,,,,,,,,,,,True,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Christopher Newport,K,CATHU,1,,,,,,,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryan Castle,,,Good,,,,,,,,,15:00,1800,0,6,6,3,3,3,,,,,,,
3,Christopher Newport,K,CATHU,1,,,,,,,KO Ret,Return,,,,,,,,,Samuel Boateng,,,,,,,Malachi Hansen,56,44.0,Ryan Castle,65.0,0.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,7,0,5,3,3,3,,,,,,,
4,Christopher Newport,O,CNU,1,,1.0,1.0,0.0,10.0,-44.0,Pass,Incomplete,0.0,,Madden Lowe,Incomplete,Andrew Comeau,,,,Sean Wilkinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:36,1776,0,7,5,3,3,3,,,,,,,
5,Christopher Newport,,CNU,1,,,,2.0,10.0,-44.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:36,1776,0,7,5,3,3,3,false start,CATHU,,,,,5.0
6,Christopher Newport,O,CNU,1,,1.0,2.0,2.0,15.0,-49.0,Pass,Complete,14.0,,Madden Lowe,Complete,Mark Cheffers,,,,Conner Ryan,Sean Wilkinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:36,1776,0,7,5,3,3,3,,,,,,,
7,Christopher Newport,O,CNU,1,,1.0,3.0,3.0,1.0,-35.0,Run,Rush,4.0,Andrew Comeau,,,,,,,J. Massengill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:36,1776,0,7,5,3,3,3,,,,,,,
8,Christopher Newport,O,CNU,1,,1.0,4.0,1.0,10.0,-31.0,Pass,Complete,7.0,,Madden Lowe,Complete,Preston Jeffrey,,,,Samuel Boateng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:36,1776,0,7,5,3,3,3,,,,,,,
9,Christopher Newport,O,CNU,1,,1.0,5.0,2.0,3.0,-24.0,Pass,Incomplete,0.0,,Madden Lowe,Incomplete,Andrew Comeau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:36,1776,0,7,5,3,3,3,,,,,,,
10,Christopher Newport,O,CNU,1,,1.0,6.0,3.0,3.0,-24.0,Pass,Complete,4.0,,Madden Lowe,Complete,Derrick Aikens,,,,Logan Baker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:36,1776,0,7,5,3,3,3,,,,,,,
11,Christopher Newport,O,CNU,1,,1.0,7.0,1.0,10.0,-20.0,Run,Rush,5.0,Madden Lowe,,,,,,,Sean Wilkinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:36,1776,0,7,5,3,3,3,,,,,,,
12,Christopher Newport,O,CNU,1,,1.0,8.0,2.0,5.0,-15.0,Pass,Complete,15.0,,Madden Lowe,Complete,Mark Cheffers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,14:36,1776,0,7,5,3,3,3,,,,,,,
