PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Springfield,K,SPRINGFI,1,,,,,,,KO Ret,Return,,,,,,,,,Ryan Hendricks,,,,,,,Malachi Hansen,31,39.0,Christian Hutra,57.0,8.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Springfield,O,CATHOLIC,1,,1.0,1.0,0.0,10.0,-39.0,Pass,Complete,21.0,,Madden Lowe,Complete,Derrick Aikens,,,,Aiden Lewin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
3,Springfield,O,CATHOLIC,1,,1.0,2.0,1.0,10.0,40.0,Pass,Complete,9.0,,Madden Lowe,Complete,Malachi Hansen,,,,Aiden Lewin,Mark Montano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
4,Springfield,O,CATHOLIC,1,,1.0,3.0,2.0,1.0,31.0,Run,Rush,6.0,Madden Lowe,,,,,,,Billy Carr,Aiden Lewin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
5,Springfield,O,CATHOLIC,1,,1.0,4.0,1.0,10.0,25.0,Pass,Incomplete,0.0,,Madden Lowe,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
6,Springfield,O,CATHOLIC,1,,1.0,5.0,2.0,10.0,25.0,Pass,Incomplete,0.0,,Madden Lowe,Incomplete,Andrew Comeau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
7,Springfield,O,CATHOLIC,1,,1.0,6.0,3.0,10.0,25.0,Pass,Incomplete,0.0,,Madden Lowe,Incomplete,Preston Jeffrey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Missed FG,14:53,1793,0,0,0,3,3,3,,,,,,,
8,Springfield,K,CATHOLIC,1,,,,4.0,10.0,25.0,FG,No Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fabrizio Reilly,42.0,No Good,,,,,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
9,Springfield,D,SPRINGFI,1,,1.0,1.0,0.0,10.0,-25.0,Run,Rush,5.0,Tim Callahan,,,,,,,Liam Dearing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:48,1668,0,0,0,3,3,3,,,,,,,
10,Springfield,D,SPRINGFI,1,,1.0,2.0,2.0,5.0,-30.0,Run,Rush,0.0,David Wells,,,,,,,Matthew DiSanto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:48,1668,0,0,0,3,3,3,,,,,,,
11,Springfield,D,SPRINGFI,1,,1.0,3.0,3.0,5.0,-30.0,Run,Rush,14.0,David Wells,,,,,,,Matt Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:48,1668,0,0,0,3,3,3,,,,,,,
12,Springfield,D,SPRINGFI,1,,1.0,4.0,1.0,10.0,-44.0,Run,Rush,12.0,Ryan Deguire,,,,,,,Preston Jeffrey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:48,1668,0,0,0,3,3,3,,,,,,,
13,Springfield,D,SPRINGFI,1,,1.0,5.0,1.0,10.0,44.0,Run,Rush,6.0,David Wells,,,,,,,Matt Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:48,1668,0,0,0,3,3,3,,,,,,,
14,Springfield,D,SPRINGFI,1,,1.0,6.0,2.0,4.0,38.0,Run,Rush,10.0,Ryan Deguire,,,,,,,Noah Miller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:48,1668,0,0,0,3,3,3,,,,,,,
15,Springfield,D,SPRINGFI,1,,1.0,7.0,1.0,10.0,28.0,Run,Rush,2.0,Tim Callahan,,,,,,,Dieter Kerat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:48,1668,0,0,0,3,3,3,,,,,,,
