PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Rhodes,K,CENTRE,1,,,,,,,KO,Fair Catch,,,,,,,,,,,,,,,,,,,Wiley Henshaw,25.0,-40.0,Fair Catch,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Rhodes,D,RHODES,1,,1.0,1.0,0.0,10.0,40.0,Run,Rush,32.0,Trentin Dupper,,,,,,,Alex McRae,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Rhodes,D,RHODES,1,,1.0,2.0,1.0,10.0,-28.0,Pass,Complete,28.0,,Trentin Dupper,Complete,Sam Murray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Rhodes,K,RHODES,1,,,,1.0,-3.0,-3.0,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cam Tegge,,,Good,,,,,,,,,14:06,1746,6,0,-6,3,3,3,,,,,,,
5,Rhodes,K,RHODES,1,,,,1.0,35.0,35.0,KO Ret,Fair Catch,,,,,,,,,,,,,,,,,,,Nick Kopp,42.0,-23.0,Fair Catch,,,,,,,,,,,,,,,,,,,14:06,1746,7,0,-7,3,3,3,,,,,,,
6,Rhodes,D,RHODES,1,,2.0,1.0,0.0,10.0,-25.0,Pass,Complete,12.0,,Luke Macias,Complete,Aaron Cooper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:06,1746,0,7,-7,3,3,3,,,,,,,
7,Rhodes,D,RHODES,1,,2.0,2.0,1.0,10.0,-37.0,Run,Rush,1.0,James Moskosky,,,,,,,Kaden Gervacio,Oliver Hunter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:06,1746,0,7,-7,3,3,3,,,,,,,
8,Rhodes,D,RHODES,1,,2.0,3.0,2.0,9.0,-38.0,Pass,Complete,5.0,,Luke Macias,Complete,Charlie Mackey,,,,Er'ron Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:06,1746,0,7,-7,3,3,3,,,,,,,
9,Rhodes,D,RHODES,1,,2.0,4.0,3.0,4.0,-43.0,Pass,Incomplete,0.0,,Luke Macias,Incomplete,Aaron Cooper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:06,1746,0,7,-7,3,3,3,,,,,,,
10,Rhodes,K,RHODES,1,,,,4.0,4.0,-43.0,Punt Ret,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,,Wiley Henshaw,45.0,12.0,Fair Catch,,,,,,,,,,,,,,14:06,1746,0,7,-7,3,3,3,,,,,,,
11,Rhodes,O,CENTRE,1,,1.0,1.0,0.0,10.0,-12.0,Run,Rush,1.0,Trentin Dupper,,,,,,,Joe Conroy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:11,1631,7,0,-7,3,3,3,,,,,,,
12,Rhodes,O,CENTRE,1,,1.0,2.0,2.0,9.0,-13.0,Pass,Complete,8.0,,Trentin Dupper,Complete,Jordan Gunter,,,,Alex McRae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:11,1631,7,0,-7,3,3,3,,,,,,,
13,Rhodes,O,CENTRE,1,,1.0,3.0,3.0,1.0,-21.0,Run,Rush,4.0,Patric Edwards,,,,,,,Conner Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,12:11,1631,7,0,-7,3,3,3,,,,,,,
14,Rhodes,O,CENTRE,1,,1.0,4.0,1.0,10.0,-25.0,Pass,Complete,12.0,,Trentin Dupper,Complete,Cort Marbaugh,,,,Hart Penfield,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,12:11,1631,7,0,-7,3,3,3,,,,,,,
15,Rhodes,O,CENTRE,1,,1.0,5.0,1.0,10.0,-37.0,Run,Rush,2.0,Patric Edwards,,,,,,,Jordan McCoy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:11,1631,7,0,-7,3,3,3,,,,,,,
16,Rhodes,O,CENTRE,1,,1.0,6.0,2.0,8.0,-39.0,Run,Rush,26.0,Patric Edwards,,,,,,,Evan Byrd,Alex McRae,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,12:11,1631,7,0,-7,3,3,3,,,,,,,
17,Rhodes,O,CENTRE,1,,1.0,7.0,1.0,10.0,35.0,Pass,Complete,18.0,,Trentin Dupper,Complete,Sam Murray,,,,Tre' Barnes,Alex McRae,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,12:11,1631,7,0,-7,3,3,3,,,,,,,
18,Rhodes,O,CENTRE,1,,1.0,8.0,1.0,10.0,17.0,Run,Rush,2.0,Trentin Dupper,,,,,,,Thomas Conroy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:11,1631,7,0,-7,3,3,3,,,,,,,
19,Rhodes,O,CENTRE,1,,1.0,9.0,2.0,8.0,15.0,Pass,Complete,15.0,,Trentin Dupper,Complete,Cort Marbaugh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,12:11,1631,7,0,-7,3,3,3,,,,,,,
20,Rhodes,K,CENTRE,1,,,,1.0,3.0,3.0,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cam Tegge,,,Good,,,,,,,,,07:34,1354,13,0,13,3,3,3,,,,,,,
21,Rhodes,K,CENTRE,1,,,,1.0,-35.0,-35.0,KO,Return,,,,,,,,,,,,,,,,Aaron Cooper,16,32.0,Nick Kopp,49.0,16.0,Return,,,,,,,,,,,,,,,,,,,07:34,1354,14,0,14,3,3,3,,,,,,,
22,Rhodes,D,RHODES,1,,3.0,1.0,0.0,10.0,-32.0,Run,Rush,3.0,James Moskosky,,,,,,,Quinton Moss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:29,1349,0,14,14,3,3,3,,,,,,,
23,Rhodes,D,RHODES,1,,3.0,2.0,2.0,7.0,-35.0,Pass,Complete,11.0,,Luke Macias,Complete,Charlie Mackey,,,,Quinton Moss,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,07:29,1349,0,14,14,3,3,3,,,,,,,
24,Rhodes,D,RHODES,1,,3.0,3.0,1.0,10.0,-46.0,Pass,Incomplete,0.0,,Luke Macias,Incomplete,Umikoa Kealoha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,,,07:29,1349,0,14,14,3,3,3,pass interference,CENTRE,Er'ron Mitchell,,,,9.0
25,Rhodes,D,RHODES,1,,3.0,4.0,1.0,10.0,45.0,Pass,Complete,15.0,,Luke Macias,Complete,Aaron Cooper,,,,Er'ron Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,07:29,1349,0,14,14,3,3,3,,,,,,,
26,Rhodes,D,RHODES,1,,3.0,5.0,1.0,10.0,30.0,Run,Rush,4.0,James Moskosky,,,,,,,Quinton Moss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:29,1349,0,14,14,3,3,3,,,,,,,
27,Rhodes,D,RHODES,1,,3.0,6.0,2.0,6.0,26.0,Pass,Complete,5.0,,Luke Macias,Complete,Umikoa Kealoha,,,,Er'ron Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:29,1349,0,14,14,3,3,3,,,,,,,
28,Rhodes,D,RHODES,1,,3.0,7.0,3.0,1.0,21.0,Run,Rush,5.0,C. Willis,,,,,,,Cort Marbaugh,Armon Wells,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,07:29,1349,0,14,14,3,3,3,,,,,,,
29,Rhodes,D,RHODES,1,,3.0,8.0,1.0,10.0,16.0,Run,Rush,3.0,C. Willis,,,,,,,Armon Wells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:29,1349,0,14,14,3,3,3,,,,,,,
30,Rhodes,D,RHODES,1,,3.0,9.0,2.0,7.0,13.0,Run,Rush,3.0,C. Willis,,,,,,,Oliver Hunter,Armon Wells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:29,1349,0,14,14,3,3,3,,,,,,,
31,Rhodes,D,RHODES,1,,3.0,10.0,3.0,4.0,10.0,Pass,Incomplete,0.0,,Luke Macias,Incomplete,Charlie Mackey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FG,07:29,1349,0,14,14,3,3,3,,,,,,,
32,Rhodes,K,RHODES,1,,,,4.0,4.0,10.0,FG Block,Blocked,,,,,,,,,Wiley Henshaw,,,,,,,Nick German,43,21.0,,,,,,,,,,Scotty Brown,Wiley Henshaw,27.0,Blocked,,,,,,,,,,07:29,1349,0,14,14,3,3,3,,,,,,,
33,Rhodes,O,CENTRE,1,,2.0,1.0,0.0,10.0,36.0,Run,Rush,25.0,Will McDaniel,,,,,,,Conner Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,02:09,1029,14,0,14,3,3,3,,,,,,,
34,Rhodes,O,CENTRE,1,,2.0,2.0,1.0,10.0,11.0,Run,Rush,3.0,Will McDaniel,,,,,,,Joe Conroy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02:09,1029,14,0,14,3,3,3,,,,,,,
35,Rhodes,O,CENTRE,1,,2.0,3.0,2.0,7.0,8.0,Pass,Complete,8.0,,Trentin Dupper,Complete,C. Billiter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,02:09,1029,14,0,14,3,3,3,,,,,,,
36,Rhodes,K,CENTRE,1,,,,1.0,3.0,3.0,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cam Tegge,,,Good,,,,,,,,,00:49,949,20,0,20,3,3,3,,,,,,,
37,Rhodes,,CENTRE,1,,,,1.0,-35.0,-35.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:49,949,21,0,21,3,3,3,illegal procedure,CENTRE,,,,,5.0
38,Rhodes,K,CENTRE,1,,,,1.0,-30.0,-30.0,KO,Return,,,,,,,,,Sam Murray,Scotty Brown,,,,,,Aaron Cooper,18,35.0,Nick Kopp,53.0,17.0,Return,,,,,,,,,,,,,,,,,,,00:49,949,21,0,21,3,3,3,,,,,,,
