PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Amherst,K,COLBY,1,,,,,,,KO,,,,,,,,,,,,,,,,,,,,Moises Celaya,60.0,0.0,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Amherst,D,AMHERST,1,,1.0,1.0,0.0,10.0,-25.0,Run,Rush,3.0,,Chad Peterson,,,,,,Will Nipon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Amherst,D,AMHERST,1,,1.0,2.0,2.0,7.0,-28.0,Run,Rush,6.0,,Kellen Field,,,,,,Will Nipon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Amherst,D,AMHERST,1,,1.0,3.0,3.0,1.0,-34.0,Pass,Incomplete,0.0,,Chad Peterson,Incomplete,Joe Masterson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Amherst,K,AMHERST,1,,,,4.0,1.0,-34.0,Punt Rec,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,,Conor Kennelly,37.0,29.0,Fair Catch,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Amherst,O,COLBY,1,,1.0,1.0,0.0,10.0,-29.0,Pass,Complete,2.0,,Matt Hersch,Complete,Devin Marrocco,,,,Kevin Girardi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:36,1716,0,0,0,3,3,3,,,,,,,
7,Amherst,O,COLBY,1,,1.0,2.0,2.0,8.0,-31.0,Run,Rush,-2.0,,Donovan Ganges,,,,,,Kevin Girardi,John Schiano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:36,1716,0,0,0,3,3,3,,,,,,,
8,Amherst,O,COLBY,1,,1.0,3.0,3.0,10.0,-29.0,Pass,Complete,10.0,,Matt Hersch,Complete,Jack Freeman,,,,Tim Swope,Matt Durborow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:36,1716,0,0,0,3,3,3,,,,,,,
9,Amherst,O,COLBY,1,,1.0,4.0,1.0,10.0,-39.0,Run,Rush,1.0,,Devin Marrocco,,,,,,Joe Kelly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:36,1716,0,0,0,3,3,3,,,,,,,
10,Amherst,O,COLBY,1,,1.0,5.0,2.0,9.0,-40.0,Run,Rush,7.0,,Devin Marrocco,,,,,,Tim Swope,Chris Chukwura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:36,1716,0,0,0,3,3,3,,,,,,,
11,Amherst,O,COLBY,1,,1.0,6.0,3.0,2.0,-47.0,Pass,Complete,21.0,,Matt Hersch,Complete,Jack Sawyer,,,,Will Harmon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:36,1716,0,0,0,3,3,3,,,,,,,
12,Amherst,O,COLBY,1,,1.0,7.0,1.0,10.0,32.0,Pass,Complete,9.0,,Matt Hersch,Complete,Keon Smart,,,,Brett Bates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:36,1716,0,0,0,3,3,3,,,,,,,
13,Amherst,O,COLBY,1,,1.0,8.0,2.0,1.0,23.0,Run,Rush,-1.0,,Lowell Carr,,,,,,Ryan Monteleone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:36,1716,0,0,0,3,3,3,,,,,,,
14,Amherst,O,COLBY,1,,1.0,9.0,3.0,2.0,24.0,Pass,Complete,1.0,,Matt Hersch,Complete,Devin Marrocco,,,,Tim Swope,Joe Kelly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:36,1716,0,0,0,3,3,3,,,,,,,
15,Amherst,O,COLBY,1,,1.0,10.0,4.0,1.0,23.0,Run,Rush,9.0,,Devin Marrocco,,,,,,Michael Jeffery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:36,1716,0,0,0,3,3,3,,,,,,,
16,Amherst,O,COLBY,1,,1.0,11.0,1.0,10.0,14.0,Pass,Complete,7.0,,Matt Hersch,Complete,Jack Freeman,,,,Ryan Monteleone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:36,1716,0,0,0,3,3,3,,,,,,,
17,Amherst,O,COLBY,1,,1.0,12.0,2.0,3.0,7.0,Run,Rush,5.0,,Devin Marrocco,,,,,,Alexis Chavez-S,Zion Hawkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:36,1716,0,0,0,3,3,3,,,,,,,
18,Amherst,O,COLBY,1,,1.0,13.0,1.0,2.0,2.0,Run,Rush,2.0,,Devin Marrocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,13:36,1716,0,0,0,3,3,3,,,,,,,
19,Amherst,K,COLBY,1,,,,1.0,3.0,3.0,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moises Celaya,,,Good,,,,,,,,,06:18,1278,6,0,6,3,3,3,,,,,,,
20,Amherst,K,COLBY,1,,,,1.0,10.0,-40.0,KO,Return,,,,,,,,,Zach Cody,,,,,,,Kellen Field,21,23.0,Moises Celaya,58.0,2.0,Return,,,,,,,,,,,,,,,,,,,06:18,1278,7,0,7,3,3,3,,,,,,,
21,Amherst,D,AMHERST,1,,2.0,1.0,0.0,10.0,-23.0,Run,Rush,4.0,,Joe Masterson,,,,,,Nick Donatio,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,06:02,1262,0,7,7,3,3,3,holding,AMHERST,Kellen Field,,,,10.0
