PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Concordia Wisconsin,K,CUC,1,,,,,,,KO,Return,,,,,,,,,TEAM,,,,,,,Devi Shibiliski,0,-38.0,Ryan Auer,3.0,-38.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Concordia Wisconsin,D,FALCONS,1,,1.0,1.0,0.0,10.0,38.0,Run,Rush,0.0,Matt Montgomery,,,,,,,Julian Ramirez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Concordia Wisconsin,D,FALCONS,1,,1.0,2.0,2.0,10.0,38.0,Pass,Complete,3.0,,James Linn,Complete,Matt Montgomery,,,,Tyler Dudley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Concordia Wisconsin,D,FALCONS,1,,1.0,3.0,3.0,13.0,41.0,Pass,Incomplete,0.0,,James Linn,Incomplete,Matt Montgomery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Concordia Wisconsin,K,FALCONS,1,,,,4.0,13.0,41.0,Punt Ret,,,,,,,,,,,,,,,,,,,,,,,,,Maso Kaschinske,38.0,3.0,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Concordia Wisconsin,O,CUC,1,,1.0,1.0,0.0,10.0,-3.0,Run,Rush,2.0,J. Sepulveda,,,,,,,James Zarosley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:00,1680,0,0,0,3,3,3,,,,,,,
7,Concordia Wisconsin,O,CUC,1,,1.0,2.0,2.0,8.0,-5.0,Pass,Complete,0.0,,J. Sepulveda,Complete,Chris for Covington,,,,Jarod Ontiveros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:00,1680,0,0,0,3,3,3,,,,,,,
8,Concordia Wisconsin,O,CUC,1,,1.0,3.0,3.0,8.0,-5.0,Pass,Complete,15.0,,J. Sepulveda,Complete,DeAndre Daniels,,,,Eli Wallace,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:00,1680,0,0,0,3,3,3,,,,,,,
9,Concordia Wisconsin,,CUC,1,,,,1.0,10.0,-20.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:00,1680,0,0,0,3,3,3,delay of game,CUC,J. Sepulveda,,,,5.0
10,Concordia Wisconsin,O,CUC,1,,1.0,4.0,1.0,15.0,-15.0,Run,Rush,10.0,DeAndre Daniels,,,,,,,Jarod Ontiveros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:00,1680,0,0,0,3,3,3,,,,,,,
11,Concordia Wisconsin,O,CUC,1,,1.0,5.0,2.0,5.0,-25.0,Pass,Complete,5.0,,J. Sepulveda,Complete,DW for,,,,Connor Stoming,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:00,1680,0,0,0,3,3,3,,,,,,,
12,Concordia Wisconsin,,CUC,1,,,,1.0,10.0,-30.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:00,1680,0,0,0,3,3,3,offside defense,FALCONS,,,,,5.0
13,Concordia Wisconsin,O,CUC,1,,1.0,6.0,1.0,5.0,-35.0,Run,Rush,0.0,J. Sepulveda,,,,,,,Julian Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:00,1680,0,0,0,3,3,3,,,,,,,
14,Concordia Wisconsin,,CUC,1,,,,2.0,5.0,-35.0,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Concordia Chicago,,,,,,,13:00,1680,0,0,0,3,3,3,,,,,,,
15,Concordia Wisconsin,O,CUC,1,,1.0,7.0,2.0,5.0,-35.0,Run,Rush,-2.0,DW rush,,,,,,,Connor Stoming,Cameron Kohler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:35,1415,0,0,0,2,2,3,,,,,,,
16,Concordia Wisconsin,,CUC,1,,,,3.0,7.0,-33.0,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Concordia Chicago,,,,,,,08:35,1415,0,0,0,2,2,3,,,,,,,
17,Concordia Wisconsin,O,CUC,1,,1.0,8.0,3.0,7.0,-33.0,Run,Rush,4.0,Troy Pratley,,,,,,,Jacob Waryck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:49,1369,0,0,0,1,1,3,,,,,,,
18,Concordia Wisconsin,,CUC,1,,,,4.0,3.0,-37.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:49,1369,0,0,0,1,1,3,roughing the kicker,FALCONS,,,,,5.0
19,Concordia Wisconsin,O,CUC,1,,1.0,9.0,1.0,10.0,-42.0,Run,Rush,3.0,DeAndre Daniels,,,,,,,Jarod Ontiveros,Chase Coots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:49,1369,0,0,0,1,1,3,,,,,,,
20,Concordia Wisconsin,O,CUC,1,,1.0,10.0,2.0,7.0,-45.0,Run,Rush,1.0,DeAndre Daniels,,,,,,,Ben Kraft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:49,1369,0,0,0,1,1,3,,,,,,,
