PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,PASSER PBP,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Lawrence,K,COR,1,,,,,,,,KO,Return,,,,,,,,,Bruce Harris,,,,,,,Cameron Wicks,25,43.0,Adam Mitchell,47.0,18.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Lawrence,D,LAW,1,,1.0,1.0,0.0,10.0,-43.0,Gold Zone,Pass,Sack,-7.0,,D'Andre Weaver,Sack,,,,,Ben Brassard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
3,Lawrence,D,LAW,1,,1.0,2.0,2.0,17.0,-36.0,Gold Zone,Run,Rush,3.0,D'Andre Weaver,,,,,,,Jonathan Buehler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
4,Lawrence,D,LAW,1,,1.0,3.0,3.0,14.0,-39.0,Gold Zone,Pass,Incomplete,0.0,,D'Andre Weaver,Incomplete,Jaidon Bond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:54,1794,0,0,0,3,3,3,,,,,,,
5,Lawrence,K,LAW,1,,,,4.0,14.0,-39.0,Gold Zone,Punt Rec,,,,,,,,,,,,,,,,,,,,,,,,,Ben Blumenthal,44.0,17.0,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
6,Lawrence,O,COR,1,,1.0,1.0,0.0,10.0,-17.0,Coming Out,Pass,Incomplete,0.0,,Isaak Hahn,Incomplete,Mason Davis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:50,1730,0,0,0,3,3,3,,,,,,,
7,Lawrence,O,COR,1,,1.0,2.0,2.0,10.0,-17.0,Coming Out,Run,Rush,0.0,Peni Waqairatu,,,,,,,Donzel Andress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:50,1730,0,0,0,3,3,3,,,,,,,
8,Lawrence,O,COR,1,,1.0,3.0,3.0,10.0,-17.0,Coming Out,Pass,Complete,20.0,,Isaak Hahn,Complete,Mason Davis,,,,Isaiah White,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:50,1730,0,0,0,3,3,3,,,,,,,
9,Lawrence,O,COR,1,,1.0,4.0,1.0,10.0,-37.0,Gold Zone,Pass,Sack,-6.0,,Isaak Hahn,Sack,,,,,Donzel Andress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:50,1730,0,0,0,3,3,3,,,,,,,
10,Lawrence,O,COR,1,,1.0,5.0,2.0,16.0,-31.0,Gold Zone,Pass,Incomplete,0.0,,Isaak Hahn,Incomplete,Aaryn Hailpern,Jacob Stanley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:50,1730,0,0,0,3,3,3,,,,,,,
11,Lawrence,O,COR,1,,1.0,6.0,3.0,16.0,-31.0,Gold Zone,Pass,Incomplete,0.0,,Isaak Hahn,Incomplete,Mason Davis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{'SERIES END': 'Punt'},13:50,1730,0,0,0,3,3,3,,,,,,,
