PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Minnesota Morris,K,STORM,1,,,,,,,KO,Return,,,,,,,,,Teris Watson,Ryan Swecker,,,,,,Cole Mitchell,10,39.0,Jonah Osborne,36.0,29.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Minnesota Morris,D,UMM,1,,1.0,1.0,0.0,10.0,-39.0,Pass,Complete,25.0,,Marcus Reeb,Complete,Branden Carlson,,,,Isaac Herron,Rudy Criner,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Minnesota Morris,D,UMM,1,,1.0,2.0,1.0,10.0,36.0,Run,Rush,36.0,Garrett Elison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Minnesota Morris,K,UMM,1,,,,1.0,3.0,3.0,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alex Happ,,,Good,,,,,,,,,14:10,1750,6,0,-6,3,3,3,,,,,,,
5,Minnesota Morris,K,UMM,1,,,,1.0,-35.0,-35.0,KO Rec,Return,,,,,,,,,E. Kowalzek,,,,,,,Rudy Criner,20,40.0,Merritt Veth,45.0,20.0,Return,,,,,,,,,,,,,,,,,,,14:10,1750,7,0,-7,3,3,3,,,,,,,
6,Minnesota Morris,O,STORM,1,,1.0,1.0,0.0,10.0,-40.0,Run,Rush,4.0,Avory Caruthers,,,,,,,Gavin Paulson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:03,1743,0,7,-7,3,3,3,,,,,,,
7,Minnesota Morris,O,STORM,1,,1.0,2.0,2.0,6.0,-44.0,Pass,Interception,0.0,,Jared Gilmore,Interception,,,Alex Emmrich,,Jared Gilmore,,,,,,,Alex Emmrich,8,-42.0,,,,,,,,,,,,,,,,,,,,,,Interception,14:03,1743,0,7,-7,3,3,3,,,,,,,
8,Minnesota Morris,D,UMM,1,,2.0,1.0,0.0,10.0,42.0,Pass,Incomplete,0.0,,Marcus Reeb,Incomplete,Cole Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:24,1704,7,0,-7,3,3,3,,,,,,,
9,Minnesota Morris,D,UMM,1,,2.0,2.0,2.0,10.0,42.0,Run,Rush,9.0,Blake Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:24,1704,7,0,-7,3,3,3,,,,,,,
10,Minnesota Morris,D,UMM,1,,2.0,3.0,3.0,1.0,33.0,Run,Rush,14.0,Marcus Reeb,,,,,,,,,True,Marcus Reeb,Isaac Herron,STORM,Quis Icon,,,14.0,,,,,,,,,,,,,,,,,,,,,,Fumble,13:24,1704,7,0,-7,3,3,3,,,,,,,
11,Minnesota Morris,O,STORM,1,,2.0,1.0,0.0,10.0,-14.0,Pass,Incomplete,0.0,,Jared Gilmore,Incomplete,Josh Wallace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:37,1657,0,7,-7,3,3,3,,,,,,,
