PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Widener,K,WID,1,,,,,,,KO Ret,Return,,,,,,,,,Michael Schoenleber,Colin Murt,,,,,,Jamir Prevard,51,-35.0,Larry Eimer,51.0,14.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Widener,O,DVU,1,,1.0,1.0,0.0,10.0,35.0,Run,Rush,9.0,Donte Simmons,,,,,,,Mike Pawlowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:45,1785,0,0,0,3,3,3,,,,,,,
3,Widener,O,DVU,1,,1.0,2.0,2.0,1.0,26.0,Pass,Complete,2.0,,Daquan Bohannan,Complete,Tahmir Barksdale,,,,Anthony Liberatoscioli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:45,1785,0,0,0,3,3,3,,,,,,,
4,Widener,O,DVU,1,,1.0,3.0,3.0,3.0,28.0,Run,Rush,15.0,Donte Simmons,,,,,,,Michael Schoenleber,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:45,1785,0,0,0,3,3,3,,,,,,,
5,Widener,O,DVU,1,,1.0,4.0,1.0,10.0,13.0,Run,Rush,5.0,Donte Simmons,,,,,,,Anthony Liberatoscioli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:45,1785,0,0,0,3,3,3,,,,,,,
6,Widener,,DVU,1,,,,2.0,5.0,8.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:45,1785,0,0,0,3,3,3,False Start,DVU,Corey Schriver,,,,5.0
7,Widener,O,DVU,1,,1.0,5.0,2.0,10.0,13.0,Run,Rush,12.0,Daquan Bohannan,,,,,,,Kevin Davis,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:45,1785,0,0,0,3,3,3,,,,,,,
8,Widener,O,DVU,1,,1.0,6.0,1.0,1.0,1.0,Run,Rush,1.0,Donte Simmons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,14:45,1785,0,0,0,3,3,3,,,,,,,
9,Widener,K,DVU,1,,,,1.0,3.0,3.0,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jack Hughes,,,Good,,,,,,,,,11:23,1583,6,0,6,3,3,3,,,,,,,
10,Widener,K,DVU,1,,,,1.0,10.0,-35.0,KO,Return,,,,,,,,,,,,,,,,Jordan Baxter,8,28.0,Pat Moran,45.0,20.0,Return,,,,,,,,,,,,,,,,,,,11:23,1583,7,0,7,3,3,3,,,,,,,
11,Widener,D,WID,1,,1.0,1.0,0.0,10.0,-28.0,Run,Rush,3.0,Tahir Cruse,,,,,,,Anthony Puntolillo,Trent Fries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:19,1579,0,7,7,3,3,3,,,,,,,
12,Widener,D,WID,1,,1.0,2.0,2.0,7.0,-31.0,Run,Rush,2.0,Joey Paoletti,,,,,,,Anthony Puntolillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:19,1579,0,7,7,3,3,3,,,,,,,
13,Widener,D,WID,1,,1.0,3.0,3.0,5.0,-33.0,Pass,Sack,-3.0,,Joey Paoletti,Sack,,,,,Anthony Nobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,11:19,1579,0,7,7,3,3,3,,,,,,,
