PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,UW-River Falls,K,ELMHURST,1,,,,,,,KO,Return,,,,,,,,,Masco,Fowler,,,,,,Tim Oeun,15,34.0,,46.0,19.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,UW-River Falls,D,UWRF,1,,1.0,1.0,0.0,10.0,-34.0,Run,Rush,2.0,Luke Fugate,,,,,,,Gable,Bills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,UW-River Falls,D,UWRF,1,,1.0,2.0,2.0,8.0,-36.0,Run,Rush,5.0,Luke Fugate,,,,,,,Bills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,UW-River Falls,D,UWRF,1,,1.0,3.0,3.0,3.0,-41.0,Pass,Complete,13.0,,Kole Hinrichsen,Complete,Alex Traxler,,,,Postman,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,UW-River Falls,D,UWRF,1,,1.0,4.0,1.0,10.0,46.0,Run,Rush,1.0,Luke Fugate,,,,,,,Bowman,Hanrahan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,UW-River Falls,D,UWRF,1,,1.0,5.0,2.0,9.0,45.0,Pass,Complete,45.0,,Kole Hinrichsen,Complete,Andy Groebner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,15:00,1800,0,0,0,3,3,3,,,,,,,
7,UW-River Falls,K,UWRF,1,,,,1.0,3.0,3.0,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cade Henry,,,Good,,,,,,,,,13:30,1710,6,0,-6,3,3,3,,,,,,,
8,UW-River Falls,K,UWRF,1,,,,1.0,-35.0,-35.0,KO Ret,Return,,,,,,,,,Jon Mans,,,,,,,,14,32.0,Cade Henry,47.0,18.0,Return,,,,,,,,,,,,,,,,,,,13:30,1710,7,0,-7,3,3,3,,,,,,,
9,UW-River Falls,O,ELMHURST,1,,1.0,1.0,0.0,10.0,-32.0,Run,Rush,-2.0,,,,,,,,Drew Hahn,Jake Halsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:13,1693,0,7,-7,3,3,3,,,,,,,
10,UW-River Falls,O,ELMHURST,1,,1.0,2.0,2.0,12.0,-30.0,Pass,Incomplete,0.0,,,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:13,1693,0,7,-7,3,3,3,,,,,,,
11,UW-River Falls,O,ELMHURST,1,,1.0,3.0,3.0,12.0,-30.0,Pass,Incomplete,0.0,,,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,13:13,1693,0,7,-7,3,3,3,,,,,,,
12,UW-River Falls,K,ELMHURST,1,,,,4.0,12.0,-30.0,Punt,Return,,,,,,,,,Postman,,,,,,,Michael Brown,4,40.0,,,,,,,34.0,36.0,Return,,,,,,,,,,,,,,13:13,1693,0,7,-7,3,3,3,,,,,,,
13,UW-River Falls,D,UWRF,1,,2.0,1.0,0.0,10.0,-40.0,Pass,Incomplete,0.0,,Kole Hinrichsen,Incomplete,Andy Groebner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,,,12:30,1650,7,0,-7,3,3,3,HL,ELMHURST,,Not found,UWRF,,
14,UW-River Falls,D,UWRF,1,,2.0,2.0,1.0,10.0,-50.0,Pass,Sack,-5.0,,Kole Hinrichsen,Sack,,,,,Gable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:30,1650,7,0,-7,3,3,3,,,,,,,
15,UW-River Falls,D,UWRF,1,,2.0,3.0,2.0,15.0,-45.0,Run,Rush,22.0,Alex Traxler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,12:30,1650,7,0,-7,3,3,3,,,,,,,
16,UW-River Falls,D,UWRF,1,,2.0,4.0,1.0,10.0,33.0,Run,Rush,3.0,Anthony Silva,,,,,,,Bowman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:30,1650,7,0,-7,3,3,3,,,,,,,
17,UW-River Falls,D,UWRF,1,,2.0,5.0,2.0,7.0,30.0,Pass,Complete,6.0,,Kole Hinrichsen,Complete,Luke Kush,,,,Boyd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:30,1650,7,0,-7,3,3,3,,,,,,,
18,UW-River Falls,D,UWRF,1,,2.0,6.0,3.0,1.0,24.0,Run,Rush,12.0,Kole Hinrichsen,,,,,,,Hanrahan,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,12:30,1650,7,0,-7,3,3,3,,,,,,,
19,UW-River Falls,D,UWRF,1,,2.0,7.0,1.0,10.0,12.0,Run,Rush,1.0,Kole Hinrichsen,,,,,,,Hanrahan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:30,1650,7,0,-7,3,3,3,,,,,,,
20,UW-River Falls,D,UWRF,1,,2.0,8.0,2.0,9.0,11.0,Pass,Complete,2.0,,Kole Hinrichsen,Complete,Ben Beise,,,,Bills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:30,1650,7,0,-7,3,3,3,,,,,,,
21,UW-River Falls,D,UWRF,1,,2.0,9.0,3.0,7.0,9.0,Pass,Complete,4.0,,Kole Hinrichsen,Complete,Alex Traxler,,,,Hanrahan,Bills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FG,12:30,1650,7,0,-7,3,3,3,,,,,,,
22,UW-River Falls,,UWRF,1,,,,4.0,3.0,5.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:30,1650,7,0,-7,3,3,3,false start,UWRF,,,,,5.0
23,UW-River Falls,K,UWRF,1,,,,4.0,8.0,10.0,FG Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cade Henry,27.0,Good,,,,,,,,,,12:30,1650,7,0,-7,3,3,3,,,,,,,
24,UW-River Falls,K,UWRF,1,,,,1.0,-35.0,-35.0,KO Ret,Return,,,,,,,,,Aaro Borgerding,,,,,,,,12,27.0,Cade Henry,50.0,15.0,Return,,,,,,,,,,,,,,,,,,,09:02,1442,10,0,-10,3,3,3,,,,,,,
25,UW-River Falls,O,ELMHURST,1,,2.0,1.0,0.0,10.0,-27.0,Pass,Incomplete,0.0,,,Incomplete,W Brown,,,,Dylan Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:56,1436,0,10,-10,3,3,3,,,,,,,
26,UW-River Falls,O,ELMHURST,1,,2.0,2.0,2.0,10.0,-27.0,Pass,Complete,14.0,,,Complete,W Brown,,,,Bailey Germain,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,08:56,1436,0,10,-10,3,3,3,,,,,,,
27,UW-River Falls,O,ELMHURST,1,,2.0,3.0,1.0,10.0,-41.0,Run,Rush,0.0,,,,,,,,Ted Androli,Ben Ertz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:56,1436,0,10,-10,3,3,3,,,,,,,
28,UW-River Falls,O,ELMHURST,1,,2.0,4.0,2.0,10.0,-41.0,Run,Rush,-2.0,,,,,,,,Frank Hartman,Ted Androli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:56,1436,0,10,-10,3,3,3,,,,,,,
29,UW-River Falls,O,ELMHURST,1,,2.0,5.0,3.0,12.0,-39.0,Pass,Complete,21.0,,,Complete,,,,,Dominiqu Turner,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,08:56,1436,0,10,-10,3,3,3,,,,,,,
30,UW-River Falls,O,ELMHURST,1,,2.0,6.0,1.0,10.0,40.0,Pass,Incomplete,0.0,,,Incomplete,,,,,Bailey Germain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:56,1436,0,10,-10,3,3,3,,,,,,,
31,UW-River Falls,O,ELMHURST,1,,2.0,7.0,2.0,10.0,40.0,Pass,Complete,5.0,,,Complete,,,,,Dylan Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:56,1436,0,10,-10,3,3,3,,,,,,,
32,UW-River Falls,O,ELMHURST,1,,2.0,8.0,3.0,5.0,35.0,Pass,Incomplete,0.0,,,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:56,1436,0,10,-10,3,3,3,,,,,,,
33,UW-River Falls,O,ELMHURST,1,,2.0,9.0,4.0,5.0,35.0,Pass,Incomplete,0.0,,,Incomplete,,,,,Dylan Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Downs,08:56,1436,0,10,-10,3,3,3,,,,,,,
34,UW-River Falls,D,UWRF,1,,3.0,1.0,0.0,10.0,-35.0,Run,Rush,2.0,Kaleb Blaha,,,,,,,Charlie Korbein,,True,Kaleb Blaha,fumble Kraus,ELMHURST,,,,-35.0,,,,,,,,,,,,,,,,,,,,,,Fumble,05:54,1254,10,0,-10,3,3,3,,,,,,,
35,UW-River Falls,O,ELMHURST,1,,3.0,1.0,0.0,10.0,35.0,Pass,Complete,1.0,,,Complete,W Brown,,,,Jake Halsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:45,1245,0,10,-10,3,3,3,,,,,,,
36,UW-River Falls,O,ELMHURST,1,,3.0,2.0,2.0,11.0,36.0,Run,Rush,7.0,,,,,,,,Dylan Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:45,1245,0,10,-10,3,3,3,,,,,,,
37,UW-River Falls,O,ELMHURST,1,,3.0,3.0,3.0,4.0,29.0,Pass,Incomplete,0.0,,,Incomplete,,,,,Ted Androli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:45,1245,0,10,-10,3,3,3,,,,,,,
