PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Bluefield,K,E&H,1,,,,,,,KO,Return,,,,,,,,,Nate Hamilton,Trevor Dowdell,,,,,,Jaquan Ebron,19,21.0,Cameron Jones,63.0,2.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Bluefield,D,BLU,1,,1.0,1.0,0.0,10.0,-21.0,Run,Rush,1.0,Antonio Strickland,,,,,,,Donovan Pinnix,Deandre Chambliss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
3,Bluefield,D,BLU,1,,1.0,2.0,2.0,9.0,-22.0,Pass,Complete,1.0,,Josh Nelson,Complete,Antonio Strickland,,,,Dalton Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
4,Bluefield,D,BLU,1,,1.0,3.0,3.0,10.0,-21.0,Pass,Complete,5.0,,Josh Nelson,Complete,Antonio Strickland,,,,Zyquis Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:54,1794,0,0,0,3,3,3,,,,,,,
5,Bluefield,K,BLU,1,,,,4.0,5.0,-26.0,Punt Ret,,,,,,,,,,,,,,,,,,,,,,,,,Tanner Griffith,40.0,34.0,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
6,Bluefield,O,E&H,1,,1.0,1.0,0.0,10.0,34.0,Run,Rush,3.0,Devontae Jordan,,,,,,,DaMarcus Wimbush,Logan Patron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:55,1675,0,0,0,3,3,3,,,,,,,
7,Bluefield,O,E&H,1,,1.0,2.0,2.0,7.0,37.0,Pass,Incomplete,0.0,,Kyle Short,Incomplete,Kashawn Cosey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:55,1675,0,0,0,3,3,3,,,,,,,
8,Bluefield,O,E&H,1,,1.0,3.0,3.0,7.0,37.0,Pass,Incomplete,0.0,,Kyle Short,Incomplete,Elijah Rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,12:55,1675,0,0,0,3,3,3,Offside,BLU,Logan Patron,,,,5.0
9,Bluefield,,E&H,1,,,,3.0,2.0,42.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:55,1675,0,0,0,3,3,3,Offside,BLU,Kyle Orris,,,,5.0
10,Bluefield,O,E&H,1,,1.0,4.0,1.0,10.0,47.0,Pass,Complete,8.0,,Kyle Short,Complete,Kashawn Cosey,,,,Charles Turner-Cox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:55,1675,0,0,0,3,3,3,,,,,,,
