PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Crown (MN),K,CROW,1,,,,,,,KO Ret,,,,,,,,,,,,,,,,,,,,Jonah Osborne,43.0,22.0,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Crown (MN),O,FINNU,1,,1.0,1.0,0.0,10.0,-22.0,Run,Rush,4.0,B. OWENS,,,,,,,Shane Van Roo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,illegal block,FINNU,F. MONROE,,,,10.0
3,Crown (MN),O,FINNU,1,,1.0,2.0,1.0,16.0,-16.0,Pass,Complete,8.0,,F. MONROE,Complete,J. EVE,,,,Shane Van Roo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Crown (MN),O,FINNU,1,,1.0,3.0,2.0,8.0,-24.0,Pass,Incomplete,0.0,,F. MONROE,Incomplete,R. TOLDNESS,,,,Shane Van Roo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Crown (MN),O,FINNU,1,,1.0,4.0,3.0,8.0,-24.0,Pass,Sack,-5.0,,F. MONROE,Sack,,,,,Shane Van Roo,Millicent Grear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Crown (MN),K,FINNU,1,,,,4.0,13.0,-19.0,Punt,,,,,,,,,,,,,,,,,,,,,,,,,C. CROUCH,45.0,36.0,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,Crown (MN),D,CROW,1,,1.0,1.0,0.0,10.0,-36.0,Pass,Incomplete,0.0,,Jared Gilmore,Incomplete,George Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:10,1690,0,0,0,3,3,3,,,,,,,
8,Crown (MN),D,CROW,1,,1.0,2.0,2.0,10.0,-36.0,Pass,Complete,10.0,,Jared Gilmore,Complete,George Green,,,,B. ST. FORT,J. HILL,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:10,1690,0,0,0,3,3,3,,,,,,,
9,Crown (MN),D,CROW,1,,1.0,3.0,1.0,10.0,-46.0,Pass,Incomplete,0.0,,Jared Gilmore,Incomplete,George Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:10,1690,0,0,0,3,3,3,,,,,,,
10,Crown (MN),D,CROW,1,,1.0,4.0,2.0,10.0,-46.0,Pass,Complete,3.0,,Jared Gilmore,Complete,Ryan Swecker,,,,D. INGRAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:10,1690,0,0,0,3,3,3,,,,,,,
11,Crown (MN),D,CROW,1,,1.0,5.0,3.0,7.0,-49.0,Run,Rush,0.0,Jared Gilmore,,,,,,,D. CARLSON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,13:10,1690,0,0,0,3,3,3,,,,,,,
12,Crown (MN),K,CROW,1,,,,4.0,7.0,-49.0,Punt Ret,,,,,,,,,,,,,,,,,,,,,,,,,Jared Gilmore,27.0,24.0,,,,,,,,,,,,,,,13:10,1690,0,0,0,3,3,3,,,,,,,
13,Crown (MN),,FINNU,1,,,,1.0,10.0,-24.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:52,1552,0,0,0,3,3,3,false start,FINNU,A. AGUIRRE,,,,5.0
14,Crown (MN),O,FINNU,1,,2.0,1.0,0.0,15.0,-19.0,Pass,Complete,10.0,,F. MONROE,Complete,R. TOLDNESS,,,,Teris Watson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:52,1552,0,0,0,3,3,3,,,,,,,
15,Crown (MN),O,FINNU,1,,2.0,2.0,2.0,5.0,-29.0,Run,Rush,4.0,I. ROBERSON,,,,,,,Noe Urrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:52,1552,0,0,0,3,3,3,,,,,,,
16,Crown (MN),O,FINNU,1,,2.0,3.0,3.0,1.0,-33.0,Run,Rush,-1.0,I. ROBERSON,,,,,,,Noe Urrea,Isaac Herron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,10:52,1552,0,0,0,3,3,3,,,,,,,
17,Crown (MN),K,FINNU,1,,,,4.0,2.0,-32.0,Punt,,,,,,,,,,,,,,,,,,,,,,,,,C. CROUCH,30.0,38.0,,,,,,,,,,,,,,,10:52,1552,0,0,0,3,3,3,,,,,,,
18,Crown (MN),D,CROW,1,,2.0,1.0,0.0,10.0,-38.0,Pass,Incomplete,0.0,,Jared Gilmore,Incomplete,Terry Warner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:06,1446,0,0,0,3,3,3,,,,,,,
19,Crown (MN),D,CROW,1,,2.0,2.0,2.0,10.0,-38.0,Run,Rush,8.0,Avory Caruthers,,,,,,,I. CODERE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:06,1446,0,0,0,3,3,3,,,,,,,
20,Crown (MN),D,CROW,1,,2.0,3.0,3.0,2.0,-46.0,Run,Rush,1.0,Avory Caruthers,,,,,,,I. CODERE,J. HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:06,1446,0,0,0,3,3,3,,,,,,,
21,Crown (MN),D,CROW,1,,2.0,4.0,4.0,1.0,-47.0,Run,Rush,20.0,Avory Caruthers,,,,,,,D. INGRAM,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,09:06,1446,0,0,0,3,3,3,,,,,,,
22,Crown (MN),D,CROW,1,,2.0,5.0,1.0,10.0,33.0,Pass,Incomplete,0.0,,Jared Gilmore,Incomplete,George Green,,,,B. ST. FORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:06,1446,0,0,0,3,3,3,,,,,,,
23,Crown (MN),D,CROW,1,,2.0,6.0,2.0,10.0,33.0,Pass,Incomplete,0.0,,Jared Gilmore,Incomplete,Cole Mistretta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,,,09:06,1446,0,0,0,3,3,3,pass interference,FINNU,A. LARA,,,,15.0
24,Crown (MN),D,CROW,1,,2.0,7.0,1.0,10.0,18.0,Run,Rush,4.0,Avory Caruthers,,,,,,,J. HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:06,1446,0,0,0,3,3,3,,,,,,,
25,Crown (MN),,CROW,1,,,,2.0,6.0,14.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:06,1446,0,0,0,3,3,3,false start,CROW,George Green,,,,5.0
26,Crown (MN),D,CROW,1,,2.0,8.0,2.0,11.0,19.0,Pass,Incomplete,0.0,,Jared Gilmore,Incomplete,Cole Mistretta,,,,A. LARA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:06,1446,0,0,0,3,3,3,,,,,,,
27,Crown (MN),D,CROW,1,,2.0,9.0,3.0,11.0,19.0,Pass,Incomplete,0.0,,Jared Gilmore,Incomplete,Terry Warner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:06,1446,0,0,0,3,3,3,,,,,,,
28,Crown (MN),D,CROW,1,,2.0,10.0,4.0,11.0,19.0,Pass,Incomplete,0.0,,Jared Gilmore,Incomplete,Ryan Swecker,,,,A. LARA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Downs,09:06,1446,0,0,0,3,3,3,,,,,,,
29,Crown (MN),O,FINNU,1,,3.0,1.0,0.0,10.0,-19.0,Run,Rush,5.0,J. HOOKS,,,,,,,Quis Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:53,1253,0,0,0,3,3,3,,,,,,,
30,Crown (MN),O,FINNU,1,,3.0,2.0,2.0,5.0,-24.0,Run,Rush,9.0,J. HOOKS,,,,,,,Tommy Hamm,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,05:53,1253,0,0,0,3,3,3,,,,,,,
31,Crown (MN),,FINNU,1,,,,1.0,10.0,-33.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:53,1253,0,0,0,3,3,3,false start,FINNU,N. LAFLEUR,,,,5.0
32,Crown (MN),O,FINNU,1,,3.0,3.0,1.0,15.0,-28.0,Pass,Incomplete,0.0,,F. MONROE,Incomplete,B. OWENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:53,1253,0,0,0,3,3,3,,,,,,,
33,Crown (MN),O,FINNU,1,,3.0,4.0,2.0,15.0,-28.0,Pass,Complete,42.0,,F. MONROE,Complete,J. HOOKS,,,,Rudy Criner,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,05:53,1253,0,0,0,3,3,3,,,,,,,
