PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Greenville,K,FINNU,1,,,,,,,KO,Return,,,,,,,,,K. SANDERS,M. WALKER,,,,,,Adrian Hinton,11,33.0,C. CROUCH,43.0,22.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Greenville,D,GREENVIL,1,,1.0,1.0,0.0,10.0,-33.0,Run,Rush,-1.0,Paul Garrett,,,,,,,Paul Garrett,,True,Paul Garrett,C. GARBOWSKI,FINNU,C. GARBOWSKI,,,-32.0,,,,,,,,,,,,,,,,,,,,,,Fumble,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Greenville,O,FINNU,1,,1.0,1.0,0.0,10.0,32.0,Run,Rush,2.0,M. WALKER,,,,,,,Lakari Benjamin,Turjon McLaurin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:35,1775,0,0,0,3,3,3,,,,,,,
4,Greenville,O,FINNU,1,,1.0,2.0,2.0,8.0,30.0,Run,Rush,-1.0,M. WALKER,,,,,,,Lakari Benjamin,Dewayne Garrett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:35,1775,0,0,0,3,3,3,,,,,,,
5,Greenville,O,FINNU,1,,1.0,3.0,3.0,9.0,31.0,Pass,Complete,5.0,,C. CROUCH,Complete,J. DUNCAN,,,,Greg Urbanc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:35,1775,0,0,0,3,3,3,,,,,,,
6,Greenville,O,FINNU,1,,1.0,4.0,4.0,4.0,26.0,Run,Rush,5.0,C. CROUCH,,,,,,,Greg Urbanc,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:35,1775,0,0,0,3,3,3,,,,,,,
7,Greenville,O,FINNU,1,,1.0,5.0,1.0,10.0,21.0,Pass,Complete,13.0,,C. CROUCH,Complete,B. OWENS,,,,Greg Urbanc,Javiera Bovell,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:35,1775,0,0,0,3,3,3,,,,,,,
8,Greenville,O,FINNU,1,,1.0,6.0,1.0,8.0,8.0,Run,Rush,-4.0,M. WALKER,,,,,,,Lakari Benjamin,Tabias Coleman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:35,1775,0,0,0,3,3,3,,,,,,,
9,Greenville,O,FINNU,1,,1.0,7.0,2.0,12.0,12.0,Pass,Sack,-8.0,,C. CROUCH,Sack,,,,,Javiera Bovell,Turjon McLaurin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:35,1775,0,0,0,3,3,3,,,,,,,
10,Greenville,O,FINNU,1,,1.0,8.0,3.0,20.0,20.0,Pass,Sack,-9.0,,C. CROUCH,Sack,,,,,Lakari Benjamin,Brandon Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:35,1775,0,0,0,3,3,3,,,,,,,
