PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Dean,K,DEAN,1,,,,,,,KO Ret,Return,,,,,,,,,Ryan Tigges,,,,,,,Jordan Dickerson,6,6.0,Mason Dill,65.0,0.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Dean,O,FITCHBUR,1,,1.0,1.0,0.0,10.0,-6.0,Run,Rush,1.0,Joseph Haskins,,,,,,,Nicholaus Grimaldi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
3,Dean,O,FITCHBUR,1,,1.0,2.0,2.0,9.0,-7.0,Run,Rush,6.0,Frank Sims,,,,,,,Evan Stephens,Nicholaus Grimaldi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
4,Dean,O,FITCHBUR,1,,1.0,3.0,3.0,3.0,-13.0,Run,Rush,13.0,Frank Sims,,,,,,,Kordell Scott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
5,Dean,O,FITCHBUR,1,,1.0,4.0,1.0,10.0,-26.0,Run,Rush,3.0,Frank Sims,,,,,,,Patrick Clifford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
6,Dean,,FITCHBUR,1,,,,2.0,7.0,-29.0,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fitchburg St.,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
7,Dean,O,FITCHBUR,1,,1.0,5.0,2.0,7.0,-29.0,Run,Rush,2.0,Frank Sims,,,,,,,Desmond Dias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:57,1617,0,0,0,2,2,3,,,,,,,
8,Dean,O,FITCHBUR,1,,1.0,6.0,3.0,5.0,-31.0,Pass,Incomplete,0.0,,Joseph Haskins,Incomplete,Matthew Aguirre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,11:57,1617,0,0,0,2,2,3,,,,,,,
9,Dean,K,FITCHBUR,1,,,,4.0,5.0,-31.0,Punt,Out of bounds,,,,,,,,,,,,,,,,,,,,,,,,Joseph Haskins,28.0,41.0,Out of bounds,,,,,,,,,,,,,,11:57,1617,0,0,0,2,2,3,,,,,,,
10,Dean,D,DEAN,1,,1.0,1.0,0.0,10.0,-41.0,Run,Rush,8.0,Ki'sean Bullard,,,,,,,Mukandu Ashema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:58,1558,0,0,0,2,3,2,,,,,,,
