PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Bridgewater St.,K,BRIDGEWA,1,,,,,,,KO Ret,Return,,,,,,,,,,,True,Benjamin Paliza,Mitchell Gimble,BRIDGEWA,Mitchell Gimble,Benjamin Paliza,0,22.0,Shane Drake,43.0,22.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Bridgewater St.,D,BRIDGEWA,1,,1.0,1.0,0.0,10.0,22.0,Run,Rush,2.0,Adam Couch,,,,,,,Rodny Bonhomme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Bridgewater St.,D,BRIDGEWA,1,,1.0,2.0,2.0,8.0,20.0,Pass,Complete,5.0,,James Cahoon,Complete,Jalen Kopecky,,,,Joel Monteiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Bridgewater St.,D,BRIDGEWA,1,,1.0,3.0,3.0,3.0,15.0,Run,Rush,10.0,Adam Couch,,,,,,,Torrian Wise Jr,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,15:00,1800,0,0,0,3,3,3,holding,BRIDGEWA,,,,,9.0
5,Bridgewater St.,D,BRIDGEWA,1,,1.0,4.0,3.0,12.0,24.0,Pass,Complete,13.0,,James Cahoon,Complete,Wyatt Shisler,,,,Devin Current,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Bridgewater St.,D,BRIDGEWA,1,,1.0,5.0,1.0,10.0,11.0,Pass,Complete,11.0,,James Cahoon,Complete,T.J. Hairston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,15:00,1800,0,0,0,3,3,3,,,,,,,
7,Bridgewater St.,K,BRIDGEWA,1,,,,,,,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thomas Fay,,,Good,,,,,,,,,13:17,1697,6,0,-6,3,3,3,,,,,,,
8,Bridgewater St.,K,BRIDGEWA,1,,,,,,,KO Ret,Return,,,,,,,,,Brandon Daley,Robert Marshall,,,,,,Benjamin Paliza,21,34.0,Shane Drake,52.0,13.0,Return,,,,,,,,,,,,,,,,,,,13:17,1697,7,0,-7,3,3,3,,,,,,,
9,Bridgewater St.,O,FITCHBUR,1,,1.0,1.0,0.0,10.0,-34.0,Run,Rush,18.0,Benjamin Paliza,,,,,,,Andre Domond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:17,1697,0,7,-7,3,3,3,,,,,,,
10,Bridgewater St.,O,FITCHBUR,1,,1.0,2.0,1.0,10.0,48.0,Run,Rush,1.0,Frank Sims,,,,,,,Anton Vasquez,Brian Campagna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:17,1697,0,7,-7,3,3,3,,,,,,,
11,Bridgewater St.,O,FITCHBUR,1,,1.0,3.0,2.0,9.0,47.0,Run,Rush,4.0,Joseph Haskins,,,,,,,Steven Silvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:17,1697,0,7,-7,3,3,3,,,,,,,
12,Bridgewater St.,O,FITCHBUR,1,,1.0,4.0,3.0,5.0,43.0,Run,Rush,-3.0,Thiago Palma,,,,,,,Jaren Alves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,13:17,1697,0,7,-7,3,3,3,,,,,,,
13,Bridgewater St.,K,FITCHBUR,1,,,,4.0,8.0,46.0,Punt,,,,,,,,,,,,,,,,,,,,,,,,,Joseph Haskins,46.0,0.0,,,,,,,,,,,,,,,13:17,1697,0,7,-7,3,3,3,,,,,,,
14,Bridgewater St.,D,BRIDGEWA,1,,2.0,1.0,0.0,10.0,-20.0,Pass,Complete,9.0,,James Cahoon,Complete,Ryan Verria,,,,Eduardo Guzman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:46,1546,7,0,-7,3,3,3,,,,,,,
15,Bridgewater St.,D,BRIDGEWA,1,,2.0,2.0,2.0,1.0,-29.0,Run,Rush,10.0,Adam Couch,,,,,,,Eduardo Guzman,Michael Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:46,1546,7,0,-7,3,3,3,,,,,,,
16,Bridgewater St.,D,BRIDGEWA,1,,2.0,3.0,1.0,10.0,-39.0,Run,Rush,1.0,Ryan Verria,,,,,,,Devin Current,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:46,1546,7,0,-7,3,3,3,,,,,,,
17,Bridgewater St.,D,BRIDGEWA,1,,2.0,4.0,2.0,9.0,-40.0,Run,Rush,3.0,Adam Couch,,,,,,,Mukandu Ashema,Michael Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:46,1546,7,0,-7,3,3,3,,,,,,,
18,Bridgewater St.,D,BRIDGEWA,1,,2.0,5.0,3.0,6.0,-43.0,Pass,Sack,-4.0,,James Cahoon,Sack,,,,,Rodny Bonhomme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,10:46,1546,7,0,-7,3,3,3,holding,BRIDGEWA,,,,,
