PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Puget Sound,K,GFU,1,,,,,,,KO,Return,,,,,,,,,Austin Brockamp,,,,,,,Silas Washington,21,22.0,Jason Santoni,64.0,1.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Puget Sound,D,UPS,1,,1.0,1.0,0.0,10.0,-22.0,Pass,Incomplete,0.0,,AJ Johnson,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:52,1792,0,0,0,3,3,3,,,,,,,
3,Puget Sound,D,UPS,1,,1.0,2.0,2.0,10.0,-22.0,Run,Rush,1.0,Murdock Rutledge,,,,,,,Justin Montijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:52,1792,0,0,0,3,3,3,,,,,,,
4,Puget Sound,D,UPS,1,,1.0,3.0,3.0,9.0,-23.0,Pass,Incomplete,0.0,,Murdock Rutledge,Incomplete,AJ Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:52,1792,0,0,0,3,3,3,,,,,,,
5,Puget Sound,D,UPS,1,,1.0,4.0,4.0,9.0,-23.0,Run,Rush,-12.0,Alex Everett,,,,,,,Leon Johnson III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Downs,14:52,1792,0,0,0,3,3,3,,,,,,,
6,Puget Sound,O,GFU,1,,1.0,1.0,0.0,10.0,11.0,Pass,Complete,5.0,,Haiden Schaan,Complete,Ethan Kassebaum,,,,Kaden Nelson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:02,1742,0,0,0,3,3,3,,,,,,,
7,Puget Sound,O,GFU,1,,1.0,2.0,2.0,5.0,6.0,Run,Rush,6.0,Haiden Schaan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,14:02,1742,0,0,0,3,3,3,,,,,,,
8,Puget Sound,K,GFU,1,,,,1.0,3.0,3.0,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jason Santoni,,,Good,,,,,,,,,13:18,1698,6,0,6,3,3,3,,,,,,,
9,Puget Sound,K,GFU,1,,,,1.0,10.0,-35.0,KO,Touchback,,,,,,,,,,,,,,,,,,,Jason Santoni,65.0,0.0,Touchback,,,,,,,,,,,,,,,,,,,13:18,1698,7,0,7,3,3,3,,,,,,,
10,Puget Sound,D,UPS,1,,2.0,1.0,0.0,10.0,-25.0,Pass,Incomplete,0.0,,Murdock Rutledge,Incomplete,AJ Johnson,Chris McCoy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:18,1698,0,7,7,3,3,3,,,,,,,
