PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Whitworth,K,GFU,1,,,,,,,KO,Return,,,,,,,,,Jason Santoni,,,,,,,Cameron Sheley,15,23.0,Jason Santoni,57.0,8.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,holding,WHTW,Dillon Kuk,,,,10.0
2,Whitworth,D,WHTW,1,,1.0,1.0,0.0,10.0,-13.0,Run,Rush,4.0,Cameron Sheley,,,,,,,Justin Montijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Whitworth,D,WHTW,1,,1.0,2.0,2.0,6.0,-17.0,Run,Rush,2.0,Gio Fregoso,,,,,,,Wyatt Adams,Lucas Schwin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Whitworth,D,WHTW,1,,1.0,3.0,3.0,4.0,-19.0,Pass,Complete,5.0,,Gio Fregoso,Complete,Dylan Ashbeck,,,,Lucas Schwin,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Whitworth,D,WHTW,1,,1.0,4.0,1.0,10.0,-24.0,Run,Rush,4.0,Solomon Hines,,,,,,,Josh Poppleton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Whitworth,D,WHTW,1,,1.0,5.0,2.0,6.0,-28.0,Pass,Complete,9.0,,Gio Fregoso,Complete,Dillon Kuk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,Whitworth,D,WHTW,1,,1.0,6.0,1.0,10.0,-37.0,Pass,Complete,11.0,,Gio Fregoso,Complete,Dillon Kuk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
8,Whitworth,D,WHTW,1,,1.0,7.0,1.0,10.0,-48.0,Run,Rush,0.0,Solomon Hines,,,,,,,Chris McCoy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
9,Whitworth,,WHTW,1,,,,2.0,10.0,-48.0,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Whitworth,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
10,Whitworth,D,WHTW,1,,1.0,8.0,2.0,10.0,-48.0,Pass,Complete,9.0,,Gio Fregoso,Complete,Kanen Ables,,,,Chris McCoy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:16,1576,0,0,0,3,2,3,,,,,,,
