PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Dickinson,K,GCFB,1,,,,,,,KO,Return,,,,,,,,,Mike Del Grande,,,,,,,Prince Douglass,26,26.0,Doug Cummings,65.0,0.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Dickinson,D,DC,1,,1.0,1.0,0.0,10.0,-26.0,Run,Rush,7.0,Diante Ball,,,,,,,Alex Raimondo,Jr. Singleton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
3,Dickinson,D,DC,1,,1.0,2.0,2.0,3.0,-33.0,Run,Rush,7.0,Diante Ball,,,,,,,Mike Galaida,Kevin Park,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
4,Dickinson,D,DC,1,,1.0,3.0,1.0,10.0,-40.0,Run,Rush,8.0,Diante Ball,,,,,,,Von Musgrove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
5,Dickinson,D,DC,1,,1.0,4.0,2.0,2.0,-48.0,Pass,Complete,8.0,,Caleb Pruitt,Complete,Diante Ball,,,,Mike Galaida,Kevin Park,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
6,Dickinson,D,DC,1,,1.0,5.0,1.0,10.0,44.0,Run,Rush,19.0,Diante Ball,,,,,,,Johnny O'Beirne,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
7,Dickinson,D,DC,1,,1.0,6.0,1.0,10.0,25.0,Run,Rush,2.0,Diante Ball,,,,,,,Kevin Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
8,Dickinson,D,DC,1,,1.0,7.0,2.0,8.0,23.0,Run,Rush,0.0,Robert Geiss,,,,,,,Alex Raimondo,Chris Lessel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
9,Dickinson,D,DC,1,,1.0,8.0,3.0,8.0,23.0,Pass,Incomplete,0.0,,Caleb Pruitt,Incomplete,Bryce Peterson,,,,Jr. L. Nicolas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
10,Dickinson,D,DC,1,,1.0,9.0,4.0,8.0,23.0,Pass,Complete,13.0,,Caleb Pruitt,Complete,Robert Geiss,,,,J. Adedinsewo,Johnny O'Beirne,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
11,Dickinson,D,DC,1,,1.0,10.0,1.0,10.0,10.0,Run,Rush,4.0,Diante Ball,,,,,,,Mike Galaida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
12,Dickinson,D,DC,1,,1.0,11.0,2.0,6.0,6.0,Pass,Incomplete,0.0,,Caleb Pruitt,Incomplete,Prince Douglass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
13,Dickinson,D,DC,1,,1.0,12.0,3.0,6.0,6.0,Pass,Incomplete,0.0,,Caleb Pruitt,Incomplete,Robert Geiss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FG,14:53,1793,0,0,0,3,3,3,,,,,,,
14,Dickinson,K,DC,1,,,,4.0,6.0,6.0,FG Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Raleigh Wynot,23.0,Good,,,,,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
15,Dickinson,K,DC,1,,,,1.0,-35.0,-35.0,KO Ret,Return,,,,,,,,,Matt Moroz,Alex Sulin,,,,,,Cagen Keir,15,25.0,Matt Moroz,55.0,10.0,Return,,,,,,,,,,,,,,,,,,,09:08,1448,3,0,-3,3,3,3,,,,,,,
16,Dickinson,O,GCFB,1,,1.0,1.0,0.0,10.0,-25.0,Pass,Complete,11.0,,,Complete,Teddy Girton,,,,Alex Sulin,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,09:02,1442,0,3,-3,3,3,3,,,,,,,
17,Dickinson,O,GCFB,1,,1.0,2.0,1.0,10.0,-36.0,Run,Rush,14.0,Sebastian Gibbs,,,,,,,Tommy Buchert,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,09:02,1442,0,3,-3,3,3,3,,,,,,,
18,Dickinson,O,GCFB,1,,1.0,3.0,1.0,10.0,-50.0,Pass,Complete,6.0,,,Complete,Mike Vigliano,,,,Taj DeFrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:02,1442,0,3,-3,3,3,3,,,,,,,
19,Dickinson,O,GCFB,1,,1.0,4.0,2.0,4.0,44.0,Run,Rush,0.0,,,,,,,,Brian Snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,09:02,1442,0,3,-3,3,3,3,holding,GCFB,,,,,10.0
20,Dickinson,O,GCFB,1,,1.0,5.0,2.0,14.0,-46.0,Pass,Complete,5.0,,,Complete,Mike Vigliano,,,,Taj DeFrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:02,1442,0,3,-3,3,3,3,,,,,,,
21,Dickinson,,GCFB,1,,,,3.0,9.0,49.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:02,1442,0,3,-3,3,3,3,encroachment,DC,Griff Lundquist,,,,5.0
22,Dickinson,O,GCFB,1,,1.0,6.0,3.0,4.0,44.0,Pass,Incomplete,0.0,,,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,09:02,1442,0,3,-3,3,3,3,,,,,,,
23,Dickinson,K,GCFB,1,,,,4.0,4.0,44.0,Punt,,,,,,,,,,,,,,,,,,,,,,,,,Doug Cummings,22.0,22.0,,,,,,,,,,,,,,,09:02,1442,0,3,-3,3,3,3,,,,,,,
24,Dickinson,D,DC,1,,2.0,1.0,0.0,10.0,-22.0,Run,Rush,11.0,Prince Douglass,,,,,,,Chris Lessel,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,05:50,1250,3,0,-3,3,3,3,,,,,,,
25,Dickinson,D,DC,1,,2.0,2.0,1.0,10.0,-33.0,Pass,Complete,14.0,,Caleb Pruitt,Complete,Robert Geiss,,,,Matt Mikulka,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,05:50,1250,3,0,-3,3,3,3,personal foul,GCFB,,,,,15.0
26,Dickinson,D,DC,1,,2.0,3.0,1.0,10.0,38.0,Pass,Incomplete,0.0,,Caleb Pruitt,Incomplete,Diante Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:50,1250,3,0,-3,3,3,3,,,,,,,
27,Dickinson,D,DC,1,,2.0,4.0,2.0,10.0,38.0,Run,Rush,10.0,Diante Ball,,,,,,,Von Musgrove,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,05:50,1250,3,0,-3,3,3,3,unsportsmanlike conduct,GCFB,,,,,14.0
28,Dickinson,D,DC,1,,2.0,5.0,1.0,10.0,14.0,Pass,Incomplete,0.0,,Caleb Pruitt,Incomplete,Prince Douglass,,,,Johnny O'Beirne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:50,1250,3,0,-3,3,3,3,,,,,,,
29,Dickinson,D,DC,1,,2.0,6.0,2.0,10.0,14.0,Run,Rush,4.0,Caleb Pruitt,,,,,,,Mike Galaida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:50,1250,3,0,-3,3,3,3,,,,,,,
30,Dickinson,D,DC,1,,2.0,7.0,3.0,6.0,10.0,Pass,Incomplete,0.0,,Caleb Pruitt,Incomplete,Johnny Knight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FG,05:50,1250,3,0,-3,3,3,3,,,,,,,
31,Dickinson,K,DC,1,,,,4.0,6.0,10.0,FG Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Raleigh Wynot,25.0,Good,,,,,,,,,,05:50,1250,3,0,-3,3,3,3,,,,,,,
32,Dickinson,K,DC,1,,,,1.0,-35.0,-35.0,KO Ret,Return,,,,,,,,,Aleks Zivanovic,,,,,,,Cagen Keir,9,21.0,Matt Moroz,53.0,12.0,Return,,,,,,,,,,,,,,,,,,,03:28,1108,6,0,-6,3,3,3,,,,,,,
33,Dickinson,O,GCFB,1,,2.0,1.0,0.0,10.0,-21.0,Pass,Complete,8.0,,,Complete,Mike Vigliano,,,,Taj DeFrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:21,1101,0,6,-6,3,3,3,,,,,,,
34,Dickinson,O,GCFB,1,,2.0,2.0,2.0,2.0,-29.0,Run,Rush,2.0,Sebastian Gibbs,,,,,,,Brian Snow,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,03:21,1101,0,6,-6,3,3,3,,,,,,,
35,Dickinson,O,GCFB,1,,2.0,3.0,1.0,10.0,-31.0,Run,Rush,-1.0,Sebastian Gibbs,,,,,,,Gordon Forsyth,Taj DeFrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:21,1101,0,6,-6,3,3,3,,,,,,,
36,Dickinson,O,GCFB,1,,2.0,4.0,2.0,11.0,-30.0,Pass,Incomplete,0.0,,,Incomplete,Mike Vigliano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:21,1101,0,6,-6,3,3,3,,,,,,,
37,Dickinson,O,GCFB,1,,2.0,5.0,3.0,11.0,-30.0,Pass,Sack,-4.0,,,Sack,,,,,Gordon Forsyth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,03:21,1101,0,6,-6,3,3,3,,,,,,,
38,Dickinson,K,GCFB,1,,,,4.0,15.0,-26.0,Punt,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,,Doug Cummings,33.0,41.0,Fair Catch,,,,,,,,,,,,,,03:21,1101,0,6,-6,3,3,3,,,,,,,
39,Dickinson,D,DC,1,,3.0,1.0,0.0,10.0,-41.0,Run,Rush,0.0,Bryce Baylor,,,,,,,Mike Del Grande,Mike Galaida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:58,958,6,0,-6,3,3,3,,,,,,,
40,Dickinson,D,DC,1,,3.0,2.0,2.0,10.0,-41.0,Pass,Incomplete,0.0,,Caleb Pruitt,Incomplete,Andrew Reale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:58,958,6,0,-6,3,3,3,,,,,,,
41,Dickinson,D,DC,1,,3.0,3.0,3.0,10.0,-41.0,Pass,Incomplete,0.0,,Caleb Pruitt,Incomplete,Andrew Reale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,00:58,958,6,0,-6,3,3,3,,,,,,,
42,Dickinson,K,DC,1,,,,4.0,10.0,-41.0,Punt Ret,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,,Robert Geiss,37.0,22.0,Fair Catch,,,,,,,,,,,,,,00:58,958,6,0,-6,3,3,3,,,,,,,
43,Dickinson,O,GCFB,1,,3.0,1.0,0.0,10.0,-22.0,Pass,Incomplete,0.0,,,Incomplete,Sal DeBenedetto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:06,906,0,6,-6,3,3,3,,,,,,,
44,Dickinson,,GCFB,1,,,,2.0,10.0,-22.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:06,906,0,6,-6,3,3,3,false start,GCFB,,,,,5.0
45,Dickinson,O,GCFB,1,,3.0,2.0,2.0,15.0,-17.0,Pass,Incomplete,0.0,,,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:06,906,0,6,-6,3,3,3,,,,,,,
46,Dickinson,O,GCFB,2,,3.0,3.0,3.0,15.0,-17.0,Pass,Complete,16.0,,,Complete,Max Schelling,,,,Alex Sulin,Gordon Forsyth,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,900,0,6,-6,3,3,3,,,,,,,
47,Dickinson,O,GCFB,2,,3.0,4.0,1.0,10.0,-33.0,Run,Rush,4.0,Cagen Keir,,,,,,,Gordon Forsyth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,900,0,6,-6,3,3,3,,,,,,,
48,Dickinson,O,GCFB,2,,3.0,5.0,2.0,6.0,-37.0,Pass,Complete,7.0,,,Complete,Chris Vass,,,,Tommy Buchert,Gordon Forsyth,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,900,0,6,-6,3,3,3,,,,,,,
49,Dickinson,O,GCFB,2,,3.0,6.0,1.0,10.0,-44.0,Pass,Sack,-3.0,,,Sack,,,,,Sam Mueller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,900,0,6,-6,3,3,3,,,,,,,
50,Dickinson,O,GCFB,2,,3.0,7.0,2.0,13.0,-41.0,Run,Rush,-2.0,,,,,,,,Brian Snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,900,0,6,-6,3,3,3,,,,,,,
51,Dickinson,O,GCFB,2,,3.0,8.0,3.0,15.0,-39.0,Pass,Incomplete,0.0,,,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,900,0,6,-6,3,3,3,,,,,,,
52,Dickinson,K,GCFB,2,,,,4.0,15.0,-39.0,Punt,,,,,,,,,,,,,,,,,,,,,,,,,Doug Cummings,61.0,0.0,,,,,,,,,,,,,,,15:00,900,0,6,-6,3,3,3,,,,,,,
53,Dickinson,D,DC,2,,4.0,1.0,0.0,10.0,-20.0,Pass,Complete,8.0,,Caleb Pruitt,Complete,Robert Geiss,,,,Von Musgrove,Mike Del Grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:43,703,6,0,-6,3,3,3,,,,,,,
54,Dickinson,D,DC,2,,4.0,2.0,2.0,2.0,-28.0,Run,Rush,6.0,Diante Ball,,,,,,,Mike Del Grande,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:43,703,6,0,-6,3,3,3,,,,,,,
55,Dickinson,D,DC,2,,4.0,3.0,1.0,10.0,-34.0,Pass,Complete,3.0,,Caleb Pruitt,Complete,Robert Geiss,,,,Chris Lessel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:43,703,6,0,-6,3,3,3,,,,,,,
