PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Grove City,K,GRO,1,,,,,,,KO Rec,Return,,,,,,,,,James Shaffer,,,,,,,D. McWhorter,15,31.0,Eddie Bianco,49.0,16.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Grove City,O,BET,1,,1.0,1.0,0.0,10.0,-31.0,Pass,Complete,3.0,,Dom Salinetro,Complete,Tim Mickens,,,,Ryan Fleming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Grove City,O,BET,1,,1.0,2.0,2.0,7.0,-34.0,Run,Rush,-2.0,Colton Stoneman,,,,,,,Bryce Spolnik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Grove City,O,BET,1,,1.0,3.0,3.0,9.0,-32.0,Pass,Complete,6.0,,Dom Salinetro,Complete,S. Smith,,,,Parker Kilgore,Branden Caffrey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Grove City,K,BET,1,,,,4.0,3.0,-38.0,Punt,Return,,,,,,,,,Colton Stoneman,,,,,,,Gabe Dunlap,16,39.0,,,,,,Brennan Secrist,39.0,23.0,Return,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Grove City,D,GRO,1,,1.0,1.0,0.0,10.0,-39.0,Run,Rush,12.0,Nico Flati,,,,,,,Rondell Lewis,Isaiah Thomas,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:07,1687,0,0,0,3,3,3,,,,,,,
7,Grove City,D,GRO,1,,1.0,2.0,1.0,10.0,49.0,Pass,Interception,0.0,,Josh Ehst,Interception,,,Isaiah Thomas,,,,,,,,,Isaiah Thomas,54,46.0,,,,,,,,,,,,,,,,,,True,,,,TD,13:07,1687,0,0,0,3,3,3,,,,,,,
8,Grove City,K,BET,1,,,,1.0,3.0,3.0,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sean Cole,,,Good,,,,,,,,,12:22,1642,6,0,6,3,3,3,,,,,,,
9,Grove City,K,BET,1,,,,1.0,-35.0,-35.0,KO,Return,,,,,,,,,Kobe Bolling,,,,,,,Gabe Dunlap,18,27.0,Sean Cole,56.0,9.0,Return,,,,,,,,,,,,,,,,,,,12:22,1642,7,0,7,3,3,3,,,,,,,
10,Grove City,D,GRO,1,,2.0,1.0,0.0,10.0,-27.0,Run,Rush,7.0,Clayton Parrish,,,,,,,Brennon Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:15,1635,0,7,7,3,3,3,,,,,,,
11,Grove City,D,GRO,1,,2.0,2.0,2.0,3.0,-34.0,Run,Rush,6.0,Clayton Parrish,,,,,,,C. Longmire Jr,Jaheem Culbert,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,12:15,1635,0,7,7,3,3,3,,,,,,,
12,Grove City,D,GRO,1,,2.0,3.0,1.0,10.0,-40.0,Run,Rush,8.0,Nico Flati,,,,,,,Rondell Lewis,D. Gilbert Jr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:15,1635,0,7,7,3,3,3,,,,,,,
13,Grove City,D,GRO,1,,2.0,4.0,2.0,2.0,-48.0,Run,Rush,4.0,Nico Flati,,,,,,,Brennon Smith,Shawn Wheeler,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,12:15,1635,0,7,7,3,3,3,,,,,,,
14,Grove City,D,GRO,1,,2.0,5.0,1.0,10.0,48.0,Run,Rush,6.0,Clayton Parrish,,,,,,,Rondell Lewis,D. Gilbert Jr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:15,1635,0,7,7,3,3,3,,,,,,,
15,Grove City,D,GRO,1,,2.0,6.0,2.0,4.0,42.0,Run,Rush,0.0,Clayton Parrish,,,,,,,Jaheem Culbert,Rondell Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:15,1635,0,7,7,3,3,3,,,,,,,
16,Grove City,D,GRO,1,,2.0,7.0,3.0,4.0,42.0,Pass,Complete,4.0,,Josh Ehst,Complete,Cody Gustafson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,12:15,1635,0,7,7,3,3,3,,,,,,,
17,Grove City,D,GRO,1,,2.0,8.0,1.0,10.0,38.0,Pass,Complete,11.0,,Josh Ehst,Complete,Cody Gustafson,,,,Dadrick Vickers,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,12:15,1635,0,7,7,3,3,3,,,,,,,
18,Grove City,D,GRO,1,,2.0,9.0,1.0,10.0,27.0,Run,Rush,8.0,Nico Flati,,,,,,,Rondell Lewis,Dadrick Vickers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:15,1635,0,7,7,3,3,3,,,,,,,
19,Grove City,D,GRO,1,,2.0,10.0,2.0,2.0,19.0,Run,Rush,9.0,Nico Flati,,,,,,,D. Gilbert Jr,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,12:15,1635,0,7,7,3,3,3,,,,,,,
20,Grove City,D,GRO,1,,2.0,11.0,1.0,10.0,10.0,Run,Rush,4.0,Clayton Parrish,,,,,,,D. Gilbert Jr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:15,1635,0,7,7,3,3,3,,,,,,,
21,Grove City,D,GRO,1,,2.0,12.0,2.0,6.0,6.0,Run,Rush,5.0,Clayton Parrish,,,,,,,Aarin Burton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:15,1635,0,7,7,3,3,3,,,,,,,
22,Grove City,D,GRO,1,,2.0,13.0,3.0,1.0,1.0,Run,Rush,1.0,Josh Ehst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,12:15,1635,0,7,7,3,3,3,,,,,,,
23,Grove City,K,GRO,1,,,,1.0,3.0,3.0,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nick Morrow,,,Good,,,,,,,,,04:56,1196,6,7,1,3,3,3,,,,,,,
24,Grove City,K,GRO,1,,,,1.0,-35.0,-35.0,KO Rec,Return,,,,,,,,,,,,,,,,D. McWhorter,15,28.0,Eddie Bianco,52.0,13.0,Return,,,,,,,,,,,,,,,,,,,04:56,1196,7,7,0,3,3,3,illegal block,BET,Q. McGlothin,,,,10.0
25,Grove City,O,BET,1,,2.0,1.0,0.0,10.0,-18.0,Pass,Complete,15.0,,Dom Salinetro,Complete,D. McWhorter,,,,Trevor Beck,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,04:51,1191,7,7,0,3,3,3,,,,,,,
26,Grove City,O,BET,1,,2.0,2.0,1.0,10.0,-33.0,Run,Rush,4.0,Dom Salinetro,,,,,,,Branden Caffrey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:51,1191,7,7,0,3,3,3,,,,,,,
27,Grove City,O,BET,1,,2.0,3.0,2.0,6.0,-37.0,Run,Rush,2.0,Colton Stoneman,,,,,,,Cole DeFillippo,Patrick Mark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:51,1191,7,7,0,3,3,3,,,,,,,
28,Grove City,O,BET,1,,2.0,4.0,3.0,4.0,-39.0,Pass,Complete,2.0,,Dom Salinetro,Complete,Chris Williams,,,,Gabe Dunlap,Parker Kilgore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,04:51,1191,7,7,0,3,3,3,,,,,,,
29,Grove City,K,BET,1,,,,4.0,6.0,-37.0,Punt,Return,,,,,,,,,Akindele Dare,,,,,,,Gabe Dunlap,15,32.0,,,,,,Brennan Secrist,46.0,17.0,Return,,,,,,,,,,,,,,04:51,1191,7,7,0,3,3,3,,,,,,,
30,Grove City,D,GRO,1,,3.0,1.0,0.0,10.0,-32.0,Pass,Complete,13.0,,Josh Ehst,Complete,Cody Gustafson,,,,Isaiah Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,02:26,1046,7,7,0,3,3,3,,,,,,,
