PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Trinity (Conn.),K,TRINITY,1,,,,,,,KO Rec,,,,,,,,,,,,,,,,,,,,Hampton Trout,60.0,0.0,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Trinity (Conn.),O,HAMILTON,1,,1.0,1.0,0.0,10.0,-25.0,Pass,Complete,10.0,,Joe Cairns,Complete,Drew Granski,,,,Aidan Kennedy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Trinity (Conn.),O,HAMILTON,1,,1.0,2.0,1.0,10.0,-35.0,Run,Rush,3.0,,Joe Cairns,,,,,,B. Casagrande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Trinity (Conn.),O,HAMILTON,1,,1.0,3.0,2.0,7.0,-38.0,Pass,Complete,6.0,,Joe Cairns,Complete,Nick Fabrizio,,,,William Crowley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Trinity (Conn.),O,HAMILTON,1,,1.0,4.0,3.0,1.0,-44.0,Pass,Incomplete,0.0,,Joe Cairns,Incomplete,Drew Granski,,,,Aidan Kennedy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Trinity (Conn.),K,HAMILTON,1,,,,4.0,1.0,-44.0,Punt,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,,Gus Mahler,23.0,33.0,Fair Catch,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,Trinity (Conn.),D,TRINITY,1,,1.0,1.0,0.0,10.0,-33.0,Run,Rush,3.0,,William KIrby,,,,,,George Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:45,1665,0,0,0,3,3,3,,,,,,,
8,Trinity (Conn.),D,TRINITY,1,,1.0,2.0,2.0,7.0,-36.0,Run,Rush,2.0,,Spencer Fetter,,,,,,Mike Cairns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:45,1665,0,0,0,3,3,3,,,,,,,
9,Trinity (Conn.),D,TRINITY,1,,1.0,3.0,3.0,5.0,-38.0,Pass,Complete,7.0,,Spencer Fetter,Complete,Jonathan Girard,,,,Matt Lopresti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:45,1665,0,0,0,3,3,3,,,,,,,
10,Trinity (Conn.),D,TRINITY,1,,1.0,4.0,1.0,10.0,-45.0,Run,Rush,-2.0,,William KIrby,,,,,,George Johnson,James Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:45,1665,0,0,0,3,3,3,,,,,,,
