PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Crown (MN),K,CC,1,,,,,,,KO Ret,Return,,,,,,,,,,,,,,,,Sam Fritz,0,35.0,Jonah Osborne,30.0,35.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Crown (MN),O,HU,1,,1.0,1.0,0.0,10.0,-35.0,Pass,Complete,13.0,,Connor Leavens,Complete,Ryan Lauterbach,,,,Beau Kyrola,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:58,1798,0,0,0,3,3,3,,,,,,,
3,Crown (MN),O,HU,1,,1.0,2.0,1.0,10.0,-48.0,Run,Rush,21.0,N Rocafort,,,,,,,Maddox Lawien,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:58,1798,0,0,0,3,3,3,,,,,,,
4,Crown (MN),O,HU,1,,1.0,3.0,1.0,10.0,31.0,Pass,Complete,9.0,,Connor Leavens,Complete,Alec Ralph,,,,Maddox Lawien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:58,1798,0,0,0,3,3,3,,,,,,,
5,Crown (MN),O,HU,1,,1.0,4.0,2.0,1.0,22.0,Pass,Complete,8.0,,Connor Leavens,Complete,Triston Thomas,,,,Destin Grant,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:58,1798,0,0,0,3,3,3,,,,,,,
6,Crown (MN),O,HU,1,,1.0,5.0,1.0,10.0,14.0,Pass,Complete,14.0,,Connor Leavens,Complete,Triston Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,14:58,1798,0,0,0,3,3,3,,,,,,,
7,Crown (MN),K,HU,1,,,,1.0,3.0,3.0,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lucius Negrillo,,,Good,,,,,,,,,12:27,1647,6,0,6,3,3,3,,,,,,,
8,Crown (MN),K,HU,1,,,,1.0,-35.0,-35.0,KO,Return,,,,,,,,,Triston Thomas,,,,,,,Rudy Criner,7,9.0,Lucius Negrillo,63.0,2.0,Return,,,,,,,,,,,,,,,,,,,12:27,1647,7,0,7,3,3,3,,,,,,,
9,Crown (MN),D,CC,1,,1.0,1.0,0.0,10.0,-9.0,Pass,Incomplete,0.0,,Jared Gilmore,Incomplete,Nichola Oberste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:18,1638,0,7,7,3,3,3,,,,,,,
10,Crown (MN),D,CC,1,,1.0,2.0,2.0,10.0,-9.0,Pass,Incomplete,0.0,,Jared Gilmore,Incomplete,Cole Mistretta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:18,1638,0,7,7,3,3,3,,,,,,,
