PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Carleton,K,CAR,1,,,,,,,KO Ret,Return,,,,,,,,,Henry Detmer,,,,,,,A Cracolici,19,25.0,Trent Ramirez,59.0,6.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Carleton,O,HU,1,,1.0,1.0,0.0,10.0,-25.0,Run,Rush,1.0,N Rocafort,,,,,,,John Witte,Michael Carey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:52,1792,0,0,0,3,3,3,,,,,,,
3,Carleton,O,HU,1,,1.0,2.0,2.0,9.0,-26.0,Pass,Incomplete,0.0,,Connor Leavens,Incomplete,Matt Miller,,,,Ryan Flanagan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:52,1792,0,0,0,3,3,3,,,,,,,
4,Carleton,O,HU,1,,1.0,3.0,3.0,9.0,-26.0,Pass,Complete,6.0,,Connor Leavens,Complete,N Rocafort,,,,Isaac Simons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:52,1792,0,0,0,3,3,3,,,,,,,
5,Carleton,K,HU,1,,,,4.0,3.0,-32.0,Punt,Return,,,,,,,,,Ryan Kouri,,,,,,,Travis Brown,9,44.0,,,,,,Lucius Negrillo,33.0,35.0,Return,,,,,,,,,,,,,,14:52,1792,0,0,0,3,3,3,,,,,,,
6,Carleton,D,CAR,1,,1.0,1.0,0.0,10.0,-44.0,Run,Rush,4.0,Aiden Chang,,,,,,,Carson Reinard,Max Fick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:20,1700,0,0,0,3,3,3,,,,,,,
7,Carleton,D,CAR,1,,1.0,2.0,2.0,6.0,-48.0,Pass,Complete,1.0,,Jonat Singleton,Complete,Aiden Chang,,,,Zach Griebel,Noah Hickman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:20,1700,0,0,0,3,3,3,,,,,,,
8,Carleton,D,CAR,1,,1.0,3.0,3.0,7.0,-47.0,Pass,Incomplete,0.0,,Jonat Singleton,Incomplete,Joseph Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,13:20,1700,0,0,0,3,3,3,,,,,,,
9,Carleton,K,CAR,1,,,,4.0,7.0,-47.0,Punt Ret,Return,,,,,,,,,,,True,Triston Thomas,,CAR,Ryan Flanagan,Triston Thomas,0,5.0,,,,,,Travis Brown,48.0,5.0,Return,,,,,,,,,,,,,,13:20,1700,0,0,0,3,3,3,,,,,,,
10,Carleton,D,CAR,1,,2.0,1.0,0.0,5.0,5.0,Run,Rush,3.0,Aiden Chang,,,,,,,John Luke-Otis,Melvin Kuegah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:29,1649,0,0,0,3,3,3,,,,,,,
