PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Macalester,K,HU,1,,,,,,,KO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Macalester,K,HU,1,,,,,,,KO,Return,,,,,,,,,Spencer Olson,,,,,,,Josh Bulski,0,34.0,Matt Peters,31.0,34.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Macalester,D,MAC,1,,1.0,1.0,0.0,10.0,-34.0,Run,Rush,3.0,Logan Pampel,,,,,,,Sam Fritz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
4,Macalester,D,MAC,1,,1.0,2.0,2.0,7.0,-37.0,Pass,Complete,32.0,,Michael Nadeau,Complete,Peter Vitalis,,,,Noah Hickman,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
5,Macalester,D,MAC,1,,1.0,3.0,1.0,10.0,31.0,Run,Rush,4.0,Logan Pampel,,,,,,,Zach Griebel,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,14:54,1794,0,0,0,3,3,3,holding,MAC,,,,,10.0
6,Macalester,D,MAC,1,,1.0,4.0,1.0,20.0,41.0,Run,Rush,11.0,Logan Pampel,,,,,,,Max Fick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
7,Macalester,D,MAC,1,,1.0,5.0,2.0,9.0,30.0,Pass,Complete,4.0,,Michael Nadeau,Complete,Peter Vitalis,,,,A Cracolici,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
8,Macalester,D,MAC,1,,1.0,6.0,3.0,5.0,26.0,Pass,Incomplete,0.0,,Michael Nadeau,Incomplete,Rex Desso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
9,Macalester,D,MAC,1,,1.0,7.0,4.0,5.0,26.0,Pass,Complete,17.0,,Michael Nadeau,Complete,Logan Pampel,,,,A Cracolici,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
10,Macalester,D,MAC,1,,1.0,8.0,1.0,9.0,9.0,Run,Rush,-1.0,Logan Pampel,,,,,,,Ryan Kouri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
11,Macalester,D,MAC,1,,1.0,9.0,2.0,10.0,10.0,Run,Rush,3.0,Michael Nadeau,,,,,,,Terrell Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
