PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,McMurry,K,HSU,1,,,,,,,KO,Return,,,,,,,,,,,,,,,,,90,0.0,Chandler Boster,55.0,10.0,Return,,,,,,,,,,,,,,True,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,McMurry,D,MCM,1,,1.0,1.0,0.0,,,Pass,No Good,,,Dexter pass Wyble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Good,,,,,,,Opening Kick,15:00,1800,6,0,-6,3,3,3,,,,,,,
3,McMurry,K,MCM,1,,,,,,,KO Ret,Fair Catch,,,,,,,,,,,,,,,,,,,Jared kickoff Mendoza,59.0,6.0,Fair Catch,,,,,,,,,,,,,,,,,,,15:00,1800,6,0,-6,3,3,3,,,,,,,
4,McMurry,O,HSU,1,,1.0,1.0,0.0,10.0,-25.0,Run,Rush,5.0,Colton Marshall,,,,,,,Brenden Torrence,Xavier Gayle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:44,1784,0,6,-6,3,3,3,,,,,,,
5,McMurry,,HSU,1,,,,2.0,5.0,-30.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:44,1784,0,6,-6,3,3,3,Illegal Snap,HSU,Eli Berkel,,,,5.0
6,McMurry,O,HSU,1,,1.0,2.0,2.0,10.0,-25.0,Pass,Incomplete,0.0,,Kyle Jones,Incomplete,Jonathan Castaneda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:44,1784,0,6,-6,3,3,3,,,,,,,
7,McMurry,,HSU,1,,,,3.0,10.0,-25.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:44,1784,0,6,-6,3,3,3,False Start,HSU,Kevin Lightfoot,,,,5.0
8,McMurry,O,HSU,1,,1.0,3.0,3.0,15.0,-20.0,Pass,Complete,39.0,,Kyle Jones,Complete,Cade Bell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:44,1784,0,6,-6,3,3,3,,,,,,,
9,McMurry,O,HSU,1,,1.0,4.0,1.0,10.0,41.0,Run,Rush,14.0,Colton Marshall,,,,,,,Adonte Wilkerson,Xavier Gayle,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:44,1784,0,6,-6,3,3,3,,,,,,,
10,McMurry,O,HSU,1,,1.0,5.0,1.0,10.0,27.0,Run,Rush,2.0,Colton Marshall,,,,,,,Josh Smith,Jalen Gomez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:44,1784,0,6,-6,3,3,3,,,,,,,
