PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Union (NY),K,UNI,1,,,,,,,KO Ret,Return,,,,,,,,,Diavon Clements,Matt Cerminaro,,,,,,Rayshawn Boswell,80,-15.0,Andrew Lau,60.0,5.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Union (NY),O,HOB,1,,1.0,1.0,0.0,10.0,15.0,Run,Rush,2.0,Tim Denham Jr.,,,,,,,Austin St. Pierre,Miguel Rodriguez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:44,1784,0,0,0,3,3,3,,,,,,,
3,Union (NY),O,HOB,1,,1.0,2.0,2.0,8.0,13.0,Run,Rush,5.0,Tim Denham Jr.,,,,,,,Thomas Cavallo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:44,1784,0,0,0,3,3,3,,,,,,,
4,Union (NY),,HOB,1,,,,3.0,3.0,8.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:44,1784,0,0,0,3,3,3,False Start ,HOB,,,,,5.0
5,Union (NY),O,HOB,1,,1.0,3.0,3.0,8.0,13.0,Run,Rush,0.0,David Krewson,,,,,,,Daniel Gioioso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Missed FG,14:44,1784,0,0,0,3,3,3,,,,,,,
6,Union (NY),K,HOB,1,,,,4.0,8.0,13.0,FG,No Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rob DiGregorio,29.0,No Good,,,,,,,,,,14:44,1784,0,0,0,3,3,3,,,,,,,
7,Union (NY),D,UNI,1,,1.0,1.0,0.0,10.0,-25.0,Run,Rush,2.0,Ike Irabor,,,,,,,Bryan Aguilar,CJ Calero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:59,1619,0,0,0,3,3,3,,,,,,,
8,Union (NY),D,UNI,1,,1.0,2.0,2.0,8.0,-27.0,Run,Rush,2.0,Ike Irabor,,,,,,,Jaimen Bliss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:59,1619,0,0,0,3,3,3,,,,,,,
9,Union (NY),D,UNI,1,,1.0,3.0,3.0,6.0,-29.0,Run,Rush,-1.0,Ike Irabor,,,,,,,Connor Gunn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,11:59,1619,0,0,0,3,3,3,,,,,,,
10,Union (NY),K,UNI,1,,,,4.0,7.0,-28.0,Punt Ret,Out of bounds,,,,,,,,,,,,,,,,,,,,,,,,Andrew Lau,56.0,16.0,Out of bounds,,,,,,,,,,,,,,11:59,1619,0,0,0,3,3,3,,,,,,,
11,Union (NY),O,HOB,1,,2.0,1.0,0.0,10.0,-16.0,Run,Rush,1.0,Tim Denham Jr.,,,,,,,Jimaar Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:12,1512,0,0,0,3,3,3,,,,,,,
12,Union (NY),O,HOB,1,,2.0,2.0,2.0,9.0,-17.0,Pass,Complete,8.0,,David Krewson,Complete,Chris Bartosic,,,,Cam Adams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:12,1512,0,0,0,3,3,3,,,,,,,
13,Union (NY),,HOB,1,,,,3.0,1.0,-25.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:12,1512,0,0,0,3,3,3,Personal Foul ,HOB,,,,,13.0
14,Union (NY),O,HOB,1,,2.0,3.0,3.0,14.0,-12.0,Run,Rush,10.0,Tim Denham Jr.,,,,,,,Nathan Sullivan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,10:12,1512,0,0,0,3,3,3,,,,,,,
15,Union (NY),K,HOB,1,,,,4.0,4.0,-22.0,Punt,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,,Tobias Wefering,28.0,-50.0,Fair Catch,,,,,,,,,,,,,,10:12,1512,0,0,0,3,3,3,,,,,,,
16,Union (NY),D,UNI,1,,2.0,1.0,0.0,10.0,-50.0,Run,Rush,3.0,Ike Irabor,,,,,,,James Mahoney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:19,1399,0,0,0,3,3,3,,,,,,,
17,Union (NY),,UNI,1,,,,2.0,7.0,47.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:19,1399,0,0,0,3,3,3,False Start,UNI,Stephen Crevani,,,,5.0
18,Union (NY),D,UNI,1,,2.0,2.0,2.0,12.0,-48.0,Pass,Complete,12.0,,William Bellamy,Complete,Andre Ross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,08:19,1399,0,0,0,3,3,3,,,,,,,
19,Union (NY),D,UNI,1,,2.0,3.0,1.0,10.0,40.0,Run,Rush,-1.0,Ike Irabor,,,,,,,Bryan Aguilar,Dante Kimbrough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:19,1399,0,0,0,3,3,3,,,,,,,
20,Union (NY),D,UNI,1,,2.0,4.0,2.0,11.0,41.0,Run,Rush,1.0,Ike Irabor,,,,,,,Cal Sullivan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:19,1399,0,0,0,3,3,3,,,,,,,
21,Union (NY),D,UNI,1,,2.0,5.0,3.0,10.0,40.0,Pass,Incomplete,0.0,,William Bellamy,Incomplete,Robbie Tolbert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,,,08:19,1399,0,0,0,3,3,3,Pass Interference,HOB,,,,,15.0
22,Union (NY),D,UNI,1,,2.0,6.0,1.0,10.0,25.0,Run,Rush,1.0,Ike Irabor,,,,,,,Emmett Forde,Bryan Aguilar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:19,1399,0,0,0,3,3,3,,,,,,,
23,Union (NY),D,UNI,1,,2.0,7.0,2.0,9.0,24.0,Pass,Incomplete,0.0,,William Bellamy,Incomplete,Avery Turton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:19,1399,0,0,0,3,3,3,,,,,,,
24,Union (NY),D,UNI,1,,2.0,8.0,3.0,9.0,24.0,Pass,Incomplete,0.0,,William Bellamy,Incomplete,Andre Ross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:19,1399,0,0,0,3,3,3,,,,,,,
