PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,McDaniel,K,MCD,1,,,,,,,KO Ret,Return,,,,,,,,,Matt Carey,,,,,,,H. Wellmann,42,-45.0,John Compere,52.0,13.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,McDaniel,O,JHU,1,,1.0,1.0,0.0,10.0,45.0,Run,Rush,8.0,Danny Wolf,,,,,,,Habeeb Baba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,McDaniel,O,JHU,1,,1.0,2.0,2.0,2.0,37.0,Run,Rush,4.0,Danny Wolf,,,,,,,Habeeb Baba,Tyler Berghaier,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,McDaniel,O,JHU,1,,1.0,3.0,1.0,10.0,33.0,Run,Rush,16.0,Danny Wolf,,,,,,,Azagio Herd,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,McDaniel,O,JHU,1,,1.0,4.0,1.0,10.0,17.0,Run,Rush,5.0,Danny Wolf,,,,,,,Chris Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,McDaniel,O,JHU,1,,1.0,5.0,2.0,5.0,12.0,Run,Rush,12.0,Danny Wolf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,15:00,1800,0,0,0,3,3,3,,,,,,,
7,McDaniel,K,JHU,1,,,,1.0,3.0,3.0,Extra Pt.,No Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,John Krill,,,No Good,,,,,,,,,13:24,1704,6,0,6,3,3,3,,,,,,,
8,McDaniel,K,JHU,1,,,,1.0,-35.0,-35.0,KO,Return,,,,,,,,,Spencer Uggla,,,,,,,Diondre Carter,18,30.0,Joe Zahner,53.0,12.0,Return,,,,,,,,,,,,,,,,,,,13:24,1704,6,0,6,3,3,3,,,,,,,
9,McDaniel,D,MCD,1,,1.0,1.0,0.0,10.0,-30.0,Pass,Incomplete,0.0,,John Furgeson,Incomplete,M DeGennaro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:16,1696,0,6,6,3,3,3,,,,,,,
10,McDaniel,D,MCD,1,,1.0,2.0,2.0,10.0,-30.0,Run,Rush,-2.0,Diondre Carter,,,,,,,Luke Schuermann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:16,1696,0,6,6,3,3,3,,,,,,,
