PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Mount Union,K,JHU,1,,,,,,,KO,Return,,,,,,,,,Jacob Chapman,,,,,,,KJ Redmon,17,28.0,Kyle Battles,54.0,11.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Mount Union,D,MTU,1,,1.0,1.0,0.0,10.0,-28.0,Pass,Complete,6.0,,Braxton Plunk,Complete,Jr. Ruby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:56,1796,0,0,0,3,3,3,,,,,,,
3,Mount Union,D,MTU,1,,1.0,2.0,2.0,4.0,-34.0,Pass,Complete,10.0,,Braxton Plunk,Complete,Jr. Ruby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:56,1796,0,0,0,3,3,3,,,,,,,
4,Mount Union,D,MTU,1,,1.0,3.0,1.0,10.0,-44.0,Pass,Incomplete,0.0,,Braxton Plunk,Incomplete,Jr. Ruby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:56,1796,0,0,0,3,3,3,,,,,,,
5,Mount Union,D,MTU,1,,1.0,4.0,2.0,10.0,-44.0,Pass,Incomplete,0.0,,Braxton Plunk,Incomplete,Tyrell Sanders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:56,1796,0,0,0,3,3,3,,,,,,,
6,Mount Union,D,MTU,1,,1.0,5.0,3.0,10.0,-44.0,Pass,Sack,-12.0,,Braxton Plunk,Sack,,,,,Macauley Kilbane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:56,1796,0,0,0,3,3,3,,,,,,,
7,Mount Union,K,MTU,1,,,,4.0,22.0,-32.0,Punt Ret,Out of bounds,,,,,,,,,,,,,,,,,,,,,,,,Thomas Piccirillo,9.0,-41.0,Out of bounds,,,,,,,,,,,,,,14:56,1796,0,0,0,3,3,3,,,,,,,
8,Mount Union,O,JHU,1,,1.0,1.0,0.0,10.0,41.0,Pass,Complete,1.0,,Ryan Stevens,Complete,Ryan Hubley,,,,Josh Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:05,1685,0,0,0,3,3,3,,,,,,,
9,Mount Union,,JHU,1,,,,2.0,11.0,42.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:05,1685,0,0,0,3,3,3,False Start,JHU,Ashton Morgan,,,,5.0
10,Mount Union,O,JHU,1,,1.0,2.0,2.0,16.0,47.0,Pass,Complete,7.0,,Ryan Stevens,Complete,Emmett Turner,,,,Ian Sexton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:05,1685,0,0,0,3,3,3,,,,,,,
11,Mount Union,O,JHU,1,,1.0,3.0,3.0,9.0,40.0,Pass,Incomplete,0.0,,Ryan Stevens,Incomplete,Ryan Hubley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,13:05,1685,0,0,0,3,3,3,,,,,,,
12,Mount Union,K,JHU,1,,,,4.0,9.0,40.0,Punt,,,,,,,,,,,,,,,,,,,,,,,,,Kyle Battles,38.0,2.0,,,,,,,,,,,,,,,13:05,1685,0,0,0,3,3,3,,,,,,,
13,Mount Union,D,MTU,1,,2.0,1.0,0.0,10.0,-2.0,Pass,Incomplete,0.0,,Braxton Plunk,Incomplete,Jr. Ruby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:41,1601,0,0,0,3,3,3,,,,,,,
14,Mount Union,D,MTU,1,,2.0,2.0,2.0,10.0,-2.0,Pass,Incomplete,0.0,,Braxton Plunk,Incomplete,Josh Petruccelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:41,1601,0,0,0,3,3,3,,,,,,,
15,Mount Union,D,MTU,1,,2.0,3.0,3.0,10.0,-2.0,Pass,Incomplete,0.0,,Braxton Plunk,Incomplete,Jr. Ruby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,Safety,11:41,1601,0,0,0,3,3,3,Holding,MTU,Evan Weygandt,,,,2.0
16,Mount Union,K,MTU,1,,,,1.0,10.0,-20.0,KO Ret,Return,,,,,,,,,Rossy Moore,,,,,,,Andrew Rich,27,48.0,Nick Deack,59.0,21.0,Return,,,,,,,,,,,,,,,,,,,11:29,1589,0,2,2,3,3,3,,,,,,,
17,Mount Union,O,JHU,1,,2.0,1.0,0.0,10.0,-48.0,Pass,Complete,12.0,,Ryan Stevens,Complete,Harrison Wellmann,,,,Derrick Bradley,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:23,1583,2,0,2,3,3,3,,,,,,,
18,Mount Union,O,JHU,1,,2.0,2.0,1.0,10.0,40.0,Run,Rush,7.0,Jacob Chapman,,,,,,,Derrick Bradley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:23,1583,2,0,2,3,3,3,,,,,,,
19,Mount Union,O,JHU,1,,2.0,3.0,2.0,3.0,33.0,Pass,Complete,7.0,,Ryan Stevens,Complete,Harrison Wellmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:23,1583,2,0,2,3,3,3,,,,,,,
20,Mount Union,O,JHU,1,,2.0,4.0,1.0,10.0,26.0,Run,Rush,3.0,Jacob Chapman,,,,,,,Mason McMillen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:23,1583,2,0,2,3,3,3,,,,,,,
21,Mount Union,O,JHU,1,,2.0,5.0,2.0,7.0,23.0,Pass,Incomplete,0.0,,Ryan Stevens,Incomplete,Quinn Revere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:23,1583,2,0,2,3,3,3,,,,,,,
