PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Montclair State,K,KEAN,1,,,,,,,KO,Return,,,,,,,,,George Chrissafis,,,,,,,Dan Ramos,40,-48.0,George Chrissafis,53.0,12.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Montclair State,D,MSU,1,,1.0,1.0,0.0,10.0,48.0,Run,Rush,0.0,Abellany Mendez,,,,,,,Raymond Gorny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Montclair State,D,MSU,1,,1.0,2.0,2.0,10.0,48.0,Pass,Interception,0.0,,Ja'Quill Burch,Interception,,,Kyeon Taylor,,,,,,,,,Kyeon Taylor,0,9.0,,,,,,,,,,,,,,,,,,,,,,Interception,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Montclair State,O,KEAN,1,,1.0,1.0,0.0,10.0,-9.0,Pass,Incomplete,0.0,,Dario Bryant,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:56,1736,0,0,0,3,3,3,,,,,,,
5,Montclair State,O,KEAN,1,,1.0,2.0,2.0,10.0,-9.0,Run,Rush,11.0,Dario Bryant,,,,,,,Alex Buchwald,Mike Ramos,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:56,1736,0,0,0,3,3,3,,,,,,,
6,Montclair State,O,KEAN,1,,1.0,3.0,1.0,10.0,-20.0,Pass,Sack,-4.0,,Dario Bryant,Sack,,,,,Mike Ramos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:56,1736,0,0,0,3,3,3,,,,,,,
7,Montclair State,O,KEAN,1,,1.0,4.0,2.0,14.0,-16.0,Pass,Complete,9.0,,Dario Bryant,Complete,Dazzy Iannuzzio,,,,Brennan Ray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:56,1736,0,0,0,3,3,3,,,,,,,
8,Montclair State,O,KEAN,1,,1.0,5.0,3.0,5.0,-25.0,Pass,Incomplete,0.0,,Dario Bryant,Incomplete,,,,,Dominic Ferrara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,13:56,1736,0,0,0,3,3,3,,,,,,,
9,Montclair State,K,KEAN,1,,,,4.0,5.0,-25.0,Punt,,,,,,,,,,,,,,,,,,,,,,,,,Nick Firth,29.0,46.0,,,,,,,,,,,,,,,13:56,1736,0,0,0,3,3,3,,,,,,,
10,Montclair State,D,MSU,1,,2.0,1.0,0.0,10.0,-46.0,Run,Rush,-2.0,Abellany Mendez,,,,,,,Dante Capozzoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:41,1601,0,0,0,3,3,3,,,,,,,
11,Montclair State,D,MSU,1,,2.0,2.0,2.0,12.0,-44.0,Pass,Incomplete,0.0,,Ja'Quill Burch,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:41,1601,0,0,0,3,3,3,,,,,,,
12,Montclair State,D,MSU,1,,2.0,3.0,3.0,12.0,-44.0,Pass,Incomplete,0.0,,Ja'Quill Burch,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,11:41,1601,0,0,0,3,3,3,,,,,,,
13,Montclair State,K,MSU,1,,,,4.0,12.0,-44.0,Punt Rec,Return,,,,,,,,,Brennan Ray,Jack Akins,,,,,,Donte Jamison,4,26.0,,,,,,Mile Djordjiovski,34.0,22.0,Return,,,,,,,,,,,,,,11:41,1601,0,0,0,3,3,3,,,,,,,
14,Montclair State,O,KEAN,1,,2.0,1.0,0.0,10.0,-26.0,Run,Rush,6.0,Donte Jamison,,,,,,,Michael Stefkovich,Alex Buchwald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:39,1539,0,0,0,3,3,3,,,,,,,
15,Montclair State,O,KEAN,1,,2.0,2.0,2.0,4.0,-32.0,Run,Rush,2.0,Dario Bryant,,,,,,,Michael Stefkovich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:39,1539,0,0,0,3,3,3,,,,,,,
16,Montclair State,O,KEAN,1,,2.0,3.0,3.0,2.0,-34.0,Run,Rush,-4.0,Dario Bryant,,,,,,,,,True,Dario Bryant,,MSU,Mike Ramos,,,,,,,,,,,,,,,,,,,,,,,,,Fumble,10:39,1539,0,0,0,3,3,3,,,,,,,
17,Montclair State,D,MSU,1,,3.0,1.0,0.0,10.0,24.0,Pass,Complete,3.0,,Ja'Quill Burch,Complete,Abellany Mendez,,,,Aaron Cottrell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:16,1456,0,0,0,3,3,3,,,,,,,
18,Montclair State,,MSU,1,,,,2.0,13.0,27.0,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Montclair State,,,,,,,09:16,1456,0,0,0,3,3,3,,,,,,,
19,Montclair State,D,MSU,1,,3.0,2.0,2.0,13.0,27.0,Pass,Incomplete,0.0,,Ja'Quill Burch,Incomplete,Eric Cowan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:26,1406,0,0,0,3,2,3,,,,,,,
20,Montclair State,D,MSU,1,,3.0,3.0,3.0,13.0,27.0,Pass,Incomplete,0.0,,Ja'Quill Burch,Incomplete,Zarrin Stephens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:26,1406,0,0,0,3,2,3,,,,,,,
21,Montclair State,D,MSU,1,,3.0,4.0,4.0,13.0,27.0,Pass,Incomplete,0.0,,Ja'Quill Burch,Incomplete,Matt Spatucci,,,,Javohn Arrington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Downs,08:26,1406,0,0,0,3,2,3,,,,,,,
22,Montclair State,O,KEAN,1,,3.0,1.0,0.0,10.0,-27.0,Run,Rush,5.0,Donte Jamison,,,,,,,Mike Ramos,Seamus Nelson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:07,1387,0,0,0,3,3,2,,,,,,,
23,Montclair State,O,KEAN,1,,3.0,2.0,2.0,5.0,-32.0,Run,Rush,2.0,Dario Bryant,,,,,,,Alex Buchwald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:07,1387,0,0,0,3,3,2,,,,,,,
24,Montclair State,O,KEAN,1,,3.0,3.0,3.0,3.0,-34.0,Run,Rush,1.0,Dario Bryant,,,,,,,Dimitri Pali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:07,1387,0,0,0,3,3,2,,,,,,,
25,Montclair State,O,KEAN,1,,3.0,4.0,4.0,2.0,-35.0,Run,Rush,7.0,Nick Firth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,08:07,1387,0,0,0,3,3,2,,,,,,,
26,Montclair State,O,KEAN,1,,3.0,5.0,1.0,10.0,-42.0,Run,Rush,4.0,Nasir Williams,,,,,,,Dorian Gashi,Brennan Ray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:07,1387,0,0,0,3,3,2,,,,,,,
27,Montclair State,O,KEAN,1,,3.0,6.0,2.0,6.0,-46.0,Pass,Complete,2.0,,Dario Bryant,Complete,Tyrese Powell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:07,1387,0,0,0,3,3,2,,,,,,,
28,Montclair State,,KEAN,1,,,,3.0,8.0,-44.0,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kean,,,,,,,08:07,1387,0,0,0,3,3,2,,,,,,,
29,Montclair State,O,KEAN,1,,3.0,7.0,3.0,8.0,-44.0,Pass,Incomplete,0.0,,Dario Bryant,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,03:59,1139,0,0,0,2,2,2,,,,,,,
30,Montclair State,K,KEAN,1,,,,4.0,8.0,-44.0,Punt,Out of bounds,,,,,,,,,,,,,,,,,,,,,,,,Nick Firth,55.0,1.0,Out of bounds,,,,,,,,,,,,,,03:59,1139,0,0,0,2,2,2,,,,,,,
31,Montclair State,D,MSU,1,,4.0,1.0,0.0,10.0,-1.0,Run,Rush,1.0,Ja'Quill Burch,,,,,,,Raymond Gorny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:52,1132,0,0,0,2,2,2,,,,,,,
32,Montclair State,D,MSU,1,,4.0,2.0,2.0,9.0,-2.0,Run,Rush,-1.0,Dan Ramos,,,,,,,Anthony Bassani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:52,1132,0,0,0,2,2,2,,,,,,,
33,Montclair State,,MSU,1,,,,3.0,10.0,-1.0,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Montclair State,,,,,,,03:52,1132,0,0,0,2,2,2,,,,,,,
34,Montclair State,D,MSU,1,,4.0,3.0,3.0,10.0,-1.0,Run,Rush,0.0,Ja'Quill Burch,,,,,,,Raymond Gorny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,02:23,1043,0,0,0,2,1,2,,,,,,,
35,Montclair State,K,MSU,1,,,,4.0,10.0,-1.0,Punt Rec,,,,,,,,,,,,,,,,,,,,,,,,,Mile Djordjiovski,36.0,-37.0,,,,,,,,,,,,,,,02:23,1043,0,0,0,2,1,2,,,,,,,
36,Montclair State,O,KEAN,1,,4.0,1.0,0.0,10.0,37.0,Run,Rush,1.0,Dario Bryant,,,,,,,Mike Ramos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01:37,997,0,0,0,2,2,1,,,,,,,
37,Montclair State,O,KEAN,1,,4.0,2.0,2.0,9.0,36.0,Pass,Complete,5.0,,Dario Bryant,Complete,Donte Jamison,,,,Alex Buchwald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01:37,997,0,0,0,2,2,1,,,,,,,
38,Montclair State,O,KEAN,1,,4.0,3.0,3.0,4.0,31.0,Run,Rush,2.0,Dario Bryant,,,,,,,Dorian Gashi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01:37,997,0,0,0,2,2,1,,,,,,,
39,Montclair State,O,KEAN,2,,4.0,4.0,4.0,2.0,29.0,Run,Rush,29.0,Donte Jamison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,15:00,900,0,0,0,2,2,1,,,,,,,
40,Montclair State,K,KEAN,2,,,,1.0,3.0,3.0,Extra Pt.,Blocked,,,,,,,,,,,,,,,,,,,,,,,,,,,,Austin Smith,Logan Matthews,,,Blocked,,,,,,,,,14:49,889,6,0,6,2,2,1,,,,,,,
41,Montclair State,K,KEAN,2,,,,1.0,-35.0,-35.0,KO,Return,,,,,,,,,Kyeon Taylor,,,,,,,Zahir Wilder,9,24.0,George Chrissafis,50.0,15.0,Return,,,,,,,,,,,,,,,,,,,14:49,889,6,0,6,2,2,1,,,,,,,
42,Montclair State,D,MSU,2,,5.0,1.0,0.0,10.0,-24.0,Run,Rush,2.0,Dan Ramos,,,,,,,Aaron Cottrell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:39,879,0,6,6,2,1,2,,,,,,,
43,Montclair State,D,MSU,2,,5.0,2.0,2.0,8.0,-26.0,Run,Rush,-3.0,Dan Ramos,,,,,,,Meir Pittman,Raymond Gorny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:39,879,0,6,6,2,1,2,,,,,,,
44,Montclair State,D,MSU,2,,5.0,3.0,3.0,11.0,-23.0,Pass,Complete,18.0,,Ja'Quill Burch,Complete,Dan Ramos,,,,Nas Neal,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:39,879,0,6,6,2,1,2,,,,,,,
45,Montclair State,D,MSU,2,,5.0,4.0,1.0,10.0,-41.0,Run,Rush,0.0,Dan Ramos,,,,,,,Tanner Ash,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,14:39,879,0,6,6,2,1,2,holding,MSU,,,,,10.0
46,Montclair State,D,MSU,2,,5.0,5.0,1.0,20.0,-31.0,Run,Rush,-2.0,Dan Ramos,,,,,,,Joshua Harris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:39,879,0,6,6,2,1,2,,,,,,,
47,Montclair State,D,MSU,2,,5.0,6.0,2.0,22.0,-29.0,Run,Rush,-4.0,Abellany Mendez,,,,,,,Dante Capozzoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:39,879,0,6,6,2,1,2,,,,,,,
