PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Maritime College,K,KCFB,1,,,,,,,KO,Return,,,,,,,,,,,,,,,,Tim Gasparik,17,40.0,Josue Hernandez,42.0,23.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Maritime College,D,MARITIME,1,,1.0,1.0,0.0,10.0,-40.0,Run,Rush,1.0,Kevin Murphy,,,,,,,Carlos Perez,Quentin Tibbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Maritime College,D,MARITIME,1,,1.0,2.0,2.0,9.0,-41.0,Pass,Complete,14.0,,David Keogh,Complete,Eric Borchert,,,,Carlos Perez,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Maritime College,D,MARITIME,1,,1.0,3.0,1.0,10.0,45.0,Run,Rush,2.0,David Keogh,,,,,,,Tyshaun McClain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Maritime College,D,MARITIME,1,,1.0,4.0,2.0,8.0,43.0,Pass,Incomplete,0.0,,David Keogh,Incomplete,Caden Bennett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Maritime College,,MARITIME,1,,,,3.0,8.0,43.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,false start,MARITIME,Brody Csikos,,,,5.0
7,Maritime College,D,MARITIME,1,,1.0,5.0,3.0,13.0,48.0,Pass,Incomplete,0.0,,David Keogh,Incomplete,Ian Derda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,1800,0,0,0,3,3,3,,,,,,,
8,Maritime College,K,MARITIME,1,,,,4.0,13.0,48.0,Punt Ret,,,,,,,,,,,,,,,,,,,,,,,,,J. Gagliardi,42.0,6.0,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
9,Maritime College,O,KCFB,1,,1.0,1.0,0.0,10.0,-6.0,Run,Rush,3.0,M. Muhammad,,,,,,,Sean Hart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:45,1665,0,0,0,3,3,3,,,,,,,
10,Maritime College,O,KCFB,1,,1.0,2.0,2.0,7.0,-9.0,Pass,Sack,-5.0,,Noah Hulslander,Sack,,,,,Sergio Borda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:45,1665,0,0,0,3,3,3,,,,,,,
11,Maritime College,O,KCFB,1,,1.0,3.0,3.0,12.0,-4.0,Pass,Incomplete,0.0,,Noah Hulslander,Incomplete,Chad Jones,,,,Frank Vano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,12:45,1665,0,0,0,3,3,3,,,,,,,
12,Maritime College,K,KCFB,1,,,,4.0,12.0,-4.0,Punt,,,,,,,,,,,,,,,,,,,,,,,,,Zac Cost,25.0,-29.0,,,,,,,,,,,,,,,12:45,1665,0,0,0,3,3,3,,,,,,,
13,Maritime College,D,MARITIME,1,,2.0,1.0,0.0,10.0,29.0,Run,Rush,2.0,C. Schiavone,,,,,,,E. Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:11,1571,0,0,0,3,3,3,,,,,,,
14,Maritime College,D,MARITIME,1,,2.0,2.0,2.0,8.0,27.0,Run,Rush,4.0,C. Schiavone,,,,,,,Carlos Perez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:11,1571,0,0,0,3,3,3,,,,,,,
15,Maritime College,D,MARITIME,1,,2.0,3.0,3.0,4.0,23.0,Run,Rush,2.0,C. Schiavone,,,,,,,Tyshaun McClain,Quentin Tibbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:11,1571,0,0,0,3,3,3,,,,,,,
16,Maritime College,D,MARITIME,1,,2.0,4.0,4.0,2.0,21.0,Run,Rush,0.0,C. Schiavone,,,,,,,Carlos Perez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Downs,11:11,1571,0,0,0,3,3,3,,,,,,,
17,Maritime College,O,KCFB,1,,2.0,1.0,0.0,10.0,-21.0,Run,Rush,2.0,M. Muhammad,,,,,,,Frank Vano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:02,1442,0,0,0,3,3,3,,,,,,,
18,Maritime College,O,KCFB,1,,2.0,2.0,2.0,8.0,-23.0,Run,Rush,7.0,Jorden Cook,,,,,,,Frank Vano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:02,1442,0,0,0,3,3,3,,,,,,,
19,Maritime College,O,KCFB,1,,2.0,3.0,3.0,1.0,-30.0,Run,Rush,70.0,M. Muhammad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,09:02,1442,0,0,0,3,3,3,,,,,,,
20,Maritime College,K,KCFB,1,,,,1.0,3.0,3.0,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josue Hernandez,,,Good,,,,,,,,,07:59,1379,6,0,6,3,3,3,,,,,,,
21,Maritime College,K,KCFB,1,,,,1.0,-35.0,-35.0,KO,Return,,,,,,,,,Michael Cora,,,,,,,Tim Gasparik,11,35.0,Josue Hernandez,41.0,24.0,Return,,,,,,,,,,,,,,,,,,,07:59,1379,7,0,7,3,3,3,,,,,,,
22,Maritime College,D,MARITIME,1,,3.0,1.0,0.0,10.0,-35.0,Pass,Incomplete,0.0,,David Keogh,Incomplete,Kevin Murphy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:52,1372,0,7,7,3,3,3,,,,,,,
23,Maritime College,D,MARITIME,1,,3.0,2.0,2.0,10.0,-35.0,Run,Rush,10.0,C. Schiavone,,,,,,,Brandon Smith,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,07:52,1372,0,7,7,3,3,3,,,,,,,
24,Maritime College,D,MARITIME,1,,3.0,3.0,1.0,10.0,-45.0,Run,Rush,2.0,C. Schiavone,,,,,,,Maxwell Johnson,Tyshaun McClain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:52,1372,0,7,7,3,3,3,,,,,,,
25,Maritime College,D,MARITIME,1,,3.0,4.0,2.0,8.0,-47.0,Pass,Incomplete,0.0,,David Keogh,Incomplete,Kevin Murphy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:52,1372,0,7,7,3,3,3,,,,,,,
26,Maritime College,,MARITIME,1,,,,3.0,8.0,-47.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:52,1372,0,7,7,3,3,3,encroachment,KCFB,Tyler Malanga,,,,5.0
27,Maritime College,D,MARITIME,1,,3.0,5.0,3.0,3.0,48.0,Run,Rush,7.0,C. Schiavone,,,,,,,Maxwell Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,07:52,1372,0,7,7,3,3,3,,,,,,,
28,Maritime College,D,MARITIME,1,,3.0,6.0,1.0,10.0,41.0,Run,Rush,5.0,David Keogh,,,,,,,Carlos Perez,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,07:52,1372,0,7,7,3,3,3,HOLD,MARITIME,Pat Harinski,,,,10.0
29,Maritime College,D,MARITIME,1,,3.0,7.0,1.0,20.0,-49.0,Pass,Complete,17.0,,David Keogh,Complete,Cole Trosclair,,,,Zalyn Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:52,1372,0,7,7,3,3,3,,,,,,,
30,Maritime College,D,MARITIME,1,,3.0,8.0,2.0,3.0,34.0,Pass,Complete,1.0,,David Keogh,Complete,Cole Trosclair,,,,J. Spencer-Smit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:52,1372,0,7,7,3,3,3,,,,,,,
31,Maritime College,D,MARITIME,1,,3.0,9.0,3.0,2.0,33.0,Run,Rush,6.0,Caden Bennett,,,,,,,J. Spencer-Smit,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,07:52,1372,0,7,7,3,3,3,,,,,,,
32,Maritime College,D,MARITIME,1,,3.0,10.0,1.0,10.0,27.0,Run,Rush,9.0,Ian Derda,,,,,,,Troy McEwen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:52,1372,0,7,7,3,3,3,,,,,,,
33,Maritime College,D,MARITIME,1,,3.0,11.0,2.0,1.0,18.0,Pass,Sack,-11.0,,David Keogh,Sack,,,,,Maxwell Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:52,1372,0,7,7,3,3,3,,,,,,,
