PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Chicago,K,UC,1,,,,,,,KO Rec,,,,,,,,,,,,,,,,,,,,Will Goodman,65.0,0.0,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Chicago,O,KCFB,1,,1.0,1.0,0.0,10.0,-25.0,Run,Rush,2.0,Kaile Williams,,,,,,,William Skowron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Chicago,O,KCFB,1,,1.0,2.0,2.0,8.0,-27.0,Pass,Incomplete,0.0,,Kaile Williams,Incomplete,Et. Rolph-Jones,,,,Carlos Cardona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Chicago,O,KCFB,1,,1.0,3.0,3.0,8.0,-27.0,Run,Rush,0.0,Derrick Jackson,,,,,,,Braedon Junker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Chicago,K,KCFB,1,,,,4.0,8.0,-27.0,Punt,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,,Preston Lade,31.0,42.0,Fair Catch,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Chicago,D,UC,1,,1.0,1.0,0.0,10.0,-42.0,Run,Rush,5.0,Nicholas D'Ambr,,,,,,,Logan Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:17,1697,0,0,0,3,3,3,,,,,,,
7,Chicago,D,UC,1,,1.0,2.0,2.0,5.0,-47.0,Run,Rush,4.0,Nicholas D'Ambr,,,,,,,Ean Rau,DanielRodrigue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:17,1697,0,0,0,3,3,3,,,,,,,
8,Chicago,D,UC,1,,1.0,3.0,3.0,1.0,49.0,Run,Rush,12.0,Nicholas D'Ambr,,,,,,,Kailob Haag,Liam Gallagher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:17,1697,0,0,0,3,3,3,,,,,,,
9,Chicago,D,UC,1,,1.0,4.0,1.0,10.0,37.0,Pass,Complete,1.0,,Philip Martini,Complete,Nicholas D'Ambr,,,,Liam Gallagher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:17,1697,0,0,0,3,3,3,,,,,,,
10,Chicago,D,UC,1,,1.0,5.0,2.0,9.0,36.0,Run,Rush,4.0,Rhys Bommarito-,,,,,,,DanielRodrigue,Ean Rau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:17,1697,0,0,0,3,3,3,,,,,,,
