PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Redlands,K,ULV,1,,,,,,,KO,Fair Catch,,,,,,,,,,,,,,,,,,,K. Kamakawiwool,54.0,11.0,Fair Catch,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Redlands,D,UR,1,,1.0,1.0,0.0,10.0,-11.0,Run,Rush,38.0,Kai Thompson,,,,,,,A. Orange II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Redlands,D,UR,1,,1.0,2.0,1.0,10.0,-49.0,Pass,Sack,-1.0,,Nathan Martinez,Sack,,,,,Austin Marin,Derek Shay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Redlands,D,UR,1,,1.0,3.0,2.0,11.0,-48.0,Run,Rush,8.0,Kai Thompson,,,,,,,Khary Sanders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Redlands,D,UR,1,,1.0,4.0,3.0,3.0,44.0,Pass,Complete,6.0,,Nathan Martinez,Complete,Evan Aguon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Redlands,D,UR,1,,1.0,5.0,1.0,10.0,38.0,Run,Rush,4.0,Nathan Martinez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,Redlands,D,UR,1,,1.0,6.0,2.0,6.0,34.0,Pass,Complete,9.0,,Nathan Martinez,Complete,M. Mindnich,,,,Raymond Moronez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
8,Redlands,D,UR,1,,1.0,7.0,1.0,10.0,25.0,Pass,Complete,10.0,,Nathan Martinez,Complete,Kai Thompson,,,,Austin Marin,Tyler Le,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
9,Redlands,D,UR,1,,1.0,8.0,1.0,10.0,15.0,Run,Rush,14.0,Kai Thompson,,,,,,,Mason Montanez,Raymond Moronez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
10,Redlands,D,UR,1,,1.0,9.0,1.0,1.0,1.0,Run,Rush,1.0,Kai Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,15:00,1800,0,0,0,3,3,3,,,,,,,
11,Redlands,K,UR,1,,,,,,,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vicente Garcia,,,Good,,,,,,,,,10:48,1548,6,0,-6,3,3,3,,,,,,,
12,Redlands,K,UR,1,,,,,,,KO Rec,Fair Catch,,,,,,,,,,,,,,,,,,,Brendan Marmion,61.0,4.0,Fair Catch,,,,,,,,,,,,,,,,,,,10:48,1548,7,0,-7,3,3,3,,,,,,,
13,Redlands,O,ULV,1,,1.0,1.0,0.0,10.0,-4.0,Run,Rush,30.0,,,,,,,,M. MacDonald,Jacob Harrold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:48,1548,0,7,-7,3,3,3,,,,,,,
14,Redlands,O,ULV,1,,1.0,2.0,1.0,10.0,-34.0,Pass,Complete,7.0,,,Complete,Jonathon Torres,,,,Matthew Lising,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:48,1548,0,7,-7,3,3,3,,,,,,,
15,Redlands,O,ULV,1,,1.0,3.0,2.0,3.0,-41.0,Run,Rush,16.0,Abel Cueva,,,,,,,Noah Taplett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:48,1548,0,7,-7,3,3,3,,,,,,,
16,Redlands,O,ULV,1,,1.0,4.0,1.0,10.0,43.0,Run,Rush,4.0,Abel Cueva,,,,,,,Jace Tessaro,M. MacDonald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:48,1548,0,7,-7,3,3,3,,,,,,,
17,Redlands,O,ULV,1,,1.0,5.0,2.0,6.0,39.0,Pass,Interception,0.0,,,Interception,,,Andrew Peeples,,N. Sagastume,,,,,,,Andrew Peeples,13,16.0,,,,,,,,,,,,,,,,,,,,,,Interception,10:48,1548,0,7,-7,3,3,3,,,,,,,
18,Redlands,D,UR,1,,2.0,1.0,0.0,10.0,-29.0,Run,Rush,5.0,Kai Thompson,,,,,,,Austin Marin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:11,1391,7,0,-7,3,3,3,,,,,,,
19,Redlands,D,UR,1,,2.0,2.0,2.0,5.0,-34.0,Run,Rush,-2.0,Nathan Martinez,,,,,,,Khary Sanders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:11,1391,7,0,-7,3,3,3,,,,,,,
20,Redlands,D,UR,1,,2.0,3.0,3.0,7.0,-32.0,Pass,Complete,20.0,,Nathan Martinez,Complete,M. Mindnich,,,,Raymond Moronez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:11,1391,7,0,-7,3,3,3,,,,,,,
21,Redlands,D,UR,1,,2.0,4.0,1.0,10.0,48.0,Pass,Complete,6.0,,Nathan Martinez,Complete,Grant Chaney,,,,Raymond Moronez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:11,1391,7,0,-7,3,3,3,,,,,,,
22,Redlands,D,UR,1,,2.0,5.0,2.0,4.0,42.0,Run,Rush,7.0,A. Kellstrom,,,,,,,Khary Sanders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:11,1391,7,0,-7,3,3,3,,,,,,,
23,Redlands,D,UR,1,,2.0,6.0,1.0,10.0,35.0,Run,Rush,13.0,A. Kellstrom,,,,,,,KJ Macatiag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:11,1391,7,0,-7,3,3,3,,,,,,,
24,Redlands,D,UR,1,,2.0,7.0,1.0,10.0,22.0,Run,Rush,2.0,A. Kellstrom,,,,,,,Deion Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:11,1391,7,0,-7,3,3,3,,,,,,,
25,Redlands,D,UR,1,,2.0,8.0,2.0,8.0,20.0,Pass,Complete,15.0,,Nathan Martinez,Complete,Kai Kang,,,,Derek Guzman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:11,1391,7,0,-7,3,3,3,,,,,,,
