PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Brevard,K,LCM,1,,,,,,,KO,Return,,,,,,,,,Rashad King,,,,,,,Brandon Norris,46,-39.0,Alex Rivera,50.0,15.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Brevard,D,BREVARD,1,,1.0,1.0,0.0,10.0,39.0,Pass,Incomplete,0.0,,Taylor Jackson,Incomplete,Marcus Lane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Brevard,D,BREVARD,1,,1.0,2.0,2.0,10.0,39.0,Run,Rush,4.0,Deshontae Kirkl,,,,,,,Aaron Belt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Brevard,D,BREVARD,1,,1.0,3.0,3.0,6.0,35.0,Pass,Complete,17.0,,Taylor Jackson,Complete,Luis Alvarez,,,,Isaiah Screen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Brevard,D,BREVARD,1,,1.0,4.0,1.0,10.0,18.0,Run,Rush,18.0,Khaliyl Mattiso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Brevard,K,BREVARD,1,,,,,,,Extra Pt. Block,No Good,,,,,,,,,fumbled,,,,,,,,,,,,,,,,,,,,TEAM,,,No Good,,,,,,,,,13:18,1698,6,0,-6,3,3,3,,,,,,,
7,Brevard,K,BREVARD,1,,,,,,,KO Ret,Return,,,,,,,,,RJ Everett,,,,,,,Aubrey Carter,23,32.0,Hugo Taylor,56.0,9.0,Return,,,,,,,,,,,,,,,,,,,13:18,1698,6,0,-6,3,3,3,,,,,,,
8,Brevard,O,LCM,1,,1.0,1.0,0.0,10.0,-32.0,Run,Rush,2.0,James Monroe,,,,,,,Damian Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:11,1691,0,6,-6,3,3,3,,,,,,,
9,Brevard,,LCM,1,,,,2.0,8.0,-34.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:11,1691,0,6,-6,3,3,3,false start,LCM,Toby Upshaw,,,,5.0
10,Brevard,,LCM,1,,,,2.0,13.0,-29.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:11,1691,0,6,-6,3,3,3,delay of game,LCM,,,,,5.0
11,Brevard,O,LCM,1,,1.0,2.0,2.0,18.0,-24.0,Pass,Complete,5.0,,S. Lindsey,Complete,Toby Upshaw,,,,Jailin Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:11,1691,0,6,-6,3,3,3,,,,,,,
12,Brevard,O,LCM,1,,1.0,3.0,3.0,13.0,-29.0,Pass,Incomplete,0.0,,S. Lindsey,Incomplete,Jaden Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,13:11,1691,0,6,-6,3,3,3,,,,,,,
