PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Greensboro,K,GREENSBO,1,,,,,,,KO Ret,Fair Catch,,,,,,,,,,,,,,,,,,,Ben Mangungu,52.0,13.0,Fair Catch,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Greensboro,O,LCM,1,,1.0,1.0,0.0,10.0,-13.0,Pass,Incomplete,0.0,,S. Lindsey,Incomplete,Ajani Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Greensboro,O,LCM,1,,1.0,2.0,2.0,10.0,-13.0,Run,Rush,5.0,James Monroe,,,,,,,Michael Byrd-Sc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Greensboro,O,LCM,1,,1.0,3.0,3.0,5.0,-18.0,Pass,Incomplete,0.0,,S. Lindsey,Incomplete,Ajani Williams,,,,Da'Shaun Wallac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Greensboro,O,LCM,1,,1.0,4.0,4.0,5.0,-18.0,Pass,Incomplete,0.0,,Tyler Coleman,Incomplete,R. Kirkland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Downs,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Greensboro,,GREENSBO,1,,,,1.0,10.0,18.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:01,1741,0,0,0,3,3,3,false start,GREENSBO,Keegan Carroll,,,,5.0
7,Greensboro,D,GREENSBO,1,,1.0,1.0,0.0,15.0,23.0,Run,Rush,-2.0,Dalton Miller,,,,,,,P. Lankford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:01,1741,0,0,0,3,3,3,,,,,,,
8,Greensboro,D,GREENSBO,1,,1.0,2.0,2.0,17.0,25.0,Pass,Sack,-9.0,,David Loughry,Sack,,,,,Jaden Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:01,1741,0,0,0,3,3,3,,,,,,,
9,Greensboro,D,GREENSBO,1,,1.0,3.0,3.0,26.0,34.0,Run,Rush,8.0,Jaylin Bolden,,,,,,,J. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:01,1741,0,0,0,3,3,3,,,,,,,
10,Greensboro,D,GREENSBO,1,,1.0,4.0,4.0,18.0,26.0,Pass,Incomplete,0.0,,David Loughry,Incomplete,Zach Atkinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Downs,14:01,1741,0,0,0,3,3,3,,,,,,,
11,Greensboro,O,LCM,1,,2.0,1.0,0.0,10.0,-26.0,Run,Rush,12.0,James Monroe,,,,,,,Jaden Henderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:40,1600,0,0,0,3,3,3,,,,,,,
12,Greensboro,O,LCM,1,,2.0,2.0,1.0,10.0,-38.0,Run,Rush,2.0,James Monroe,,,,,,,Brendan Perdue,Max Steele,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:40,1600,0,0,0,3,3,3,,,,,,,
13,Greensboro,O,LCM,1,,2.0,3.0,2.0,8.0,-40.0,Pass,Incomplete,0.0,,S. Lindsey,Incomplete,LJ Flint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:40,1600,0,0,0,3,3,3,,,,,,,
14,Greensboro,O,LCM,1,,2.0,4.0,3.0,8.0,-40.0,Pass,Incomplete,0.0,,S. Lindsey,Incomplete,Jaden Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,11:40,1600,0,0,0,3,3,3,,,,,,,
15,Greensboro,K,LCM,1,,,,4.0,8.0,-40.0,Punt,Return,,,,,,,,,Nicholas Martin,,,,,,,Cale Matthews,7,34.0,,,,,,Tyler Coleman,33.0,27.0,Return,,,,,,,,,,,,,,11:40,1600,0,0,0,3,3,3,,,,,,,
16,Greensboro,D,GREENSBO,1,,2.0,1.0,0.0,10.0,-34.0,Pass,Incomplete,0.0,,David Loughry,Incomplete,Ryan Buchanan,,,,D. Densmore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:09,1509,0,0,0,3,3,3,,,,,,,
17,Greensboro,D,GREENSBO,1,,2.0,2.0,2.0,10.0,-34.0,Run,Rush,0.0,David Loughry,,,,,,,Hassan Tutson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:09,1509,0,0,0,3,3,3,,,,,,,
18,Greensboro,D,GREENSBO,1,,2.0,3.0,3.0,10.0,-34.0,Pass,Sack,-8.0,,David Loughry,Sack,,,,,Joe Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,10:09,1509,0,0,0,3,3,3,,,,,,,
19,Greensboro,K,GREENSBO,1,,,,4.0,18.0,-26.0,Punt Ret,,,,,,,,,,,,,,,,,,,,,,,,,Zach Allman,42.0,32.0,,,,,,,,,,,,,,,10:09,1509,0,0,0,3,3,3,,,,,,,
20,Greensboro,O,LCM,1,,3.0,1.0,0.0,10.0,-32.0,Pass,Complete,1.0,,S. Lindsey,Complete,Aubrey Carter,,,,Tyler Alston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:29,1409,0,0,0,3,3,3,,,,,,,
21,Greensboro,O,LCM,1,,3.0,2.0,2.0,11.0,-31.0,Pass,Complete,57.0,,S. Lindsey,Complete,De'queze Fryer,,,,Jaden Henderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:29,1409,0,0,0,3,3,3,,,,,,,
22,Greensboro,O,LCM,1,,3.0,3.0,1.0,10.0,12.0,Run,Rush,1.0,Aubrey Carter,,,,,,,Tim Wallace,Austin Longwort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:29,1409,0,0,0,3,3,3,,,,,,,
23,Greensboro,O,LCM,1,,3.0,4.0,2.0,9.0,11.0,Pass,Incomplete,0.0,,S. Lindsey,Incomplete,Dana Lucas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:29,1409,0,0,0,3,3,3,,,,,,,
24,Greensboro,O,LCM,1,,3.0,5.0,3.0,9.0,11.0,Run,Rush,8.0,S. Lindsey,,,,,,,TEAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:29,1409,0,0,0,3,3,3,,,,,,,
25,Greensboro,,LCM,1,,,,4.0,1.0,3.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:29,1409,0,0,0,3,3,3,false start,LCM,Colby Lee,,,,5.0
26,Greensboro,K,LCM,1,,,,4.0,6.0,8.0,FG,Blocked,,,,,,,,,Brendan Perdue,,,,,,,Da'Shaun Wallac,69,31.0,,,,,,,,,,Taiseng Brown,Alex Rivera,25.0,Blocked,,,,,True,True,,,,08:29,1409,0,0,0,3,3,3,holding,GREENSBO,Brendan Perdue,,,,4.0
27,Greensboro,O,LCM,1,,4.0,1.0,0.0,4.0,4.0,Run,Rush,1.0,S. Lindsey,,,,,,,TEAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Downs,05:20,1220,0,0,0,3,3,3,,,,,,,
28,Greensboro,D,GREENSBO,1,,3.0,1.0,0.0,10.0,-3.0,Run,Rush,0.0,Shawn Cardwell,,,,,,,P. Lankford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:15,1215,0,0,0,3,3,3,,,,,,,
29,Greensboro,D,GREENSBO,1,,3.0,2.0,2.0,10.0,-3.0,Run,Rush,2.0,Shawn Cardwell,,,,,,,Dontre Mike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:15,1215,0,0,0,3,3,3,,,,,,,
30,Greensboro,,GREENSBO,1,,,,3.0,8.0,-5.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:15,1215,0,0,0,3,3,3,false start,GREENSBO,Keegan Carroll,,,,2.0
31,Greensboro,D,GREENSBO,1,,3.0,3.0,3.0,10.0,-3.0,Run,Rush,-1.0,David Loughry,,,,,,,Hassan Tutson,Joe Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,05:15,1215,0,0,0,3,3,3,,,,,,,
32,Greensboro,K,GREENSBO,1,,,,4.0,11.0,-2.0,Punt Ret,Out of bounds,,,,,,,,,,,,,,,,,,,,,,,,Zach Allman,43.0,-45.0,Out of bounds,,,,,,,,,,,,,,05:15,1215,0,0,0,3,3,3,,,,,,,
33,Greensboro,O,LCM,1,,5.0,1.0,0.0,10.0,45.0,Pass,Incomplete,0.0,,S. Lindsey,Incomplete,Ajani Williams,,,,Taiseng Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02:56,1076,0,0,0,3,3,3,,,,,,,
34,Greensboro,O,LCM,1,,5.0,2.0,2.0,10.0,45.0,Pass,Complete,30.0,,S. Lindsey,Complete,De'queze Fryer,,,,Jaden Henderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02:56,1076,0,0,0,3,3,3,,,,,,,
35,Greensboro,O,LCM,1,,5.0,3.0,1.0,10.0,15.0,Pass,Complete,9.0,,S. Lindsey,Complete,LJ Flint,,,,Jaden Henderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02:56,1076,0,0,0,3,3,3,,,,,,,
36,Greensboro,O,LCM,1,,5.0,4.0,2.0,1.0,6.0,Pass,Complete,6.0,,S. Lindsey,Complete,De'queze Fryer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,02:56,1076,0,0,0,3,3,3,,,,,,,
37,Greensboro,K,LCM,1,,,,,,,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alex Rivera,,,Good,,,,,,,,,01:40,1000,6,0,6,3,3,3,,,,,,,
38,Greensboro,K,LCM,1,,,,,,,KO,Return,,,,,,,,,Klynell Johnson,,,,,,,Anthony Hreiz,9,36.0,Alex Rivera,38.0,27.0,Return,,,,,,,,,,,,,,,,,,,01:40,1000,7,0,7,3,3,3,holding,GREENSBO,Johnathan Mille,,,,10.0
39,Greensboro,D,GREENSBO,1,,4.0,1.0,0.0,10.0,-26.0,Run,Rush,4.0,Jaylin Bolden,,,,,,,P. Lankford,Sean Santos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01:31,991,0,7,7,3,3,3,,,,,,,
40,Greensboro,D,GREENSBO,1,,4.0,2.0,2.0,6.0,-30.0,Pass,Incomplete,0.0,,David Loughry,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01:31,991,0,7,7,3,3,3,,,,,,,
41,Greensboro,D,GREENSBO,1,,4.0,3.0,3.0,6.0,-30.0,Run,Rush,10.0,David Loughry,,,,,,,P. Lankford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01:31,991,0,7,7,3,3,3,,,,,,,
42,Greensboro,D,GREENSBO,1,,4.0,4.0,1.0,10.0,-40.0,Pass,Incomplete,0.0,,David Loughry,Incomplete,Jaylen Rhodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01:31,991,0,7,7,3,3,3,,,,,,,
43,Greensboro,D,GREENSBO,2,,4.0,5.0,2.0,10.0,-40.0,Pass,Complete,33.0,,David Loughry,Complete,Ryan Buchanan,,,,Cameron Grady,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,900,0,7,7,3,3,3,,,,,,,
44,Greensboro,D,GREENSBO,2,,4.0,6.0,1.0,10.0,27.0,Pass,Incomplete,0.0,,David Loughry,Incomplete,Coy Davis,,,,D. Densmore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,900,0,7,7,3,3,3,,,,,,,
45,Greensboro,D,GREENSBO,2,,4.0,7.0,2.0,10.0,27.0,Run,Rush,2.0,David Loughry,,,,,,,Dontre Mike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,900,0,7,7,3,3,3,,,,,,,
46,Greensboro,D,GREENSBO,2,,4.0,8.0,3.0,8.0,25.0,Pass,Sack,-6.0,,David Loughry,Sack,,,,,John Dunivan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,900,0,7,7,3,3,3,,,,,,,
47,Greensboro,D,GREENSBO,2,,4.0,9.0,4.0,14.0,31.0,Pass,Incomplete,0.0,,David Loughry,Incomplete,Tyler Penland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Downs,15:00,900,0,7,7,3,3,3,,,,,,,
48,Greensboro,O,LCM,2,,6.0,1.0,0.0,10.0,-31.0,Run,Rush,7.0,S. Lindsey,,,,,,,Taiseng Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:29,749,7,0,7,3,3,3,,,,,,,
49,Greensboro,O,LCM,2,,6.0,2.0,2.0,3.0,-38.0,Pass,Complete,5.0,,S. Lindsey,Complete,De'queze Fryer,,,,Jaden Henderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:29,749,7,0,7,3,3,3,,,,,,,
50,Greensboro,O,LCM,2,,6.0,3.0,1.0,10.0,-43.0,Pass,Complete,9.0,,S. Lindsey,Complete,De'queze Fryer,,,,Jaden Henderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:29,749,7,0,7,3,3,3,,,,,,,
51,Greensboro,O,LCM,2,,6.0,4.0,2.0,1.0,48.0,Run,Rush,3.0,S. Lindsey,,,,,,,Charles Gwatkin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:29,749,7,0,7,3,3,3,,,,,,,
52,Greensboro,O,LCM,2,,6.0,5.0,1.0,10.0,45.0,Pass,Complete,5.0,,S. Lindsey,Complete,Kaden Corbitt,,,,DeShawn Fitts,Jaden Henderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:29,749,7,0,7,3,3,3,,,,,,,
53,Greensboro,O,LCM,2,,6.0,6.0,2.0,5.0,40.0,Pass,Complete,5.0,,S. Lindsey,Complete,Fredrick Jones,,,,Zach Shaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:29,749,7,0,7,3,3,3,,,,,,,
54,Greensboro,O,LCM,2,,6.0,7.0,1.0,10.0,35.0,Pass,Incomplete,0.0,,S. Lindsey,Incomplete,J. Anderson,,,,Jaden Henderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:29,749,7,0,7,3,3,3,,,,,,,
55,Greensboro,O,LCM,2,,6.0,8.0,2.0,10.0,35.0,Pass,Complete,9.0,,S. Lindsey,Complete,De'queze Fryer,,,,Jamin Snellings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:29,749,7,0,7,3,3,3,,,,,,,
56,Greensboro,O,LCM,2,,6.0,9.0,3.0,1.0,26.0,Pass,Sack,-8.0,,S. Lindsey,Sack,,,,,Max Steele,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:29,749,7,0,7,3,3,3,unsportmanlike conduct,GREENSBO,Max Steele,,,,15.0
57,Greensboro,O,LCM,2,,6.0,10.0,1.0,10.0,19.0,Run,Rush,2.0,James Monroe,,,,,,,Michael Byrd-Sc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:29,749,7,0,7,3,3,3,,,,,,,
58,Greensboro,O,LCM,2,,6.0,11.0,2.0,8.0,17.0,Run,Rush,11.0,James Monroe,,,,,,,TEAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:29,749,7,0,7,3,3,3,holding,LCM,Quenton Green,,,,9.0
59,Greensboro,O,LCM,2,,6.0,12.0,2.0,6.0,15.0,Pass,Incomplete,0.0,,S. Lindsey,Incomplete,De'queze Fryer,,,,Zach Shaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:29,749,7,0,7,3,3,3,,,,,,,
60,Greensboro,O,LCM,2,,6.0,13.0,3.0,6.0,15.0,Pass,Complete,9.0,,S. Lindsey,Complete,Ajani Williams,,,,Zach Shaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:29,749,7,0,7,3,3,3,,,,,,,
61,Greensboro,O,LCM,2,,6.0,14.0,3.0,6.0,6.0,Pass,Complete,5.0,,S. Lindsey,Complete,Ajani Williams,,,,TEAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,12:29,749,7,0,7,3,3,3,holding,LCM,Quenton Green,,,,10.0
62,Greensboro,O,LCM,2,,6.0,15.0,3.0,16.0,16.0,Run,Rush,4.0,S. Lindsey,,,,,,,Malik Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FG,12:29,749,7,0,7,3,3,3,,,,,,,
63,Greensboro,K,LCM,2,,,,4.0,12.0,12.0,FG,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alex Rivera,29.0,Good,,,,,,,,,,12:29,749,7,0,7,3,3,3,,,,,,,
64,Greensboro,K,LCM,2,,,,,,,KO,,,,,,,,,,,,,,,,,,,,Alex Rivera,45.0,20.0,,,,,,,,,,,,,,,,,,,,06:20,380,10,0,10,3,3,3,personal foul,GREENSBO,Jaden Coleman,,,,10.0
65,Greensboro,D,GREENSBO,2,,5.0,1.0,0.0,20.0,-10.0,Pass,Complete,7.0,,David Loughry,Complete,Coy Davis,,,,Cameron Grady,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:16,376,0,10,10,3,3,3,,,,,,,
66,Greensboro,D,GREENSBO,2,,5.0,2.0,2.0,13.0,-17.0,Pass,Incomplete,0.0,,David Loughry,Incomplete,Cale Matthews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:16,376,0,10,10,3,3,3,,,,,,,
67,Greensboro,D,GREENSBO,2,,5.0,3.0,3.0,13.0,-17.0,Pass,Complete,14.0,,David Loughry,Complete,Cale Matthews,,,,Aaron Belt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:16,376,0,10,10,3,3,3,,,,,,,
68,Greensboro,D,GREENSBO,2,,5.0,4.0,1.0,10.0,-31.0,Pass,Incomplete,0.0,,David Loughry,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:16,376,0,10,10,3,3,3,,,,,,,
69,Greensboro,D,GREENSBO,2,,5.0,5.0,2.0,10.0,-31.0,Pass,Complete,7.0,,David Loughry,Complete,Coy Davis,,,,D. Densmore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:16,376,0,10,10,3,3,3,,,,,,,
70,Greensboro,D,GREENSBO,2,,5.0,6.0,3.0,3.0,-38.0,Pass,Complete,13.0,,David Loughry,Complete,Cale Matthews,,,,J. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:16,376,0,10,10,3,3,3,,,,,,,
71,Greensboro,D,GREENSBO,2,,5.0,7.0,1.0,10.0,49.0,Run,Rush,7.0,Shawn Cardwell,,,,,,,Isaiah Screen,Klynell Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:16,376,0,10,10,3,3,3,,,,,,,
72,Greensboro,D,GREENSBO,2,,5.0,8.0,2.0,3.0,42.0,Pass,Complete,42.0,,David Loughry,Complete,Zach Atkinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,06:16,376,0,10,10,3,3,3,,,,,,,
73,Greensboro,K,GREENSBO,2,,,,,,,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zach Allman,,,Good,,,,,,,,,02:42,162,6,10,4,3,3,3,,,,,,,
74,Greensboro,K,GREENSBO,2,,,,,,,KO Ret,Fair Catch,,,,,,,,,,,,,,,,,,,Ben Mangungu,42.0,23.0,Fair Catch,,,,,,,,,,,,,,,,,,,02:42,162,7,10,3,3,3,3,,,,,,,
75,Greensboro,O,LCM,2,,7.0,1.0,0.0,10.0,-25.0,Pass,Complete,17.0,,S. Lindsey,Complete,Fredrick Jones,,,,Jaden Henderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02:41,161,10,7,3,3,3,3,,,,,,,
76,Greensboro,O,LCM,2,,7.0,2.0,1.0,10.0,-42.0,Pass,Incomplete,0.0,,S. Lindsey,Incomplete,Fredrick Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02:41,161,10,7,3,3,3,3,,,,,,,
77,Greensboro,O,LCM,2,,7.0,3.0,2.0,10.0,-42.0,Pass,Complete,4.0,,S. Lindsey,Complete,J. Anderson,,,,Taiseng Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02:41,161,10,7,3,3,3,3,,,,,,,
78,Greensboro,O,LCM,2,,7.0,4.0,3.0,6.0,-46.0,Pass,Complete,42.0,,S. Lindsey,Complete,Eric Harris,,,,Da'Shaun Wallac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02:41,161,10,7,3,3,3,3,,,,,,,
79,Greensboro,O,LCM,2,,7.0,5.0,1.0,10.0,12.0,Pass,Complete,12.0,,S. Lindsey,Complete,Colby Daniel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,02:41,161,10,7,3,3,3,3,,,,,,,
80,Greensboro,K,LCM,2,,,,,,,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alex Rivera,,,Good,,,,,,,,,01:31,91,16,7,9,3,3,3,,,,,,,
81,Greensboro,K,LCM,2,,,,,,,KO,Return,,,,,,,,,Nicolas DeJesus,,,,,,,Ryan Buchanan,3,36.0,Alex Rivera,32.0,33.0,Return,,,,,,,,,,,,,,,,,,,01:31,91,17,7,10,3,3,3,,,,,,,
82,Greensboro,D,GREENSBO,2,,6.0,1.0,0.0,10.0,-36.0,Pass,Complete,5.0,,David Loughry,Complete,Cale Matthews,,,,Cameron Grady,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01:27,87,7,17,10,3,3,3,,,,,,,
83,Greensboro,,GREENSBO,2,,,,2.0,5.0,-41.0,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LaGrange,,,,,,,01:27,87,7,17,10,3,3,3,,,,,,,
84,Greensboro,D,GREENSBO,2,,6.0,2.0,2.0,5.0,-41.0,Pass,Incomplete,0.0,,David Loughry,Incomplete,Cale Matthews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01:18,78,7,17,10,2,3,2,,,,,,,
85,Greensboro,D,GREENSBO,2,,6.0,3.0,3.0,5.0,-41.0,Pass,Complete,26.0,,David Loughry,Complete,Coy Davis,,,,Cameron Grady,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01:18,78,7,17,10,2,3,2,,,,,,,
86,Greensboro,D,GREENSBO,2,,6.0,4.0,1.0,10.0,33.0,Pass,Incomplete,0.0,,David Loughry,Incomplete,Tyler Penland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01:18,78,7,17,10,2,3,2,,,,,,,
87,Greensboro,D,GREENSBO,2,,6.0,5.0,2.0,10.0,33.0,Pass,Incomplete,0.0,,David Loughry,Incomplete,Cale Matthews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01:18,78,7,17,10,2,3,2,,,,,,,
88,Greensboro,D,GREENSBO,2,,6.0,6.0,3.0,10.0,33.0,Pass,Incomplete,0.0,,David Loughry,Incomplete,Shawn Cardwell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01:18,78,7,17,10,2,3,2,,,,,,,
89,Greensboro,,GREENSBO,2,,,,4.0,10.0,33.0,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Greensboro,,,,,,,01:18,78,7,17,10,2,3,2,,,,,,,
90,Greensboro,D,GREENSBO,2,,6.0,7.0,4.0,10.0,33.0,Pass,Complete,12.0,,David Loughry,Complete,Zach Atkinson,,,,Cameron Grady,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:31,31,7,17,10,2,2,2,,,,,,,
91,Greensboro,,GREENSBO,2,,,,1.0,10.0,21.0,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Greensboro,,,,,,,00:31,31,7,17,10,2,2,2,,,,,,,
92,Greensboro,,GREENSBO,2,,,,1.0,10.0,21.0,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LaGrange,,,,,,,00:22,22,7,17,10,2,1,2,,,,,,,
