PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Concordia Chicago,K,CUCFB,1,,,,,,,KO Rec,Return,,,,,,,,,Jayden Jones,,,,,,,Gabriel Maynes,18,46.0,Ryan Auer,37.0,28.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Concordia Chicago,O,LUFB,1,,1.0,1.0,0.0,10.0,-46.0,Run,Rush,4.0,Larry Rivers,,,,,,,Brendon Baugh,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,14:52,1792,0,0,0,3,3,3,holding,LUFB,Zach Welnetz,,,,10.0
3,Concordia Chicago,O,LUFB,1,,1.0,2.0,1.0,20.0,-36.0,Pass,Complete,10.0,,,Complete,Mason Prunick,,,,Lenny Woods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:52,1792,0,0,0,3,3,3,,,,,,,
4,Concordia Chicago,O,LUFB,1,,1.0,3.0,2.0,10.0,-46.0,Pass,Complete,1.0,,,Complete,Mason Prunick,,,,Lenny Woods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:52,1792,0,0,0,3,3,3,,,,,,,
5,Concordia Chicago,O,LUFB,1,,1.0,4.0,3.0,9.0,-47.0,Run,Rush,23.0,Larry Rivers,,,,,,,Lenny Woods,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:52,1792,0,0,0,3,3,3,,,,,,,
6,Concordia Chicago,O,LUFB,1,,1.0,5.0,1.0,10.0,30.0,Pass,Complete,8.0,,,Complete,Mason Prunick,,,,Landon Hoskins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:52,1792,0,0,0,3,3,3,,,,,,,
7,Concordia Chicago,O,LUFB,1,,1.0,6.0,2.0,2.0,22.0,Run,Rush,1.0,Larry Rivers,,,,,,,Jeremiah Glenn,Travon Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:52,1792,0,0,0,3,3,3,,,,,,,
8,Concordia Chicago,O,LUFB,1,,1.0,7.0,3.0,1.0,21.0,Run,Rush,5.0,Larry Rivers,,,,,,,Tyler Dudley,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:52,1792,0,0,0,3,3,3,,,,,,,
9,Concordia Chicago,O,LUFB,1,,1.0,8.0,1.0,10.0,16.0,Run,Rush,8.0,Larry Rivers,,,,,,,Martin Egbo,Brendon Baugh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:52,1792,0,0,0,3,3,3,,,,,,,
10,Concordia Chicago,O,LUFB,1,,1.0,9.0,2.0,2.0,8.0,Run,Rush,0.0,Larry Rivers,,,,,,,Martin Egbo,Justin Aduo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:52,1792,0,0,0,3,3,3,,,,,,,
11,Concordia Chicago,O,LUFB,1,,1.0,10.0,3.0,2.0,8.0,Run,Rush,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,14:52,1792,0,0,0,3,3,3,,,,,,,
12,Concordia Chicago,K,LUFB,1,,,,1.0,3.0,3.0,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,,,,,,,,11:29,1589,6,0,6,3,3,3,,,,,,,
13,Concordia Chicago,K,LUFB,1,,,,1.0,-35.0,-35.0,KO,Out of bounds,,,,,,,,,,,,,,,,,,,Andrew Colley,24.0,41.0,Out of bounds,,,,,,,,,,,,,,,,,,,11:29,1589,7,0,7,3,3,3,,,,,,,
14,Concordia Chicago,D,CUCFB,1,,1.0,1.0,0.0,10.0,-46.0,Run,Rush,21.0,DeAndre Daniels,,,,,,,Crutcher,Ezekiel Combs,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:29,1589,0,7,7,3,3,3,,,,,,,
15,Concordia Chicago,D,CUCFB,1,,1.0,2.0,1.0,10.0,33.0,Run,Rush,4.0,Troy Pratley,,,,,,,Karlis Ozols,Ezekiel Combs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:29,1589,0,7,7,3,3,3,,,,,,,
16,Concordia Chicago,D,CUCFB,1,,1.0,3.0,2.0,6.0,29.0,Pass,Complete,16.0,,,Complete,Tyeray McKinney,,,,Karlis Ozols,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:29,1589,0,7,7,3,3,3,,,,,,,
17,Concordia Chicago,D,CUCFB,1,,1.0,4.0,1.0,10.0,13.0,Run,Rush,1.0,DeAndre Daniels,,,,,,,Agustin Diaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:29,1589,0,7,7,3,3,3,,,,,,,
18,Concordia Chicago,D,CUCFB,1,,1.0,5.0,2.0,9.0,12.0,Run,Rush,7.0,Troy Pratley,,,,,,,D.J. Tomlinson,Andrew Cardiel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:29,1589,0,7,7,3,3,3,,,,,,,
19,Concordia Chicago,D,CUCFB,1,,1.0,6.0,3.0,2.0,5.0,Run,Rush,0.0,Tyeray McKinney,,,,,,,Drue Elliott,,True,Tyeray McKinney,Andrew Cardiel,LUFB,Jayson Wilder,Jayson Wilder,25,-5.0,,,,,,,,,,,,,,,,,,,,,,Fumble,11:29,1589,0,7,7,3,3,3,,,,,,,
20,Concordia Chicago,O,LUFB,1,,2.0,1.0,0.0,10.0,-30.0,Run,Rush,0.0,Larry Rivers,,,,,,,Tyler Dudley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:17,1397,7,0,7,3,3,3,,,,,,,
21,Concordia Chicago,O,LUFB,1,,2.0,2.0,2.0,10.0,-30.0,Pass,Incomplete,0.0,,,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:17,1397,7,0,7,3,3,3,,,,,,,
22,Concordia Chicago,O,LUFB,1,,2.0,3.0,3.0,10.0,-30.0,Pass,Sack,-9.0,,,Sack,,,,,Justin Aduo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,08:17,1397,7,0,7,3,3,3,,,,,,,
23,Concordia Chicago,K,LUFB,1,,,,4.0,19.0,-21.0,Punt,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,,,45.0,34.0,Fair Catch,,,,,,,,True,,,,,,08:17,1397,7,0,7,3,3,3,holding,CUCFB,Brendon Baugh,,,,10.0
24,Concordia Chicago,D,CUCFB,1,,2.0,1.0,0.0,10.0,-24.0,Run,Rush,3.0,DeAndre Daniels,,,,,,,Crutcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:17,1397,0,7,7,3,3,3,,,,,,,
25,Concordia Chicago,D,CUCFB,1,,2.0,2.0,2.0,7.0,-27.0,Run,Rush,2.0,Troy Pratley,,,,,,,Karlis Ozols,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:17,1397,0,7,7,3,3,3,,,,,,,
26,Concordia Chicago,D,CUCFB,1,,2.0,3.0,3.0,5.0,-29.0,Pass,Complete,9.0,,,Complete,DeAndre Daniels,,,,Crutcher,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,08:17,1397,0,7,7,3,3,3,,,,,,,
27,Concordia Chicago,D,CUCFB,1,,2.0,4.0,1.0,10.0,-38.0,Run,Rush,2.0,DeAndre Daniels,,,,,,,Stuckey,Bryant Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:17,1397,0,7,7,3,3,3,,,,,,,
28,Concordia Chicago,,CUCFB,1,,,,2.0,8.0,-40.0,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Concordia Chicago,,,,,,,08:17,1397,0,7,7,3,3,3,,,,,,,
29,Concordia Chicago,D,CUCFB,1,,2.0,5.0,2.0,8.0,-40.0,Run,Rush,39.0,Troy Pratley,,,,,,,Carranza,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,04:46,1186,0,7,7,3,2,3,,,,,,,
30,Concordia Chicago,,CUCFB,1,,,,1.0,10.0,21.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:46,1186,0,7,7,3,2,3,false start,CUCFB,Reece Prokop,,,,5.0
31,Concordia Chicago,,CUCFB,1,,,,1.0,15.0,26.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:46,1186,0,7,7,3,2,3,false start,CUCFB,Reece Prokop,,,,5.0
32,Concordia Chicago,D,CUCFB,1,,2.0,6.0,1.0,20.0,31.0,Run,Rush,2.0,DeAndre Daniels,,,,,,,Karlis Ozols,Chris Daniels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:46,1186,0,7,7,3,2,3,,,,,,,
33,Concordia Chicago,D,CUCFB,1,,2.0,7.0,2.0,18.0,29.0,Run,Rush,4.0,DeAndre Daniels,,,,,,,Townsend,Ezekiel Combs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:46,1186,0,7,7,3,2,3,,,,,,,
34,Concordia Chicago,D,CUCFB,1,,2.0,8.0,3.0,14.0,25.0,Run,Rush,-4.0,DeAndre Daniels,,,,,,,Otis Watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Missed FG,04:46,1186,0,7,7,3,2,3,,,,,,,
35,Concordia Chicago,K,CUCFB,1,,,,4.0,18.0,29.0,FG Block,No Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryan Auer,39.0,No Good,,,,,,,,,,04:46,1186,0,7,7,3,2,3,,,,,,,
36,Concordia Chicago,O,LUFB,1,,3.0,1.0,0.0,10.0,-29.0,Run,Rush,9.0,Larry Rivers,,,,,,,Travon Thomas,Marq Overstreet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01:35,995,7,0,7,3,3,2,,,,,,,
37,Concordia Chicago,O,LUFB,1,,3.0,2.0,2.0,1.0,-38.0,Pass,Incomplete,0.0,,,Incomplete,Mason Prunick,,,,Brendon Baugh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01:35,995,7,0,7,3,3,2,,,,,,,
38,Concordia Chicago,O,LUFB,1,,3.0,3.0,3.0,1.0,-38.0,Run,Rush,2.0,Larry Rivers,,,,,,,Travon Thomas,Martin Egbo,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,01:35,995,7,0,7,3,3,2,,,,,,,
39,Concordia Chicago,O,LUFB,1,,3.0,4.0,1.0,10.0,-40.0,Pass,Complete,7.0,,,Complete,Mason Prunick,,,,Eric Wade,Tyler Dudley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01:35,995,7,0,7,3,3,2,,,,,,,
40,Concordia Chicago,O,LUFB,1,,3.0,5.0,2.0,3.0,-47.0,Run,Rush,7.0,,,,,,,,Tyler Dudley,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,01:35,995,7,0,7,3,3,2,,,,,,,
41,Concordia Chicago,O,LUFB,1,,3.0,6.0,1.0,10.0,46.0,Pass,Incomplete,0.0,,,Incomplete,Brice Kensey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01:35,995,7,0,7,3,3,2,,,,,,,
