PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Concordia Wisconsin,K,LUFB,1,,,,,,,KO,Return,,,,,,,,,Crutcher,,,,,,,,7,25.0,Andrew Colley,47.0,18.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Concordia Wisconsin,D,CUWFB,1,,1.0,1.0,0.0,10.0,-25.0,Pass,Incomplete,0.0,,,Incomplete,,,,,Andrew Cardiel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Concordia Wisconsin,D,CUWFB,1,,1.0,2.0,2.0,10.0,-25.0,Run,Rush,1.0,,,,,,,,Agustin Diaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Concordia Wisconsin,D,CUWFB,1,,1.0,3.0,3.0,9.0,-26.0,Pass,Incomplete,0.0,,dropped Tim,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Concordia Wisconsin,K,CUWFB,1,,,,4.0,9.0,-26.0,Punt Rec,Return,,,,,,,,,Nasir Briggs,,,,,,,Brice Kensey,8,49.0,,,,,,,33.0,41.0,Return,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Concordia Wisconsin,O,LUFB,1,,1.0,1.0,0.0,10.0,-49.0,Run,Rush,18.0,Larry Rivers,,,,,,,Cameron Kohler,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:01,1741,0,0,0,3,3,3,,,,,,,
7,Concordia Wisconsin,O,LUFB,1,,1.0,2.0,1.0,10.0,33.0,Pass,Complete,33.0,,,Complete,Brice Kensey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,14:01,1741,0,0,0,3,3,3,,,,,,,
8,Concordia Wisconsin,K,LUFB,1,,,,1.0,3.0,3.0,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,,,,,,,,13:33,1713,6,0,6,3,3,3,,,,,,,
9,Concordia Wisconsin,K,LUFB,1,,,,1.0,-35.0,-35.0,KO,Return,,,,,,,,,Xavier Lopez,,,,,,,,5,24.0,Andrew Colley,46.0,19.0,Return,,,,,,,,,,,,,,,,,,,13:33,1713,7,0,7,3,3,3,,,,,,,
10,Concordia Wisconsin,D,CUWFB,1,,2.0,1.0,0.0,10.0,-24.0,Run,Rush,6.0,,,,,,,,Andrew Cardiel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:27,1707,0,7,7,3,3,3,,,,,,,
11,Concordia Wisconsin,D,CUWFB,1,,2.0,2.0,2.0,4.0,-30.0,Pass,Complete,3.0,,,Complete,,,,,Carranza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:27,1707,0,7,7,3,3,3,,,,,,,
