PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Lake Forest,K,LU,1,,,,,,,KO,Return,,,,,,,,,,,,,,,,Kobee Marion,84,0.0,Andre Mazur,49.0,16.0,Return,,,,,,,,,,,,,,True,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Lake Forest,K,LFC,1,,,,1.0,3.0,3.0,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Patri Goldammer,,,Good,,,,,,,,,14:45,1785,6,0,-6,3,3,3,,,,,,,
3,Lake Forest,K,LFC,1,,,,1.0,-35.0,-35.0,KO Rec,Return,,,,,,,,,Zack McGinnis,Darion Miller,,,,,,Tanner Morris,22,32.0,Logan Persson,55.0,10.0,Return,,,,,,,,,,,,,,,,,,,14:45,1785,7,0,-7,3,3,3,,,,,,,
4,Lake Forest,O,LU,1,,1.0,1.0,0.0,10.0,-32.0,Pass,Incomplete,0.0,,Weaver RE,Incomplete,Tanner Morris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:38,1778,0,7,-7,3,3,3,,,,,,,
5,Lake Forest,O,LU,1,,1.0,2.0,2.0,10.0,-32.0,Run,Rush,-2.0,D'Andre Weaver,,,,,,,,,True,D'Andre Weaver,,LU,Tanner Morris,,,,,,,,,,,,,,,,,,,,,,,,,,14:38,1778,0,7,-7,3,3,3,,,,,,,
6,Lake Forest,O,LU,1,,1.0,3.0,3.0,12.0,-30.0,Pass,Incomplete,0.0,,Weaver LE,Incomplete,Tanner Morris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:38,1778,0,7,-7,3,3,3,,,,,,,
7,Lake Forest,K,LU,1,,,,4.0,12.0,-30.0,Punt,Return,,,,,,,,,Logan Olson,Billy Wallisch,,,,,,,8,41.0,,,,,,Ben Blumenthal,37.0,33.0,Return,,,,,,,,,,,,,,14:38,1778,0,7,-7,3,3,3,,,,,,,
8,Lake Forest,D,LFC,1,,1.0,1.0,0.0,10.0,-41.0,Pass,Incomplete,0.0,,,Incomplete,Cooper Tomlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:54,1734,7,0,-7,3,3,3,,,,,,,
9,Lake Forest,D,LFC,1,,1.0,2.0,2.0,10.0,-41.0,Run,Rush,6.0,Armani Brown,,,,,,,Donzel Andress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:54,1734,7,0,-7,3,3,3,,,,,,,
10,Lake Forest,D,LFC,1,,1.0,3.0,3.0,4.0,-47.0,Pass,Incomplete,0.0,,,Incomplete,J Henderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:54,1734,7,0,-7,3,3,3,,,,,,,
