PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Monmouth College,K,MC,1,,,,,,,KO Rec,Return,,,,,,,,,R. Previlus,,,,,,,Tanner Morris,11,26.0,Cody Szelc,50.0,15.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Monmouth College,O,LU,1,,1.0,1.0,0.0,10.0,-26.0,Pass,Incomplete,0.0,,D'Andre Weaver,Incomplete,Nick Pastrone,,,,Evan Otto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Monmouth College,O,LU,1,,1.0,2.0,2.0,10.0,-26.0,Pass,Incomplete,0.0,,D'Andre Weaver,Incomplete,Derek Brickley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Monmouth College,,LU,1,,,,3.0,10.0,-26.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,delay of game,LU,,,,,5.0
5,Monmouth College,O,LU,1,,1.0,3.0,3.0,15.0,-21.0,Pass,Complete,10.0,,D'Andre Weaver,Complete,Tanner Morris,,,,Michael Lord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Monmouth College,K,LU,1,,,,4.0,5.0,-31.0,Punt,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,,Ben Blumenthal,32.0,37.0,Fair Catch,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,Monmouth College,D,MC,1,,1.0,1.0,0.0,10.0,-37.0,Run,Rush,6.0,H. Francois,,,,,,,Eder Bellegarde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:03,1743,0,0,0,3,3,3,,,,,,,
8,Monmouth College,D,MC,1,,1.0,2.0,2.0,4.0,-43.0,Pass,Complete,1.0,,Riley Fetterer,Complete,H. Francois,,,,Jacob Stanley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:03,1743,0,0,0,3,3,3,,,,,,,
9,Monmouth College,D,MC,1,,1.0,3.0,3.0,3.0,-44.0,Pass,Complete,6.0,,Riley Fetterer,Complete,Jake Uryasz,,,,Eder Bellegarde,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:03,1743,0,0,0,3,3,3,,,,,,,
10,Monmouth College,D,MC,1,,1.0,4.0,1.0,10.0,-50.0,Pass,Interception,0.0,,Riley Fetterer,Interception,,,Terrell Myers,,Dylan Bone,,,,,,,Terrell Myers,12,45.0,,,,,,,,,,,,,,,,,,,,,,Interception,14:03,1743,0,0,0,3,3,3,,,,,,,
11,Monmouth College,O,LU,1,,2.0,1.0,0.0,10.0,43.0,Pass,Incomplete,0.0,,D'Andre Weaver,Incomplete,Nick Pastrone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:46,1666,0,0,0,3,3,3,,,,,,,
12,Monmouth College,O,LU,1,,2.0,2.0,2.0,10.0,43.0,Run,Rush,1.0,Prince Mukuna,,,,,,,Tevin Baker,Drake Dietrich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:46,1666,0,0,0,3,3,3,,,,,,,
13,Monmouth College,O,LU,1,,2.0,3.0,3.0,9.0,42.0,Pass,Sack,-13.0,,D'Andre Weaver,Sack,,,,,K. Personett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,12:46,1666,0,0,0,3,3,3,,,,,,,
14,Monmouth College,K,LU,1,,,,4.0,22.0,-45.0,Punt,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,,Ben Blumenthal,33.0,22.0,Fair Catch,,,,,,,,,,,,,,12:46,1666,0,0,0,3,3,3,,,,,,,
15,Monmouth College,D,MC,1,,2.0,1.0,0.0,10.0,-22.0,Run,Rush,2.0,H. Francois,,,,,,,Blake Sadusk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:20,1580,0,0,0,3,3,3,,,,,,,
16,Monmouth College,D,MC,1,,2.0,2.0,2.0,8.0,-24.0,Pass,Complete,17.0,,Riley Fetterer,Complete,Nathan Thornton,,,,Terrell Myers,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:20,1580,0,0,0,3,3,3,,,,,,,
17,Monmouth College,D,MC,1,,2.0,3.0,1.0,10.0,-41.0,Run,Rush,9.0,Riley Fetterer,,,,,,,Eder Bellegarde,Allan Garcia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:20,1580,0,0,0,3,3,3,,,,,,,
18,Monmouth College,D,MC,1,,2.0,4.0,2.0,1.0,-50.0,Run,Rush,2.0,H. Francois,,,,,,,Zachary Allen,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:20,1580,0,0,0,3,3,3,,,,,,,
19,Monmouth College,D,MC,1,,2.0,5.0,1.0,10.0,48.0,Pass,Complete,18.0,,Riley Fetterer,Complete,Dylan Bone,,,,Blake Sadusk,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:20,1580,0,0,0,3,3,3,,,,,,,
20,Monmouth College,D,MC,1,,2.0,6.0,1.0,10.0,30.0,Pass,Complete,30.0,,Riley Fetterer,Complete,Nathan Graham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,11:20,1580,0,0,0,3,3,3,,,,,,,
21,Monmouth College,K,MC,1,,,,1.0,3.0,3.0,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cody Szelc,,,Good,,,,,,,,,08:39,1419,6,0,-6,3,3,3,,,,,,,
22,Monmouth College,K,MC,1,,,,1.0,-35.0,-35.0,KO Rec,Return,,,,,,,,,J. GL-Charles,,,,,,,Cameron Wicks,9,20.0,Cody Szelc,54.0,11.0,Return,,,,,,,,,,,,,,,,,,,08:39,1419,7,0,-7,3,3,3,,,,,,,
23,Monmouth College,O,LU,1,,3.0,1.0,0.0,10.0,-20.0,Pass,Complete,8.0,,D'Andre Weaver,Complete,Logan Olson,,,,Triston Gibson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:32,1412,0,7,-7,3,3,3,,,,,,,
24,Monmouth College,O,LU,1,,3.0,2.0,2.0,2.0,-28.0,Run,Rush,-1.0,Malachi Gatison,,,,,,,,,True,Malachi Gatison,,LU,Logan Olson,,,,,,,,,,,,,,,,,,,,True,,,,,,08:32,1412,0,7,-7,3,3,3,,,,,,,
25,Monmouth College,O,LU,1,,3.0,3.0,1.0,10.0,-30.0,Pass,Complete,16.0,,D'Andre Weaver,Complete,Nick Pastrone,,,,Michael Lord,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,08:32,1412,0,7,-7,3,3,3,,,,,,,
26,Monmouth College,O,LU,1,,3.0,4.0,1.0,10.0,-46.0,Pass,Complete,1.0,,D'Andre Weaver,Complete,Derek Brickley,,,,Michael Lord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:32,1412,0,7,-7,3,3,3,,,,,,,
27,Monmouth College,O,LU,1,,3.0,5.0,2.0,9.0,-47.0,Pass,Complete,1.0,,D'Andre Weaver,Complete,Malachi Gatison,,,,Evan Otto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:32,1412,0,7,-7,3,3,3,,,,,,,
28,Monmouth College,O,LU,1,,3.0,6.0,3.0,8.0,-48.0,Pass,Complete,17.0,,D'Andre Weaver,Complete,Malachi Gatison,,,,Reggie Willis,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,08:32,1412,0,7,-7,3,3,3,ineligible downfield on pass,LU,,,,,5.0
29,Monmouth College,O,LU,1,,3.0,7.0,3.0,13.0,-43.0,Pass,Interception,0.0,,D'Andre Weaver,Interception,,,Jalen Williams,,,,,,,,,Jalen Williams,0,20.0,,,,,,,,,,,,,,,,,,,,,,Interception,08:32,1412,0,7,-7,3,3,3,illegal forward pass,LU,,,,,
30,Monmouth College,D,MC,1,,3.0,1.0,0.0,10.0,-20.0,Run,Rush,7.0,Riley Fetterer,,,,,,,Jacob Stanley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:00,1200,7,0,-7,3,3,3,holding,MC,,,,,10.0
31,Monmouth College,D,MC,1,,3.0,2.0,1.0,13.0,-17.0,Pass,Complete,8.0,,Riley Fetterer,Complete,Dylan Bone,,,,Byron Floyd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:00,1200,7,0,-7,3,3,3,,,,,,,
32,Monmouth College,D,MC,1,,3.0,3.0,2.0,5.0,-25.0,Run,Rush,12.0,Devin Lawrence,,,,,,,Eder Bellegarde,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,05:00,1200,7,0,-7,3,3,3,,,,,,,
33,Monmouth College,D,MC,1,,3.0,4.0,1.0,10.0,-37.0,Pass,Complete,56.0,,Riley Fetterer,Complete,Devin Lawrence,,,,Zachary Allen,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,05:00,1200,7,0,-7,3,3,3,,,,,,,
34,Monmouth College,D,MC,1,,3.0,5.0,1.0,7.0,7.0,Run,Rush,-2.0,H. Francois,,,,,,,Onni Soininen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:00,1200,7,0,-7,3,3,3,,,,,,,
35,Monmouth College,D,MC,1,,3.0,6.0,2.0,9.0,9.0,Pass,Complete,9.0,,Riley Fetterer,Complete,Jake Uryasz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,05:00,1200,7,0,-7,3,3,3,,,,,,,
36,Monmouth College,K,MC,1,,,,1.0,3.0,3.0,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cody Szelc,,,Good,,,,,,,,,02:47,1067,13,0,-13,3,3,3,,,,,,,
37,Monmouth College,K,MC,1,,,,1.0,-35.0,-35.0,KO Rec,Return,,,,,,,,,R. Previlus,,,,,,,Cameron Wicks,40,45.0,Cody Szelc,60.0,5.0,Return,,,,,,,,,,,,,,,,,,,02:47,1067,14,0,-14,3,3,3,,,,,,,
38,Monmouth College,,LU,1,,,,1.0,10.0,-45.0,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lawrence University,,,,,,,02:34,1054,0,14,-14,3,3,3,,,,,,,
39,Monmouth College,O,LU,1,,4.0,1.0,0.0,10.0,-45.0,Pass,Incomplete,0.0,,D'Andre Weaver,Incomplete,Tanner Morris,,,,Evan Otto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02:34,1054,0,14,-14,2,2,3,,,,,,,
40,Monmouth College,O,LU,1,,4.0,2.0,2.0,10.0,-45.0,Run,Rush,2.0,Jack Sweeney,,,,,,,Evan Otto,Tevin Baker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02:34,1054,0,14,-14,2,2,3,,,,,,,
41,Monmouth College,O,LU,1,,4.0,3.0,3.0,8.0,-47.0,Pass,Incomplete,0.0,,D'Andre Weaver,Incomplete,Tanner Morris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,02:34,1054,0,14,-14,2,2,3,,,,,,,
42,Monmouth College,K,LU,1,,,,4.0,8.0,-47.0,Punt,Return,,,,,,,,,,,,,,,,Nathan Graham,15,34.0,,,,,,Ben Blumenthal,34.0,19.0,Return,,,,,,,,,,,,,,02:34,1054,0,14,-14,2,2,3,,,,,,,
43,Monmouth College,D,MC,1,,4.0,1.0,0.0,10.0,-34.0,Run,Rush,37.0,Riley Fetterer,,,,,,,Jacob Stanley,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,01:38,998,14,0,-14,2,3,2,,,,,,,
44,Monmouth College,,MC,1,,,,1.0,10.0,29.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01:38,998,14,0,-14,2,3,2,false start,MC,,,,,5.0
