PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Redlands,K,LIN,1,,,,,,,KO,,,,,,,,,,,,,,,,,,,,Andrew Starkel,65.0,0.0,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Redlands,D,RED,1,,1.0,1.0,0.0,10.0,-25.0,Run,Rush,45.0,Nathan Martinez,,,,,,,Tyler Sitton,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Redlands,D,RED,1,,1.0,2.0,1.0,10.0,30.0,Pass,Complete,0.0,,Nathan Martinez,Complete,Giovanni Isles,,,,Vinny Niosi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Redlands,D,RED,1,,1.0,3.0,2.0,10.0,30.0,Pass,Complete,3.0,,Nathan Martinez,Complete,Khory Day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Redlands,D,RED,1,,1.0,4.0,3.0,7.0,27.0,Pass,Complete,11.0,,Nathan Martinez,Complete,Giovanni Isles,,,,Josh Hanigan,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Redlands,D,RED,1,,1.0,5.0,1.0,10.0,16.0,Pass,Sack,-8.0,,Nathan Martinez,Sack,,,,,Klosterman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,Redlands,D,RED,1,,1.0,6.0,2.0,2.0,8.0,Run,Rush,4.0,Nathan Martinez,,,,,,,Josh Hanigan,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
8,Redlands,D,RED,1,,1.0,7.0,1.0,4.0,4.0,Run,Rush,3.0,Andrew Kellstro,,,,,,,Travis Swanson,Chase Lydig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
9,Redlands,,RED,1,,,,2.0,1.0,1.0,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Linfield,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
10,Redlands,D,RED,1,,1.0,8.0,2.0,1.0,1.0,Run,Rush,-5.0,Andrew Kellstro,,,,,,,Biege-Wetherbee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:49,1549,0,0,0,2,3,2,,,,,,,
11,Redlands,D,RED,1,,1.0,9.0,3.0,6.0,6.0,Run,Rush,-2.0,Nathan Martinez,,,,,,,Klosterman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FG,10:49,1549,0,0,0,2,3,2,,,,,,,
12,Redlands,K,RED,1,,,,4.0,8.0,8.0,FG Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vicente Garcia,25.0,Good,,,,,,,,,,10:49,1549,0,0,0,2,3,2,,,,,,,
13,Redlands,K,RED,1,,,,1.0,-35.0,-35.0,KO Ret,Return,,,,,,,,,Ethan Parish,,,,,,,Connor Morton,25,34.0,Brandon Marmion,56.0,9.0,Return,,,,,,,,,,,,,,,,,,,09:22,1462,3,0,-3,2,3,2,,,,,,,
14,Redlands,O,LIN,1,,1.0,1.0,0.0,10.0,-34.0,Run,Rush,2.0,Connor McNabb,,,,,,,Mikey Duran,Luke Purcella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:15,1455,0,3,-3,2,2,3,,,,,,,
15,Redlands,O,LIN,1,,1.0,2.0,2.0,8.0,-36.0,Pass,Incomplete,0.0,,Wyatt Smith,Incomplete,Joel Valadez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:15,1455,0,3,-3,2,2,3,,,,,,,
16,Redlands,O,LIN,1,,1.0,3.0,3.0,8.0,-36.0,Pass,Complete,27.0,,Wyatt Smith,Complete,Devon Murray,,,,Jace Tessaro,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,09:15,1455,0,3,-3,2,2,3,,,,,,,
17,Redlands,O,LIN,1,,1.0,4.0,1.0,10.0,37.0,Pass,Complete,5.0,,Wyatt Smith,Complete,Connor McNabb,,,,Michael Mindnic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:15,1455,0,3,-3,2,2,3,,,,,,,
18,Redlands,O,LIN,1,,1.0,5.0,2.0,5.0,32.0,Pass,Complete,6.0,,Wyatt Smith,Complete,Colton Smith,,,,Brandon Heinel,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,09:15,1455,0,3,-3,2,2,3,,,,,,,
19,Redlands,O,LIN,1,,1.0,6.0,1.0,10.0,26.0,Pass,Complete,2.0,,Wyatt Smith,Complete,Colton Smith,,,,Brandon Heinel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:15,1455,0,3,-3,2,2,3,,,,,,,
20,Redlands,O,LIN,1,,1.0,7.0,2.0,8.0,24.0,Pass,Complete,4.0,,Wyatt Smith,Complete,Joel Valadez,,,,Scott Tinsley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:15,1455,0,3,-3,2,2,3,,,,,,,
21,Redlands,O,LIN,1,,1.0,8.0,3.0,4.0,20.0,Pass,Complete,12.0,,Wyatt Smith,Complete,Joel Valadez,,,,Noah Taplett,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,09:15,1455,0,3,-3,2,2,3,,,,,,,
22,Redlands,O,LIN,1,,1.0,9.0,1.0,8.0,8.0,Run,Rush,4.0,Connor McNabb,,,,,,,Scott Tinsley,Luke Purcella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:15,1455,0,3,-3,2,2,3,,,,,,,
23,Redlands,O,LIN,1,,1.0,10.0,2.0,4.0,4.0,Pass,Incomplete,0.0,,Wyatt Smith,Incomplete,Joel Valadez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:15,1455,0,3,-3,2,2,3,,,,,,,
24,Redlands,O,LIN,1,,1.0,11.0,3.0,4.0,4.0,Pass,Incomplete,0.0,,Wyatt Smith,Incomplete,Devon Murray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,,,09:15,1455,0,3,-3,2,2,3,holding,RED,Andre Owens,,,,2.0
25,Redlands,,LIN,1,,,,1.0,2.0,2.0,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Redlands,,,,,,,09:15,1455,0,3,-3,2,2,3,,,,,,,
26,Redlands,O,LIN,1,,1.0,12.0,1.0,2.0,2.0,Run,Rush,0.0,Connor McNabb,,,,,,,Noah Widgins,Noah Taplett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:47,1187,0,3,-3,2,2,2,,,,,,,
27,Redlands,O,LIN,1,,1.0,13.0,2.0,2.0,2.0,Run,Rush,2.0,Connor Morton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,04:47,1187,0,3,-3,2,2,2,,,,,,,
28,Redlands,K,LIN,1,,,,1.0,3.0,3.0,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrew Starkel,,,Good,,,,,,,,,04:10,1150,6,3,3,2,2,2,,,,,,,
29,Redlands,K,LIN,1,,,,1.0,-35.0,-35.0,KO,,,,,,,,,,,,,,,,,,,,Andrew Starkel,65.0,0.0,,,,,,,,,,,,,,,,,,,,04:10,1150,7,3,4,2,2,2,,,,,,,
30,Redlands,D,RED,1,,2.0,1.0,0.0,10.0,-25.0,Run,Rush,-1.0,Andrew Kellstro,,,,,,,Brian Pullman,Vinny Niosi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:10,1150,3,7,4,2,2,2,,,,,,,
31,Redlands,D,RED,1,,2.0,2.0,2.0,11.0,-24.0,Run,Rush,0.0,Andrew Kellstro,,,,,,,Vinny Niosi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:10,1150,3,7,4,2,2,2,,,,,,,
32,Redlands,D,RED,1,,2.0,3.0,3.0,11.0,-24.0,Pass,Sack,-5.0,,Nathan Martinez,Sack,,,,,Alex Frazier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,04:10,1150,3,7,4,2,2,2,,,,,,,
33,Redlands,,RED,1,,,,4.0,16.0,-19.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:10,1150,3,7,4,2,2,2,delay of game,RED,,,,,5.0
34,Redlands,K,RED,1,,,,4.0,21.0,-14.0,Punt Ret,,,,,,,,,,,,,,,,,,,,,,,,,Vicente Garcia,42.0,44.0,,,,,,,,,,,,,,,04:10,1150,3,7,4,2,2,2,,,,,,,
35,Redlands,O,LIN,1,,2.0,1.0,0.0,10.0,-44.0,Pass,Complete,5.0,,Wyatt Smith,Complete,Isaac Hoidal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01:55,1015,7,3,4,2,2,2,,,,,,,
36,Redlands,O,LIN,1,,2.0,2.0,2.0,5.0,-49.0,Pass,Incomplete,0.0,,Wyatt Smith,Incomplete,Colton Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01:55,1015,7,3,4,2,2,2,,,,,,,
37,Redlands,O,LIN,1,,2.0,3.0,3.0,5.0,-49.0,Pass,Complete,5.0,,Wyatt Smith,Complete,Isaac Hoidal,,,,Derwin Johnson,Ryan Place,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,01:55,1015,7,3,4,2,2,2,,,,,,,
38,Redlands,O,LIN,1,,2.0,4.0,1.0,10.0,46.0,Run,Rush,5.0,Connor McNabb,,,,,,,Noah Widgins,Scott Tinsley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01:55,1015,7,3,4,2,2,2,,,,,,,
39,Redlands,O,LIN,2,,2.0,5.0,2.0,5.0,41.0,Run,Rush,1.0,Spencer Lee,,,,,,,Noah Taplett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,900,7,3,4,2,2,2,,,,,,,
40,Redlands,,LIN,2,,,,3.0,4.0,40.0,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Linfield,,,,,,,15:00,900,7,3,4,2,2,2,,,,,,,
41,Redlands,O,LIN,2,,2.0,6.0,3.0,4.0,40.0,Pass,Complete,40.0,,Wyatt Smith,Complete,Joel Valadez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,14:13,853,7,3,4,1,1,2,,,,,,,
42,Redlands,K,LIN,2,,,,1.0,3.0,3.0,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrew Starkel,,,Good,,,,,,,,,14:03,843,13,3,10,1,1,2,,,,,,,
43,Redlands,K,LIN,2,,,,1.0,-35.0,-35.0,KO,Return,,,,,,,,,Kanahele-Mone,,,,,,,Williams J,20,27.0,Andrew Starkel,58.0,7.0,Return,,,,,,,,,,,,,,,,,,,14:03,843,14,3,11,1,1,2,,,,,,,
44,Redlands,D,RED,2,,3.0,1.0,0.0,10.0,-27.0,Pass,Complete,1.0,,Nathan Martinez,Complete,Giovanni Isles,,,,Travis Swanson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:58,838,3,14,11,1,2,1,,,,,,,
45,Redlands,D,RED,2,,3.0,2.0,2.0,11.0,-26.0,Pass,Incomplete,0.0,,Nathan Martinez,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:58,838,3,14,11,1,2,1,,,,,,,
46,Redlands,D,RED,2,,3.0,3.0,3.0,11.0,-26.0,Run,Rush,5.0,Myles Herrera,,,,,,,Owen Hand,Agcoili-Ostrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,13:58,838,3,14,11,1,2,1,,,,,,,
47,Redlands,K,RED,2,,,,4.0,6.0,-31.0,Punt Ret,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,,Vicente Garcia,36.0,33.0,Fair Catch,,,,,,,,,,,,,,13:58,838,3,14,11,1,2,1,,,,,,,
48,Redlands,O,LIN,2,,3.0,1.0,0.0,10.0,-33.0,Run,Rush,1.0,Connor Morton,,,,,,,Brandon Serrano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:18,738,14,3,11,1,1,2,,,,,,,
49,Redlands,O,LIN,2,,3.0,2.0,2.0,9.0,-34.0,Pass,Incomplete,0.0,,Wyatt Smith,Incomplete,Colton Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:18,738,14,3,11,1,1,2,,,,,,,
50,Redlands,,LIN,2,,,,3.0,9.0,-34.0,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Linfield,,,,,,,12:18,738,14,3,11,1,1,2,,,,,,,
51,Redlands,O,LIN,2,,3.0,3.0,3.0,9.0,-34.0,Pass,Complete,10.0,,Wyatt Smith,Complete,Connor Morton,,,,Jace Tessaro,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:32,692,14,3,11,0,0,2,,,,,,,
52,Redlands,O,LIN,2,,3.0,4.0,1.0,10.0,-44.0,Run,Rush,2.0,Connor Morton,,,,,,,Joe Bennett,Christopher Tri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:32,692,14,3,11,0,0,2,,,,,,,
53,Redlands,O,LIN,2,,3.0,5.0,2.0,8.0,-46.0,Pass,Complete,15.0,,Wyatt Smith,Complete,Payton Person,,,,Brandon Heinel,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:32,692,14,3,11,0,0,2,,,,,,,
54,Redlands,O,LIN,2,,3.0,6.0,1.0,10.0,39.0,Run,Rush,9.0,Connor Morton,,,,,,,Jace Tessaro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:32,692,14,3,11,0,0,2,,,,,,,
55,Redlands,O,LIN,2,,3.0,7.0,2.0,1.0,30.0,Pass,Incomplete,0.0,,Wyatt Smith,Incomplete,Payton Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:32,692,14,3,11,0,0,2,,,,,,,
56,Redlands,O,LIN,2,,3.0,8.0,3.0,1.0,30.0,Run,Rush,2.0,Connor McNabb,,,,,,,Jacob Harrold,Joe Bennett,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:32,692,14,3,11,0,0,2,,,,,,,
