PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,PASSER PBP,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,North Park,K,MILLIKIN,1,,,,,,,,KO,Return,,,,,,,,,,,,,,,,Harris ,0,14.0,,51.0,14.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,North Park,D,NPU,1,,1.0,1.0,0.0,7.0,-17.0,Coming Out,Pass,Complete,10.0,,,Complete,,,,,Teicher,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:48,1788,0,0,0,3,3,3,,,,,,,
3,North Park,D,NPU,1,,1.0,2.0,1.0,10.0,-27.0,Gold Zone,Run,Rush,1.0,,,,,,,,A. Perkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:48,1788,0,0,0,3,3,3,,,,,,,
4,North Park,D,NPU,1,,1.0,3.0,2.0,9.0,-28.0,Gold Zone,Pass,Complete,7.0,,,Complete,,,,,Lewis,Teicher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:48,1788,0,0,0,3,3,3,,,,,,,
5,North Park,D,NPU,1,,1.0,4.0,3.0,2.0,-35.0,Gold Zone,Run,Rush,1.0,,,,,,,,Harrell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:48,1788,0,0,0,3,3,3,,,,,,,
6,North Park,D,NPU,1,,1.0,5.0,4.0,1.0,-36.0,Gold Zone,Pass,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:48,1788,0,0,0,3,3,3,,,,,,,
7,North Park,D,NPU,1,,1.0,6.0,1.0,10.0,40.0,Go Zone,Run,Rush,2.0,,,,,,,,Q. Miller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:48,1788,0,0,0,3,3,3,,,,,,,
8,North Park,D,NPU,1,,1.0,7.0,2.0,8.0,38.0,Go Zone,Pass,Complete,5.0,,,Complete,,,,,Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:48,1788,0,0,0,3,3,3,,,,,,,
9,North Park,D,NPU,1,,1.0,8.0,3.0,3.0,33.0,Take A Shot,Run,Rush,1.0,,,,,,,,TEAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:48,1788,0,0,0,3,3,3,,,,,,,
10,North Park,D,NPU,1,,1.0,9.0,4.0,2.0,32.0,Take A Shot,Pass,Incomplete,0.0,,,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Downs,14:48,1788,0,0,0,3,3,3,,,,,,,
