PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Trinity (TX),K,MAC,1,,,,,,,KO,Return,,,,,,,,,Brody Fuller,,,,,,,Brian Stewart,28,28.0,Jon Neve,65.0,0.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Trinity (TX),D,TIGERS,1,,1.0,1.0,0.0,10.0,-28.0,Run,Rush,5.0,Winst Hutchison,,,,,,,John Newton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:51,1791,0,0,0,3,3,3,,,,,,,
3,Trinity (TX),D,TIGERS,1,,1.0,2.0,2.0,5.0,-33.0,Pass,Complete,5.0,,,Complete,Austin Bertness,,,,Tim Minot,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:51,1791,0,0,0,3,3,3,,,,,,,
4,Trinity (TX),D,TIGERS,1,,1.0,3.0,1.0,10.0,-38.0,Pass,Incomplete,0.0,,,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:51,1791,0,0,0,3,3,3,,,,,,,
5,Trinity (TX),D,TIGERS,1,,1.0,4.0,2.0,10.0,-38.0,Pass,Complete,6.0,,,Complete,Brian Stewart,,,,Josh Strickler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:51,1791,0,0,0,3,3,3,,,,,,,
6,Trinity (TX),D,TIGERS,1,,1.0,5.0,3.0,4.0,-44.0,Pass,Complete,56.0,,,Complete,Winst Hutchison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,14:51,1791,0,0,0,3,3,3,,,,,,,
7,Trinity (TX),K,TIGERS,1,,,,1.0,3.0,3.0,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P Hensley,,,Good,,,,,,,,,12:45,1665,6,0,-6,3,3,3,,,,,,,
8,Trinity (TX),K,TIGERS,1,,,,1.0,-35.0,-35.0,KO Rec,,,,,,,,,,,,,,,,,,,,Blake Lin,65.0,0.0,,,,,,,,,,,,,,,,,,,,12:45,1665,7,0,-7,3,3,3,,,,,,,
9,Trinity (TX),O,MAC,1,,1.0,1.0,0.0,10.0,-25.0,Pass,Incomplete,0.0,,Nadeau RE,Incomplete,Rex Desso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:45,1665,0,7,-7,3,3,3,,,,,,,
10,Trinity (TX),O,MAC,1,,1.0,2.0,2.0,10.0,-25.0,Pass,Incomplete,0.0,,Nadeau RE,Incomplete,Rex Desso,,,,Campbell Miller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:45,1665,0,7,-7,3,3,3,,,,,,,
11,Trinity (TX),O,MAC,1,,1.0,3.0,3.0,10.0,-25.0,Pass,Complete,12.0,,Nadeau RE,Complete,Rex Desso,,,,Caleb Harmel,Ezra Gore,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,12:45,1665,0,7,-7,3,3,3,,,,,,,
12,Trinity (TX),O,MAC,1,,1.0,4.0,1.0,10.0,-37.0,Pass,Incomplete,0.0,,Nadeau LE,Incomplete,Brody Fuller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:45,1665,0,7,-7,3,3,3,,,,,,,
13,Trinity (TX),O,MAC,1,,1.0,5.0,2.0,10.0,-37.0,Pass,Incomplete,0.0,,Nadeau RE,Incomplete,Peter Vitalis,,,,Ezra Gore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:45,1665,0,7,-7,3,3,3,,,,,,,
14,Trinity (TX),O,MAC,1,,1.0,6.0,3.0,10.0,-37.0,Pass,Incomplete,0.0,,Nadeau middle,Incomplete,Nathan Wu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,12:45,1665,0,7,-7,3,3,3,,,,,,,
15,Trinity (TX),K,MAC,1,,,,4.0,10.0,-37.0,Punt,Return,,,,,,,,,Jon Neve,,,,,,,Chris Stewart,24,44.0,,,,,,Jon Neve,43.0,20.0,Return,,,,,,,,,,,,,,12:45,1665,0,7,-7,3,3,3,,,,,,,
16,Trinity (TX),D,TIGERS,1,,2.0,1.0,0.0,10.0,-44.0,Pass,Complete,8.0,,,Complete,Chris Stewart,,,,Josh Strickler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:34,1594,7,0,-7,3,3,3,,,,,,,
17,Trinity (TX),D,TIGERS,1,,2.0,2.0,2.0,2.0,48.0,Pass,Complete,45.0,,,Complete,Brian Stewart,,,,Pierce Lundt,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:34,1594,7,0,-7,3,3,3,,,,,,,
18,Trinity (TX),D,TIGERS,1,,2.0,3.0,1.0,3.0,3.0,Pass,Complete,3.0,,,Complete,Ryan Merrifield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,11:34,1594,7,0,-7,3,3,3,,,,,,,
19,Trinity (TX),D,TIGERS,1,,2.0,4.0,0.0,3.0,3.0,Pass,Good,,,Tucker Horn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,,,,,,TD,10:52,1552,13,0,-13,3,3,3,,,,,,,
