PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Averett,K,AU,1,,,,,,,KO Ret,Return,,,,,,,,,,,,,,,,Mykel Santos,0,10.0,Will Caviness,55.0,10.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Averett,O,MVC,1,,1.0,1.0,0.0,10.0,-10.0,Pass,Complete,16.0,,Nelson Smith,Complete,Mykel Santos,,,,Namari Borders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Averett,O,MVC,1,,1.0,2.0,1.0,10.0,-26.0,Run,Rush,3.0,Cam Malone,,,,,,,Isaac Mosby,Nicholas Mintz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Averett,O,MVC,1,,1.0,3.0,2.0,7.0,-29.0,Pass,Incomplete,0.0,,Nelson Smith,Incomplete,Mykel Santos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Averett,O,MVC,1,,1.0,4.0,3.0,7.0,-29.0,Pass,Sack,-5.0,,Nelson Smith,Sack,,,,,Tristin Quick,Nicholas Mintz,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,15:00,1800,0,0,0,3,3,3,personal foul,AU,Nicholas Mintz,,,,20.0
6,Averett,O,MVC,1,,1.0,5.0,1.0,10.0,-49.0,Pass,Complete,11.0,,Nelson Smith,Complete,Andrew Gentry,,,,D. Neufville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,Averett,O,MVC,1,,1.0,6.0,1.0,10.0,40.0,Pass,Complete,22.0,,Nelson Smith,Complete,Sean Carter,,,,David Payne,Namari Borders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
8,Averett,O,MVC,1,,1.0,7.0,1.0,10.0,18.0,Pass,Incomplete,0.0,,Nelson Smith,Incomplete,Mykel Santos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
9,Averett,O,MVC,1,,1.0,8.0,2.0,10.0,18.0,Pass,Complete,18.0,,Nelson Smith,Complete,Mykel Santos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,15:00,1800,0,0,0,3,3,3,,,,,,,
10,Averett,K,MVC,1,,,,1.0,3.0,3.0,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Connor Rutledge,,,Good,,,,,,,,,11:30,1590,6,0,6,3,3,3,,,,,,,
11,Averett,K,MVC,1,,,,1.0,10.0,-35.0,KO,Return,,,,,,,,,Keenan Toomer,Nico Starcher,,,,,,Chase Nixon,9,36.0,Connor Rutledge,38.0,27.0,Return,,,,,,,,,,,,,,,,,,,11:30,1590,7,0,7,3,3,3,,,,,,,
12,Averett,D,AU,1,,1.0,1.0,0.0,10.0,-36.0,Run,Rush,10.0,Rodney Scott,,,,,,,Haydn Tanner,Grant Agnew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:30,1590,0,7,7,3,3,3,,,,,,,
13,Averett,D,AU,1,,1.0,2.0,1.0,10.0,-46.0,Pass,Complete,8.0,,Bryce Jackson,Complete,Rodney Scott,,,,Colby Manis,Bo Hering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:30,1590,0,7,7,3,3,3,,,,,,,
14,Averett,D,AU,1,,1.0,3.0,1.0,10.0,46.0,Pass,Incomplete,0.0,,Bryce Jackson,Incomplete,Nick Andrews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:30,1590,0,7,7,3,3,3,,,,,,,
15,Averett,D,AU,1,,1.0,4.0,2.0,10.0,46.0,Pass,Complete,46.0,,Bryce Jackson,Complete,Jarrod Mosby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,11:30,1590,0,7,7,3,3,3,encroachment,MVC,,,,,
16,Averett,K,AU,1,,,,1.0,3.0,3.0,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Will Caviness,,,Good,,,,,,,,,10:12,1512,6,7,1,3,3,3,,,,,,,
17,Averett,K,AU,1,,,,1.0,10.0,-35.0,KO Ret,Return,,,,,,,,,Seth Harden,,,,,,,Connor Chandler,43,47.0,Will Caviness,61.0,4.0,Return,,,,,,,,,,,,,,,,,,,10:12,1512,7,7,0,3,3,3,,,,,,,
18,Averett,O,MVC,1,,2.0,1.0,0.0,10.0,-47.0,Run,Rush,17.0,Sean Carter,,,,,,,Nicholas Mintz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:12,1512,7,7,0,3,3,3,,,,,,,
19,Averett,O,MVC,1,,2.0,2.0,1.0,10.0,36.0,Run,Rush,6.0,Cam Malone,,,,,,,Terrell England,Xavier Aguilar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:12,1512,7,7,0,3,3,3,,,,,,,
20,Averett,O,MVC,1,,2.0,3.0,2.0,4.0,30.0,Run,Rush,-4.0,Nelson Smith,,,,,,,,,True,Nelson Smith,,MVC,Nelson Smith,,,,,,,,,,,,,,,,,,,,,,,,,,10:12,1512,7,7,0,3,3,3,,,,,,,
21,Averett,O,MVC,1,,2.0,4.0,3.0,5.0,31.0,Run,Rush,19.0,Cam Malone,,,,,,,Isaac Mosby,Tristin Quick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:12,1512,7,7,0,3,3,3,,,,,,,
22,Averett,,MVC,1,,,,1.0,10.0,12.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:12,1512,7,7,0,3,3,3,false start,MVC,Eli Preswood,,,,5.0
23,Averett,O,MVC,1,,2.0,5.0,1.0,15.0,17.0,Run,Rush,-2.0,Sean Carter,,,,,,,Xavier Aguilar,Tristin Quick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:12,1512,7,7,0,3,3,3,,,,,,,
24,Averett,O,MVC,1,,2.0,6.0,2.0,17.0,19.0,Pass,Complete,8.0,,Nelson Smith,Complete,Mykel Santos,,,,Terrell England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:12,1512,7,7,0,3,3,3,,,,,,,
25,Averett,O,MVC,1,,2.0,7.0,3.0,9.0,11.0,Pass,Complete,2.0,,Nelson Smith,Complete,Danner Hill,,,,C. Showalter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FG,10:12,1512,7,7,0,3,3,3,,,,,,,
26,Averett,K,MVC,1,,,,4.0,7.0,9.0,FG,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Connor Rutledge,26.0,Good,,,,,,,,,,10:12,1512,7,7,0,3,3,3,,,,,,,
27,Averett,K,MVC,1,,,,1.0,10.0,-35.0,KO,Return,,,,,,,,,Brock Skelton,Keenan Toomer,,,,,,Chase Nixon,12,31.0,Connor Rutledge,46.0,19.0,Return,,,,,,,,,,,,,,,,,,,05:24,1224,10,7,3,3,3,3,,,,,,,
28,Averett,D,AU,1,,2.0,1.0,0.0,10.0,-31.0,Run,Rush,4.0,Bailey Boaen,,,,,,,Colby Manis,Grant Agnew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:24,1224,7,10,3,3,3,3,,,,,,,
29,Averett,D,AU,1,,2.0,2.0,2.0,6.0,-35.0,Run,Rush,0.0,Bailey Boaen,,,,,,,Bo Hering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:24,1224,7,10,3,3,3,3,,,,,,,
30,Averett,D,AU,1,,2.0,3.0,3.0,6.0,-35.0,Pass,Complete,65.0,,Bryce Jackson,Complete,Jarrod Mosby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,05:24,1224,7,10,3,3,3,3,,,,,,,
