PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Mass.-Dartmouth,K,MMA,1,,,,,,,KO,Return,,,,,,,,,Hugh Wells,,,,,,,,24,38.0,Marco Ross-Parent,51.0,14.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Mass.-Dartmouth,D,UMD,1,,1.0,1.0,0.0,10.0,-38.0,Pass,Complete,9.0,,pass complete,Complete,Keenan for Little,,,,Mack Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:52,1792,0,0,0,3,3,3,,,,,,,
3,Mass.-Dartmouth,D,UMD,1,,1.0,2.0,2.0,1.0,-47.0,Run,Rush,-1.0,Dante rush Aviles-Santos,,,,,,,,,True,Dante at Aviles-Santos,,UMD,Dante at Aviles-Santos,,,,,,,,,,,,,,,,,,,,,,,,,,14:52,1792,0,0,0,3,3,3,,,,,,,
4,Mass.-Dartmouth,D,UMD,1,,1.0,3.0,3.0,2.0,-46.0,Run,Rush,-1.0,Luis rush Gonzalez,,,,,,,Thomas Garland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:52,1792,0,0,0,3,3,3,,,,,,,
5,Mass.-Dartmouth,K,UMD,1,,,,4.0,3.0,-45.0,Punt Ret,,,,,,,,,,,,,,,,,,,,,,,,,Matt punt Gacioch,27.0,28.0,,,,,,,,,,,,,,,14:52,1792,0,0,0,3,3,3,,,,,,,
6,Mass.-Dartmouth,O,MMA,1,,1.0,1.0,0.0,10.0,-28.0,Run,Rush,2.0,Kobe Copeland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:10,1690,0,0,0,3,3,3,,,,,,,
7,Mass.-Dartmouth,O,MMA,1,,1.0,2.0,2.0,8.0,-30.0,Run,Rush,-3.0,Kobe Copeland,,,,,,,Sam Alicea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:10,1690,0,0,0,3,3,3,,,,,,,
8,Mass.-Dartmouth,O,MMA,1,,1.0,3.0,3.0,11.0,-27.0,Run,Rush,5.0,Kobe Copeland,,,,,,,JP Mason,Stephen Kolodko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,13:10,1690,0,0,0,3,3,3,,,,,,,
9,Mass.-Dartmouth,K,MMA,1,,,,4.0,6.0,-32.0,Punt,Return,,,,,,,,,Max Moitoso,,,,,,,,13,38.0,,,,,,George Lampros,43.0,25.0,Return,,,,,,,,,,,,,,13:10,1690,0,0,0,3,3,3,,,,,,,
10,Mass.-Dartmouth,D,UMD,1,,2.0,1.0,0.0,10.0,-38.0,Run,Rush,1.0,Luis rush Gonzalez,,,,,,,Hugh Wells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:24,1584,0,0,0,3,3,3,,,,,,,
11,Mass.-Dartmouth,D,UMD,1,,2.0,2.0,2.0,9.0,-39.0,Pass,Complete,14.0,,Dante pass Aviles-Santos,Complete,Luis for Gonzalez,,,,Kyle Rogers,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:24,1584,0,0,0,3,3,3,,,,,,,
12,Mass.-Dartmouth,D,UMD,1,,2.0,3.0,1.0,10.0,47.0,Run,Rush,6.0,Luis rush Gonzalez,,,,,,,Keven Paul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:24,1584,0,0,0,3,3,3,,,,,,,
13,Mass.-Dartmouth,D,UMD,1,,2.0,4.0,2.0,4.0,41.0,Run,Rush,6.0,Luis rush Gonzalez,,,,,,,Chris O'Brien,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:24,1584,0,0,0,3,3,3,,,,,,,
14,Mass.-Dartmouth,D,UMD,1,,2.0,5.0,1.0,10.0,35.0,Run,Rush,0.0,Douglas rush Machado,,,,,,,Thomas Garland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:24,1584,0,0,0,3,3,3,,,,,,,
15,Mass.-Dartmouth,D,UMD,1,,2.0,6.0,2.0,10.0,35.0,Pass,Complete,8.0,,Dante pass Aviles-Santos,Complete,Luis for Gonzalez,,,,Thomas Garland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:24,1584,0,0,0,3,3,3,,,,,,,
16,Mass.-Dartmouth,D,UMD,1,,2.0,7.0,3.0,2.0,27.0,Pass,Incomplete,0.0,,Dante pass Aviles-Santos,Incomplete,Keenan broken Little,Andrew Longwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:24,1584,0,0,0,3,3,3,Offside,MMA,,,,,5.0
17,Mass.-Dartmouth,D,UMD,1,,2.0,8.0,1.0,10.0,22.0,Pass,Complete,7.0,,Dante pass Aviles-Santos,Complete,Marvens for Jean,,,,Keven Paul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:24,1584,0,0,0,3,3,3,,,,,,,
18,Mass.-Dartmouth,D,UMD,1,,2.0,9.0,2.0,3.0,15.0,Pass,Incomplete,0.0,,Dante pass Aviles-Santos,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:24,1584,0,0,0,3,3,3,,,,,,,
