PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Austin College,K,McM,1,,,,,,,KO,Return,,,,,,,,,Dozier,Jacorian Colbert,,,,,,Kaden Bess,24,25.0,Jared Mendoza,64.0,1.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Austin College,D,AST,1,,1.0,1.0,0.0,10.0,-25.0,Run,Rush,9.0,Tyler James,,,,,,,Coryell Fillmore,Josh Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:51,1791,0,0,0,3,3,3,,,,,,,
3,Austin College,D,AST,1,,1.0,2.0,2.0,1.0,-34.0,Run,Rush,10.0,Tyler James,,,,,,,Brenden Torrence,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:51,1791,0,0,0,3,3,3,,,,,,,15.0
4,Austin College,D,AST,1,,1.0,3.0,1.0,10.0,41.0,Run,Rush,2.0,Devon Rideaux,,,,,,,Cooper Conn,Devin Nixon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:51,1791,0,0,0,3,3,3,,,,,,,
5,Austin College,D,AST,1,,1.0,4.0,2.0,8.0,39.0,Pass,Incomplete,0.0,,Tyler James,Incomplete,Aaron Rideaux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:51,1791,0,0,0,3,3,3,,,,,,,
6,Austin College,D,AST,1,,1.0,5.0,3.0,8.0,39.0,Pass,Incomplete,0.0,,Tyler James,Incomplete,Colin Mushinski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:51,1791,0,0,0,3,3,3,,,,,,,
7,Austin College,K,AST,1,,,,4.0,8.0,39.0,Punt Ret,Touchback,,,,,,,,,,,,,,,,,,,,,,,,Tyler James,39.0,0.0,Touchback,,,,,,,,,,,,,,14:51,1791,0,0,0,3,3,3,,,,,,,
8,Austin College,,McM,1,,,,1.0,10.0,20.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:55,1675,0,0,0,3,3,3,,,,,,,5.0
9,Austin College,O,McM,1,,1.0,1.0,0.0,15.0,15.0,Run,Rush,2.0,Kameron Session,,,,,,,Rylan Ritch,Kareem Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:55,1675,0,0,0,3,3,3,,,,,,,
10,Austin College,O,McM,1,,1.0,2.0,2.0,13.0,17.0,Run,Rush,1.0,Dexter Wyble,,,,,,,Rylan Ritch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:55,1675,0,0,0,3,3,3,,,,,,,
11,Austin College,O,McM,1,,1.0,3.0,3.0,12.0,18.0,Run,Rush,18.0,Dexter Wyble,,,,,,,Jarrett Pleasant,Texas Gordon,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,12:55,1675,0,0,0,3,3,3,,,,,,,
12,Austin College,O,McM,1,,1.0,4.0,1.0,10.0,36.0,Run,Rush,4.0,Kameron Session,,,,,,,Max Walstad,Kareem Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:55,1675,0,0,0,3,3,3,,,,,,,
13,Austin College,O,McM,1,,1.0,5.0,2.0,6.0,40.0,Pass,Incomplete,0.0,,Dexter Wyble,Incomplete,Zachary Wood,Jarrett Pleasant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:55,1675,0,0,0,3,3,3,,,,,,,
14,Austin College,O,McM,1,,1.0,6.0,3.0,6.0,40.0,Pass,Complete,60.0,,Dexter Wyble,Complete,Xavier Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,,12:55,1675,0,0,0,3,3,3,,,,,,,
15,Austin College,,McM,1,,,,3.0,6.0,40.0,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Austin College,,,,,,,10:31,1531,6,0,6,3,3,3,,,,,,,
16,Austin College,O,McM,1,,1.0,7.0,0.0,3.0,3.0,Pass,Good,,,Kristopher Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,,,,,,TD,10:31,1531,6,0,6,3,3,2,,,,,,,
17,Austin College,K,McM,1,,,,1.0,10.0,35.0,KO,Return,,,,,,,,,Jared Mendoza,,,,,,,Kaden Bess,54,45.0,Jared Mendoza,64.0,1.0,Return,,,,,,,,,,,,,,,,,,,10:31,1531,8,0,8,3,3,2,,,,,,,
18,Austin College,,AST,1,,,,1.0,10.0,45.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:19,1519,0,8,8,3,2,3,Delay Of Game,AST,Tyler James,,,,5.0
19,Austin College,D,AST,1,,2.0,1.0,0.0,15.0,50.0,Run,Rush,1.0,Josh Lockhart,,,,,,,Xavier Nuells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:19,1519,0,8,8,3,2,3,,,,,,,
20,Austin College,D,AST,1,,2.0,2.0,2.0,14.0,49.0,Pass,Complete,8.0,,Tyler James,Complete,Maurice Reed,,,,Ke'Shaun Jnofinn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:19,1519,0,8,8,3,2,3,,,,,,,
21,Austin College,D,AST,1,,2.0,3.0,3.0,6.0,41.0,Run,Rush,-1.0,Tyler James,,,,,,,Devin Nixon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,10:19,1519,0,8,8,3,2,3,,,,,,,
22,Austin College,K,AST,1,,,,4.0,7.0,42.0,Punt Ret,Touchback,,,,,,,,,,,,,,,,,,,,,,,,Tyler James,42.0,0.0,Touchback,,,,,,,,,,,,,,10:19,1519,0,8,8,3,2,3,,,,,,,
23,Austin College,O,McM,1,,2.0,1.0,0.0,10.0,20.0,Run,Rush,5.0,Kameron Session,,,,,,,Kareem Campbell,Talon Ridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:16,1396,8,0,8,3,3,2,,,,,,,
24,Austin College,O,McM,1,,2.0,2.0,2.0,5.0,25.0,Run,Rush,6.0,Kameron Session,,,,,,,Grady Harper,Hunter Fulton,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,08:16,1396,8,0,8,3,3,2,,,,,,,
25,Austin College,O,McM,1,,2.0,3.0,1.0,10.0,31.0,Run,Rush,5.0,Kameron Session,,,,,,,Grady Harper,Talon Ridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:16,1396,8,0,8,3,3,2,,,,,,,
26,Austin College,O,McM,1,,2.0,4.0,2.0,5.0,36.0,Pass,Incomplete,0.0,,Dexter Wyble,Incomplete,Zachary Wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:16,1396,8,0,8,3,3,2,,,,,,,
27,Austin College,O,McM,1,,2.0,5.0,3.0,5.0,36.0,Pass,Complete,7.0,,Dexter Wyble,Complete,Dee Robinson,,,,Kareem Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,08:16,1396,8,0,8,3,3,2,,,,,,,
28,Austin College,O,McM,1,,2.0,6.0,1.0,10.0,43.0,Pass,Complete,16.0,,Dexter Wyble,Complete,Xavier Williams,,,,Grady Harper,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,08:16,1396,8,0,8,3,3,2,,,,,,,
29,Austin College,O,McM,1,,2.0,7.0,1.0,10.0,41.0,Run,Rush,2.0,Dee Robinson,,,,,,,Rylan Ritch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:16,1396,8,0,8,3,3,2,,,,,,,
30,Austin College,O,McM,1,,2.0,8.0,2.0,8.0,39.0,Pass,Incomplete,0.0,,Dexter Wyble,Incomplete,Jermond Lovely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:16,1396,8,0,8,3,3,2,,,,,,,
31,Austin College,O,McM,1,,2.0,9.0,3.0,8.0,39.0,Pass,Sack,-2.0,,Dexter Wyble,Sack,,,,,Colton Gerken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:16,1396,8,0,8,3,3,2,,,,,,,
32,Austin College,O,McM,1,,2.0,10.0,4.0,10.0,41.0,Pass,Incomplete,0.0,,Dexter Wyble,Incomplete,Jermond Lovely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Downs,08:16,1396,8,0,8,3,3,2,,,,,,,
33,Austin College,D,AST,1,,3.0,1.0,0.0,10.0,-41.0,Pass,Complete,13.0,,Tyler James,Complete,Traelyn Marsh,,,,Timothy Leatherman,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,04:42,1182,0,8,8,3,2,3,,,,,,,
34,Austin College,D,AST,1,,3.0,2.0,1.0,10.0,46.0,Run,Rush,11.0,Devon Rideaux,,,,,,,Ke'Shaun Jnofinn,Coryell Fillmore,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,04:42,1182,0,8,8,3,2,3,,,,,,,
35,Austin College,D,AST,1,,3.0,3.0,1.0,10.0,35.0,Pass,Interception,0.0,,Tyler James,Interception,,,Xavier Gayle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Interception,04:42,1182,0,8,8,3,2,3,,,,,,,
36,Austin College,O,McM,1,,3.0,1.0,0.0,10.0,30.0,Run,Rush,28.0,Dee Robinson,,,,,,,Nicholas Richard,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,03:46,1126,8,0,8,3,3,2,,,,,,,
37,Austin College,O,McM,1,,3.0,2.0,1.0,10.0,42.0,Run,Rush,0.0,Dee Robinson,,,,,,,Nolan Frith,Nicholas Richard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:46,1126,8,0,8,3,3,2,,,,,,,
38,Austin College,O,McM,1,,3.0,3.0,2.0,10.0,42.0,Run,Rush,5.0,Kameron Session,,,,,,,Hunter Fulton,Brady Dygert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:46,1126,8,0,8,3,3,2,,,,,,,
39,Austin College,O,McM,1,,3.0,4.0,3.0,5.0,37.0,Run,Rush,6.0,Kameron Session,,,,,,,Malik Blake,Nicholas Richard,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,03:46,1126,8,0,8,3,3,2,,,,,,,
40,Austin College,O,McM,1,,3.0,5.0,1.0,10.0,31.0,Pass,Complete,31.0,,Dexter Wyble,Complete,Kristopher Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,,03:46,1126,8,0,8,3,3,2,,,,,,,
41,Austin College,O,McM,1,,3.0,6.0,0.0,3.0,3.0,Run,Good,,Dexter Wyble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,,,,,,TD,01:54,1014,14,0,14,3,3,2,,,,,,,
42,Austin College,K,McM,1,,,,1.0,10.0,35.0,KO,Return,,,,,,,,,Zachary Lambert,Christian Sanchez,,,,,,Kaden Bess,10,13.0,Jared Mendoza,62.0,3.0,Return,,,,,,,,,,,,,,,,,,,01:54,1014,16,0,16,3,3,2,,,,,,,
43,Austin College,D,AST,1,,4.0,1.0,0.0,10.0,-13.0,Run,Rush,7.0,Tyler James,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,01:46,1006,0,16,16,3,2,3,Holding,AST,Jacob Hanes,,,,6.0
44,Austin College,,AST,1,,,,1.0,10.0,-13.0,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Austin College,,,,,,,01:46,1006,0,16,16,3,2,3,,,,,,,
45,Austin College,D,AST,1,,4.0,2.0,1.0,16.0,-7.0,Run,Rush,1.0,Aaron Rideaux,,,,,,,Cahlyl Rossin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01:26,986,0,16,16,3,1,3,,,,,,,
46,Austin College,D,AST,1,,4.0,3.0,2.0,15.0,-8.0,Run,Rush,-1.0,Maurice Reed,,,,,,,Xavier Gayle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01:26,986,0,16,16,3,1,3,Holding,AST,,,,,
47,Austin College,D,AST,1,,4.0,4.0,3.0,16.0,-7.0,Pass,Complete,9.0,,Tyler James,Complete,Maurice Reed,,,,Cahlyl Rossin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01:26,986,0,16,16,3,1,3,,,,,,,
48,Austin College,K,AST,2,,,,4.0,7.0,-16.0,Punt Ret,Return,,,,,,,,,,,,,,,,Darrin Boston,63,0.0,,,,,,Tyler James,47.0,37.0,Return,,,,,,,,,True,,,,,15:00,900,0,16,16,3,1,3,,,,,,,
49,Austin College,O,McM,2,,4.0,1.0,0.0,3.0,3.0,Pass,Good,,,Kristopher Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,,,,,,TD,14:44,884,22,0,22,3,3,1,,,,,,,
50,Austin College,K,McM,2,,,,1.0,10.0,35.0,KO,Out of bounds,,,,,,,,,,,,,,,,,,,Jared Mendoza,55.0,10.0,Out of bounds,,,,,,,,,,,,,,,,,,,14:44,884,24,0,24,3,3,1,,,,,,,
51,Austin College,D,AST,2,,5.0,1.0,0.0,10.0,-35.0,Run,Rush,6.0,Devon Rideaux,,,,,,,Josh Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:44,884,0,24,24,3,1,3,,,,,,,
52,Austin College,D,AST,2,,5.0,2.0,2.0,4.0,-41.0,Run,Rush,5.0,Maurice Reed,,,,,,,Josh Smith,Devin Nixon,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:44,884,0,24,24,3,1,3,,,,,,,
53,Austin College,D,AST,2,,5.0,3.0,1.0,10.0,-46.0,Run,Rush,1.0,Maurice Reed,,,,,,,Devin Nixon,Devlin Offutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:44,884,0,24,24,3,1,3,,,,,,,
54,Austin College,D,AST,2,,5.0,4.0,2.0,9.0,-47.0,Run,Rush,12.0,Tyler James,,,,,,,Coryell Fillmore,Christopher Baker,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:44,884,0,24,24,3,1,3,,,,,,,
55,Austin College,,AST,2,,,,1.0,10.0,41.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:44,884,0,24,24,3,1,3,False Start,AST,Akira Mierez,,,,5.0
56,Austin College,D,AST,2,,5.0,5.0,1.0,15.0,46.0,Run,Rush,6.0,Tyler James,,,,,,,Cooper Conn,Coryell Fillmore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:44,884,0,24,24,3,1,3,,,,,,,
57,Austin College,D,AST,2,,5.0,6.0,2.0,9.0,40.0,Pass,Incomplete,0.0,,Tyler James,Incomplete,Xavier Maxwell,Cahlyl Rossin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:44,884,0,24,24,3,1,3,,,,,,,
58,Austin College,D,AST,2,,5.0,7.0,3.0,9.0,40.0,Pass,Sack,-6.0,,Tyler James,Sack,,,,,Kane Strohman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:44,884,0,24,24,3,1,3,,,,,,,
59,Austin College,K,AST,2,,,,4.0,15.0,46.0,Punt Ret,,,,,,,,,,,,,,,,,,,,,,,,,Tyler James,34.0,12.0,,,,,,,,,,,,,,,14:44,884,0,24,24,3,1,3,,,,,,,
60,Austin College,O,McM,2,,5.0,1.0,0.0,10.0,12.0,Pass,Incomplete,0.0,,Dexter Wyble,Incomplete,Jermond Lovely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:54,654,24,0,24,3,3,1,,,,,,,
61,Austin College,O,McM,2,,5.0,2.0,2.0,10.0,12.0,Pass,Complete,8.0,,Dexter Wyble,Complete,Karmelus Card,,,,Richard Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:54,654,24,0,24,3,3,1,,,,,,,
62,Austin College,O,McM,2,,5.0,3.0,3.0,2.0,20.0,Run,Rush,6.0,Kameron Session,,,,,,,Richard Johnson,Brady Dygert,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,10:54,654,24,0,24,3,3,1,,,,,,,
63,Austin College,O,McM,2,,5.0,4.0,1.0,10.0,26.0,Run,Rush,5.0,Kameron Session,,,,,,,Brady Dygert,Jaxon Reneau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:54,654,24,0,24,3,3,1,,,,,,,
64,Austin College,O,McM,2,,5.0,5.0,2.0,5.0,31.0,Pass,Incomplete,0.0,,Dexter Wyble,Incomplete,Jermond Lovely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:54,654,24,0,24,3,3,1,,,,,,,
65,Austin College,O,McM,2,,5.0,6.0,3.0,5.0,31.0,Pass,Incomplete,0.0,,Dexter Wyble,Incomplete,Kristopher Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,10:54,654,24,0,24,3,3,1,,,,,,,
66,Austin College,K,McM,2,,,,4.0,5.0,31.0,Punt,,,,,,,,,,,,,,,,,,,,,,,,,Jared Mendoza,23.0,46.0,,,,,,,,,,,,,,,10:54,654,24,0,24,3,3,1,,,,,,,
67,Austin College,D,AST,2,,6.0,1.0,0.0,10.0,-46.0,Run,Rush,4.0,Devon Rideaux,,,,,,,,,True,Devon Rideaux,,AST,Jason Miao,,,-49.0,,,,,,,,,,,,,,,,,,,,,,,09:23,563,0,24,24,3,1,3,,,,,,,
68,Austin College,D,AST,2,,6.0,2.0,2.0,6.0,-50.0,Pass,Complete,1.0,,Tyler James,Complete,Aaron Rideaux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:23,563,0,24,24,3,1,3,,,,,,,
69,Austin College,D,AST,2,,6.0,3.0,3.0,5.0,49.0,Pass,Complete,4.0,,Tyler James,Complete,Bo Garner,,,,Cooper Conn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,09:23,563,0,24,24,3,1,3,,,,,,,
70,Austin College,K,AST,2,,,,4.0,1.0,45.0,Punt Ret,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,,,36.0,9.0,Fair Catch,,,,,,,,,,,,,,09:23,563,0,24,24,3,1,3,,,,,,,
71,Austin College,O,McM,2,,6.0,1.0,0.0,10.0,9.0,Run,Rush,0.0,Aeneaus Gray,,,,,,,Hunter Fulton,Colton Gerken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:31,451,24,0,24,3,3,1,,,,,,,
72,Austin College,O,McM,2,,6.0,2.0,2.0,10.0,9.0,Pass,Incomplete,0.0,,Dexter Wyble,Incomplete,Kristopher Martin,Richard Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,,,07:31,451,24,0,24,3,3,1,Roughing The Passer,AST,,,,,15.0
73,Austin College,O,McM,2,,6.0,3.0,1.0,10.0,24.0,Run,Rush,4.0,Aeneaus Gray,,,,,,,Sam Yanelli,Agave Flores,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,07:31,451,24,0,24,3,3,1,Personal Foul,AST,Colton Gerken,,,,15.0
74,Austin College,O,McM,2,,6.0,4.0,1.0,10.0,43.0,Pass,Incomplete,0.0,,Dexter Wyble,Incomplete,Kristopher Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:31,451,24,0,24,3,3,1,,,,,,,
75,Austin College,O,McM,2,,6.0,5.0,2.0,10.0,43.0,Pass,Complete,0.0,,Dexter Wyble,Complete,Dee Robinson,,,,Jarius Williams,Nick Chevalier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:31,451,24,0,24,3,3,1,,,,,,,
76,Austin College,O,McM,2,,6.0,6.0,3.0,10.0,43.0,Pass,Incomplete,0.0,,Dexter Wyble,Incomplete,Karmelus Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,07:31,451,24,0,24,3,3,1,,,,,,,
77,Austin College,K,McM,2,,,,4.0,10.0,43.0,Punt,,,,,,,,,,,,,,,,,,,,,,,,,Jared Mendoza,28.0,29.0,,,,,,,,,,,,,,,07:31,451,24,0,24,3,3,1,,,,,,,
78,Austin College,D,AST,2,,7.0,1.0,0.0,10.0,-29.0,Pass,Incomplete,0.0,,Tyler James,Incomplete,Maurice Reed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:40,340,0,24,24,3,1,3,,,,,,,
79,Austin College,D,AST,2,,7.0,2.0,2.0,10.0,-29.0,Run,Rush,4.0,Josh Lockhart,,,,,,,Josh Smith,Micheas Garibaldi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:40,340,0,24,24,3,1,3,,,,,,,
80,Austin College,,AST,2,,,,2.0,10.0,-29.0,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Austin College,,,,,,,05:40,340,0,24,24,3,1,3,,,,,,,
81,Austin College,D,AST,2,,7.0,3.0,3.0,6.0,-33.0,Pass,Interception,0.0,,Tyler James,Interception,,,Xavier Gayle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Interception,04:50,290,0,24,24,3,0,3,,,,,,,
82,Austin College,O,McM,2,,7.0,1.0,0.0,10.0,40.0,Run,Rush,3.0,Dee Robinson,,,,,,,Grady Harper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:42,282,24,0,24,3,3,0,,,,,,,
83,Austin College,O,McM,2,,7.0,2.0,2.0,7.0,37.0,Run,Rush,5.0,Dee Robinson,,,,,,,Nolan Frith,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,04:42,282,24,0,24,3,3,0,Offside,AST,Jadon Singleton,,,,5.0
84,Austin College,O,McM,2,,7.0,3.0,2.0,2.0,32.0,Run,Rush,19.0,Dee Robinson,,,,,,,Sean Verdun,Jadon Singleton,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,04:42,282,24,0,24,3,3,0,,,,,,,
85,Austin College,O,McM,2,,7.0,4.0,1.0,10.0,13.0,Pass,Complete,13.0,,Dexter Wyble,Complete,Jermond Lovely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,04:42,282,24,0,24,3,3,0,,,,,,,
86,Austin College,K,McM,2,,,,1.0,3.0,3.0,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jared Mendoza,,,Good,,,,,,,,,03:29,209,30,0,30,3,3,0,,,,,,,
87,Austin College,K,McM,2,,,,1.0,10.0,35.0,KO,Return,,,,,,,,,Christian Morales,,,,,,,Tiger Dietz,18,38.0,Jared Mendoza,45.0,20.0,Return,,,,,,,,,,,,,,,,,,,03:29,209,31,0,31,3,3,0,,,,,,,
88,Austin College,D,AST,2,,8.0,1.0,0.0,10.0,-38.0,Pass,Complete,62.0,,Tyler James,Complete,Colin Mushinski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,03:23,203,0,31,31,3,0,3,,,,,,,
89,Austin College,K,AST,2,,,,1.0,3.0,3.0,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,John Aldridge,,,Good,,,,,,,,,03:13,193,6,31,25,3,0,3,,,,,,,
90,Austin College,K,AST,2,,,,1.0,10.0,-35.0,KO Ret,Return,,,,,,,,,,,,,,,,Chris Oliver,21,24.0,John Aldridge,62.0,3.0,Return,,,,,,,,,,,,,,,,,,,03:13,193,7,31,24,3,0,3,,,,,,,
91,Austin College,O,McM,2,,8.0,1.0,0.0,10.0,24.0,Run,Rush,6.0,Dexter Wyble,,,,,,,Richard Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:04,184,31,7,24,3,3,0,,,,,,,
92,Austin College,O,McM,2,,8.0,2.0,2.0,4.0,30.0,Run,Rush,3.0,Aeneaus Gray,,,,,,,Talon Ridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:04,184,31,7,24,3,3,0,,,,,,,
93,Austin College,O,McM,2,,8.0,3.0,3.0,1.0,33.0,Run,Rush,12.0,Aeneaus Gray,,,,,,,Richard Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,03:04,184,31,7,24,3,3,0,,,,,,,
