PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Wesleyan,K,MID,1,,,,,,,KO,,,,,,,,,,,,,,,,,,,,Zach Levy,60.0,0.0,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Wesleyan,D,WES,1,,1.0,1.0,0.0,10.0,-25.0,Run,Rush,4.0,,Charlie McPhee,,,,,,Jack Pistorius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Wesleyan,D,WES,1,,1.0,2.0,2.0,6.0,-29.0,Run,Rush,12.0,,Charlie McPhee,,,,,,C. Roselle,Nate Stewart,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Wesleyan,D,WES,1,,1.0,3.0,1.0,10.0,-41.0,Pass,Incomplete,0.0,,David Estevez,Incomplete,Luis Sanchez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Wesleyan,D,WES,1,,1.0,4.0,2.0,10.0,-41.0,Run,Rush,8.0,,Charlie McPhee,,,,,,Nate Stewart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Wesleyan,D,WES,1,,1.0,5.0,3.0,2.0,-49.0,Run,Rush,8.0,,Charlie McPhee,,,,,,Nate Stewart,Kiera Sheridan,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,Wesleyan,D,WES,1,,1.0,6.0,1.0,10.0,43.0,Pass,Incomplete,0.0,,David Estevez,Incomplete,Logan Tomlinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,ineligible downfield on pass,WES,,,,,
8,Wesleyan,D,WES,1,,1.0,7.0,2.0,10.0,43.0,Pass,Complete,14.0,,David Estevez,Complete,Zyaire Sterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
9,Wesleyan,D,WES,1,,1.0,8.0,1.0,10.0,29.0,Pass,Incomplete,0.0,,David Estevez,Incomplete,M. Luttenberger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
10,Wesleyan,D,WES,1,,1.0,9.0,2.0,10.0,29.0,Pass,Complete,10.0,,David Estevez,Complete,Logan Tomlinson,,,,Nate Stewart,Gordon Pollock,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
