PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Hamline University,K,UMM,1,,,,,,,KO,Return,,,,,,,,,Ryan Bouley,,,,,,,Caleb Lueders,20,27.0,Alex Happ,58.0,7.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Hamline University,D,HU,1,,1.0,1.0,0.0,10.0,-27.0,Run,Rush,12.0,Nikol Rocafort,,,,,,,Gavin Paulson,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Hamline University,D,HU,1,,1.0,2.0,1.0,10.0,-39.0,Pass,Incomplete,0.0,,Connor Leavens,Incomplete,Rya Lauterbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,15:00,1800,0,0,0,3,3,3,offside,UMM,,,,,5.0
4,Hamline University,D,HU,1,,1.0,3.0,1.0,5.0,-44.0,Pass,Sack,-1.0,,Connor Leavens,Sack,,,,,C. Wattenhofer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Hamline University,D,HU,1,,1.0,4.0,2.0,6.0,-43.0,Run,Rush,4.0,Alec Ralph,,,,,,,D. Donalson,Hunter Infanger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Hamline University,D,HU,1,,1.0,5.0,3.0,2.0,-47.0,Pass,Complete,8.0,,Connor Leavens,Complete,Moses Nelson,,,,Hunter Infanger,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,Hamline University,D,HU,1,,1.0,6.0,1.0,10.0,45.0,Pass,Complete,7.0,,Connor Leavens,Complete,Reece Thomas,,,,D. Donalson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
8,Hamline University,D,HU,1,,1.0,7.0,2.0,3.0,38.0,Pass,Complete,38.0,,Connor Leavens,Complete,Rya Lauterbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,15:00,1800,0,0,0,3,3,3,holding,HU,Kyle Ager,,,,10.0
9,Hamline University,D,HU,1,,1.0,8.0,2.0,13.0,48.0,Pass,Complete,5.0,,Connor Leavens,Complete,Matt Miller,,,,Hunter Infanger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:57,1617,0,0,0,3,3,3,,,,,,,
10,Hamline University,D,HU,1,,1.0,9.0,3.0,8.0,43.0,Pass,Complete,2.0,,Connor Leavens,Complete,Moses Nelson,,,,Garrett Elison,Alex Emmrich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:57,1617,0,0,0,3,3,3,,,,,,,
