PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,King's,K,KINGS,1,,,,,,,KO Rec,Return,,,,,,,,,B. Mozeleski,,,,,,,Carlos Artson,19,33.0,K Prescavage,51.0,14.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,King's,,MIFB,1,,,,1.0,10.0,-33.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,personal foul,MIFB,,,,,18.0
3,King's,O,MIFB,1,,1.0,1.0,0.0,10.0,-15.0,Run,Rush,4.0,,Mitchel Micale,,,,,,Dylan White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,King's,O,MIFB,1,,1.0,2.0,2.0,6.0,-19.0,Run,Rush,6.0,,David Cromwell,,,,,,Dylan White,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,King's,O,MIFB,1,,1.0,3.0,1.0,10.0,-25.0,Run,Rush,1.0,,Mitchel Micale,,,,,,Dylan White,B. Mozeleski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,King's,O,MIFB,1,,1.0,4.0,2.0,9.0,-26.0,Run,Rush,2.0,,Mitchel Micale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,King's,O,MIFB,1,,1.0,5.0,3.0,7.0,-28.0,Pass,Complete,5.0,,Mitchel Micale,Complete,Carlos Artson,,,,Joseph Carchio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
8,King's,O,MIFB,1,,1.0,6.0,4.0,2.0,-33.0,Run,Rush,1.0,,Eric Jeffries,,,,,,Ahmad Griffin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Downs,15:00,1800,0,0,0,3,3,3,,,,,,,
9,King's,D,KINGS,1,,1.0,1.0,0.0,10.0,34.0,Run,Rush,7.0,,,,,,,,Kobe Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:32,1592,0,0,0,3,3,3,,,,,,,
10,King's,D,KINGS,1,,1.0,2.0,2.0,3.0,27.0,Pass,Complete,8.0,,Tyler Moore,Complete,Gabe Boccella,,,,Andrew Lee,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:32,1592,0,0,0,3,3,3,,,,,,,
11,King's,D,KINGS,1,,1.0,3.0,1.0,10.0,19.0,Run,Rush,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,11:32,1592,0,0,0,3,3,3,,,,,,,
12,King's,K,KINGS,1,,,,1.0,3.0,3.0,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K Prescavage,,,Good,,,,,,,,,10:45,1545,6,0,-6,3,3,3,,,,,,,
13,King's,K,KINGS,1,,,,1.0,-35.0,-35.0,KO Rec,Return,,,,,,,,,Shawn Burke,,,,,,,Carlos Artson,15,30.0,K Prescavage,50.0,15.0,Return,,,,,,,,,,,,,,,,,,,10:45,1545,7,0,-7,3,3,3,,,,,,,
14,King's,O,MIFB,1,,2.0,1.0,0.0,10.0,-30.0,Run,Rush,0.0,,David Cromwell,,,,,,J. Lettsome,Dylan White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:39,1539,0,7,-7,3,3,3,,,,,,,
15,King's,O,MIFB,1,,2.0,2.0,2.0,10.0,-30.0,Pass,Incomplete,0.0,,Mitchel Micale,Incomplete,David Cromwell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:39,1539,0,7,-7,3,3,3,,,,,,,
