PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Salve Regina,K,SRU,1,,,,,,,KO Rec,Return,,,,,,,,,John Zingaro,,,,,,,Dan Ramos,33,38.0,Matteo Marasco,60.0,5.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Salve Regina,O,MSU,1,,1.0,1.0,0.0,10.0,-38.0,Pass,Complete,9.0,,,Complete,Makai Mickens,,,,Griffin Gallati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
3,Salve Regina,O,MSU,1,,1.0,2.0,2.0,1.0,-47.0,Run,Rush,1.0,Makai Mickens,,,,,,,Pasqu DeStefano,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
4,Salve Regina,O,MSU,1,,1.0,3.0,1.0,10.0,-48.0,Pass,Incomplete,0.0,,,Incomplete,Clarenc Wilkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
5,Salve Regina,O,MSU,1,,1.0,4.0,2.0,10.0,-48.0,Pass,Incomplete,0.0,,,Incomplete,Clarenc Wilkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
6,Salve Regina,O,MSU,1,,1.0,5.0,3.0,10.0,-48.0,Pass,Sack,-12.0,,Ja'Quill Burch,Sack,,,,,Alex Pitser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:54,1794,0,0,0,3,3,3,,,,,,,
7,Salve Regina,K,MSU,1,,,,4.0,22.0,-36.0,Punt,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,26.0,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
8,Salve Regina,D,SRU,1,,1.0,1.0,0.0,10.0,-26.0,Pass,Incomplete,0.0,,,Incomplete,Hayden Hulme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:45,1665,0,0,0,3,3,3,,,,,,,
9,Salve Regina,D,SRU,1,,1.0,2.0,2.0,10.0,-26.0,Run,Rush,12.0,Joey Mauriello,,,,,,,Jalen Harris,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,12:45,1665,0,0,0,3,3,3,,,,,,,
10,Salve Regina,D,SRU,1,,1.0,3.0,1.0,10.0,-38.0,Run,Rush,1.0,Joey Mauriello,,,,,,,Dimitri Pali,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,12:45,1665,0,0,0,3,3,3,illegal formation,SRU,,,,,5.0
11,Salve Regina,D,SRU,1,,1.0,4.0,1.0,15.0,-33.0,Pass,Incomplete,0.0,,,Incomplete,John Hannon,,,,Mike Ramos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:45,1665,0,0,0,3,3,3,,,,,,,
12,Salve Regina,D,SRU,1,,1.0,5.0,2.0,15.0,-33.0,Run,Rush,1.0,Joey Mauriello,,,,,,,Austin Smith,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,12:45,1665,0,0,0,3,3,3,personal foul,MSU,Austin Smith,,,,15.0
13,Salve Regina,D,SRU,1,,1.0,6.0,1.0,10.0,-49.0,Run,Rush,6.0,Jack Maguire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:45,1665,0,0,0,3,3,3,,,,,,,
14,Salve Regina,D,SRU,1,,1.0,7.0,2.0,4.0,45.0,Pass,Incomplete,0.0,,,Incomplete,Connor Welsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:45,1665,0,0,0,3,3,3,,,,,,,
15,Salve Regina,,SRU,1,,,,3.0,4.0,45.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:45,1665,0,0,0,3,3,3,delay of game,SRU,,,,,5.0
16,Salve Regina,D,SRU,1,,1.0,8.0,3.0,9.0,-50.0,Pass,Incomplete,0.0,,,Incomplete,John Hannon,,,,Zahir Wilder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,12:45,1665,0,0,0,3,3,3,,,,,,,
17,Salve Regina,K,SRU,1,,,,4.0,9.0,-50.0,Punt Rec,Out of bounds,,,,,,,,,,,,,,,,,,,,,,,,Brian Johnson,42.0,8.0,Out of bounds,,,,,,,,,,,,,,12:45,1665,0,0,0,3,3,3,,,,,,,
18,Salve Regina,O,MSU,1,,2.0,1.0,0.0,10.0,-8.0,Run,Rush,6.0,Makai Mickens,,,,,,,Zachar Ludemann,Griffin Gallati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:08,1508,0,0,0,3,3,3,,,,,,,
19,Salve Regina,O,MSU,1,,2.0,2.0,2.0,4.0,-14.0,Run,Rush,12.0,Makai Mickens,,,,,,,Matt Sylvia,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,10:08,1508,0,0,0,3,3,3,,,,,,,
20,Salve Regina,O,MSU,1,,2.0,3.0,1.0,10.0,-26.0,Pass,Complete,5.0,,,Complete,Makai Mickens,,,,Griffin Gallati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:08,1508,0,0,0,3,3,3,,,,,,,
21,Salve Regina,O,MSU,1,,2.0,4.0,2.0,5.0,-31.0,Run,Rush,0.0,Makai Mickens,,,,,,,Zachar Ludemann,Zach Letellier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:08,1508,0,0,0,3,3,3,,,,,,,
22,Salve Regina,O,MSU,1,,2.0,5.0,3.0,5.0,-31.0,Run,Rush,7.0,Makai Mickens,,,,,,,Dylan Hodge,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,10:08,1508,0,0,0,3,3,3,,,,,,,
