PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Salisbury,K,MSU,1,,,,,,,KO,Return,,,,,,,,,Gerry Ferrignno,,,,,,,Rahshawn Price,20,36.0,Mic Fitzpatrick,49.0,16.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Salisbury,D,SAL,1,,1.0,1.0,0.0,10.0,-36.0,Run,Rush,20.0,Shamar Gray,,,,,,,Brennan Ray,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:52,1792,0,0,0,3,3,3,,,,,,,
3,Salisbury,D,SAL,1,,1.0,2.0,1.0,10.0,44.0,Run,Rush,44.0,Jack Lanham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,14:52,1792,0,0,0,3,3,3,,,,,,,
4,Salisbury,K,SAL,1,,,,1.0,3.0,3.0,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Be Schrecongost,,,Good,,,,,,,,,14:29,1769,6,0,-6,3,3,3,,,,,,,
5,Salisbury,K,SAL,1,,,,1.0,-35.0,-35.0,KO Rec,Return,,,,,,,,,Wylen Tompkins,,,,,,,Dan Ramos,22,22.0,Be Schrecongost,65.0,0.0,Return,,,,,,,,,,,,,,,,,,,14:29,1769,7,0,-7,3,3,3,,,,,,,
6,Salisbury,O,MSU,1,,1.0,1.0,0.0,10.0,-22.0,Run,Rush,1.0,Makai Mickens,,,,,,,Josh Adewumi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:22,1762,0,7,-7,3,3,3,,,,,,,
7,Salisbury,O,MSU,1,,1.0,2.0,2.0,9.0,-23.0,Pass,Complete,10.0,,,Complete,Eric Cowan,,,,Sam Pagella,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:22,1762,0,7,-7,3,3,3,,,,,,,
8,Salisbury,O,MSU,1,,1.0,3.0,1.0,10.0,-33.0,Pass,Complete,10.0,,,Complete,Eric Cowan,,,,Sam Pagella,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:22,1762,0,7,-7,3,3,3,,,,,,,
9,Salisbury,O,MSU,1,,1.0,4.0,1.0,10.0,-43.0,Run,Rush,0.0,Makai Mickens,,,,,,,Sean Carroll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:22,1762,0,7,-7,3,3,3,,,,,,,
10,Salisbury,O,MSU,1,,1.0,5.0,2.0,10.0,-43.0,Run,Rush,7.0,Ja'Quill Burch,,,,,,,Josh Adewumi,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:22,1762,0,7,-7,3,3,3,personal foul,SAL,Josh Adewumi,,,,15.0
