PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Chris. Newport,K,CNU,1,,,,,,,KO Rec,Return,,,,,,,,,Niko Tauti,Jayson Eanes,,,,,,Zahir Wilder,15,16.0,Ryan Castle,64.0,1.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Chris. Newport,O,MSU,1,,1.0,1.0,0.0,10.0,-16.0,Run,Rush,-4.0,Makai Mickens,,,,,,,Logan Baker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Chris. Newport,O,MSU,1,,1.0,2.0,2.0,14.0,-12.0,Pass,Interception,0.0,,Ja'Quill Burch,Interception,,,Sean Wilkinson,,Makai Mickens,,,,,,,Sean Wilkinson,8,-25.0,,,,,,,,,,,,,,,,,,,,,,Interception,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Chris. Newport,D,CNU,1,,1.0,1.0,0.0,10.0,17.0,Pass,Complete,5.0,,Matt Dzierski,Complete,Aeron Williams,,,,Omarie Wilmore,Dorian Gashi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:57,1737,0,0,0,3,3,3,,,,,,,
5,Chris. Newport,D,CNU,1,,1.0,2.0,2.0,5.0,12.0,Run,Rush,5.0,Aeron Williams,,,,,,,Mike Ramos,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:57,1737,0,0,0,3,3,3,,,,,,,
6,Chris. Newport,D,CNU,1,,1.0,3.0,1.0,7.0,7.0,Run,Rush,1.0,Matt Dzierski,,,,,,,Omarie Wilmore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:57,1737,0,0,0,3,3,3,,,,,,,
7,Chris. Newport,D,CNU,1,,1.0,4.0,2.0,6.0,6.0,Run,Rush,6.0,Matt Dzierski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,13:57,1737,0,0,0,3,3,3,,,,,,,
8,Chris. Newport,K,CNU,1,,,,1.0,3.0,3.0,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryan Castle,,,Good,,,,,,,,,11:59,1619,6,0,-6,3,3,3,,,,,,,
9,Chris. Newport,K,CNU,1,,,,1.0,-35.0,-35.0,KO Rec,Return,,,,,,,,,Ryan Castle,,,,,,,Zahir Wilder,55,-44.0,Ryan Castle,64.0,1.0,Return,,,,,,,,,,,,,,,,,,,11:59,1619,7,0,-7,3,3,3,,,,,,,
10,Chris. Newport,O,MSU,1,,2.0,1.0,0.0,10.0,44.0,Run,Rush,5.0,Makai Mickens,,,,,,,Sean Wilkinson,K. Braxton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:48,1608,0,7,-7,3,3,3,,,,,,,
11,Chris. Newport,O,MSU,1,,2.0,2.0,2.0,5.0,39.0,Run,Rush,3.0,Ja'Quill Burch,,,,,,,K. Braxton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:48,1608,0,7,-7,3,3,3,,,,,,,
12,Chris. Newport,O,MSU,1,,2.0,3.0,3.0,2.0,36.0,Run,Rush,0.0,Makai Mickens,,,,,,,Luke Nitowski,Conner Ryan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:48,1608,0,7,-7,3,3,3,,,,,,,
13,Chris. Newport,O,MSU,1,,2.0,4.0,4.0,2.0,36.0,Run,Rush,4.0,Makai Mickens,,,,,,,Logan Baker,Shawn Hamilton,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:48,1608,0,7,-7,3,3,3,,,,,,,
14,Chris. Newport,O,MSU,1,,2.0,5.0,1.0,10.0,32.0,Run,Rush,3.0,Makai Mickens,,,,,,,Conner Ryan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:48,1608,0,7,-7,3,3,3,,,,,,,
15,Chris. Newport,O,MSU,1,,2.0,6.0,2.0,7.0,29.0,Run,Rush,-2.0,Makai Mickens,,,,,,,Sean Wilkinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:48,1608,0,7,-7,3,3,3,,,,,,,
16,Chris. Newport,O,MSU,1,,2.0,7.0,3.0,9.0,31.0,Run,Rush,3.0,Makai Mickens,,,,,,,Sean Wilkinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:48,1608,0,7,-7,3,3,3,,,,,,,
17,Chris. Newport,O,MSU,1,,2.0,8.0,4.0,6.0,28.0,Pass,Incomplete,0.0,,Ja'Quill Burch,Incomplete,Matt Spatucci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Downs,11:48,1608,0,7,-7,3,3,3,,,,,,,
18,Chris. Newport,,CNU,1,,,,1.0,10.0,-28.0,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chris. Newport,,,,,,,06:56,1316,7,0,-7,3,3,3,,,,,,,
19,Chris. Newport,D,CNU,1,,2.0,1.0,0.0,10.0,-28.0,Pass,Complete,38.0,,Matt Dzierski,Complete,Garrison Mayo,,,,Jalen Harris,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,06:56,1316,7,0,-7,3,2,3,,,,,,,
