PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,SUNY Brockport,K,BRO,1,,,,,,,KO Rec,Return,,,,,,,,,Aiden Thomas,,,,,,,Deondrade Wells,13,28.0,Nate Wigent,50.0,15.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,SUNY Brockport,O,MOR,1,,1.0,1.0,0.0,10.0,-28.0,Run,Rush,3.0,Steven Frerichs,,,,,,,Ben Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:52,1792,0,0,0,3,3,3,,,,,,,
3,SUNY Brockport,O,MOR,1,,1.0,2.0,2.0,7.0,-31.0,Run,Rush,1.0,Deondrade Wells,,,,,,,Ben Robinson,Neil Levantini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:52,1792,0,0,0,3,3,3,,,,,,,
4,SUNY Brockport,O,MOR,1,,1.0,3.0,3.0,6.0,-32.0,Pass,Complete,7.0,,Steven Frerichs,Complete,Toure Hall Jr.,,,,Ben Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:52,1792,0,0,0,3,3,3,,,,,,,
5,SUNY Brockport,O,MOR,1,,1.0,4.0,1.0,10.0,-39.0,Run,Rush,8.0,Steven Frerichs,,,,,,,Ben Damiani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:52,1792,0,0,0,3,3,3,,,,,,,
6,SUNY Brockport,O,MOR,1,,1.0,5.0,2.0,2.0,-47.0,Run,Rush,8.0,Steven Frerichs,,,,,,,John DeRidder,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:52,1792,0,0,0,3,3,3,,,,,,,
7,SUNY Brockport,O,MOR,1,,1.0,6.0,1.0,10.0,45.0,Run,Rush,1.0,Justin Donnelly,,,,,,,Josh Greenwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:52,1792,0,0,0,3,3,3,,,,,,,
8,SUNY Brockport,O,MOR,1,,1.0,7.0,2.0,9.0,44.0,Run,Rush,2.0,Steven Frerichs,,,,,,,Ben Robinson,Ben Damiani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:52,1792,0,0,0,3,3,3,,,,,,,
9,SUNY Brockport,O,MOR,1,,1.0,8.0,3.0,7.0,42.0,Pass,Incomplete,0.0,,Steven Frerichs,Incomplete,Toure Hall Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:52,1792,0,0,0,3,3,3,,,,,,,
10,SUNY Brockport,K,MOR,1,,,,4.0,7.0,42.0,Punt,Touchback,,,,,,,,,,,,,,,,,,,,,,,,Ed-Son Jean-Baptiste,42.0,0.0,Touchback,,,,,,,,,,,,,,14:52,1792,0,0,0,3,3,3,,,,,,,
