PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Albion,K,ALB,1,,,,,,,KO Ret,Return,,,,,,,,,Deondric Sanders,Rami Mullan,,,,,,,26,26.0,Hunter Williams,65.0,0.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Albion,O,MSJ,1,,1.0,1.0,0.0,10.0,-26.0,Pass,Incomplete,0.0,,Josh pass Taylor,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:52,1792,0,0,0,3,3,3,,,,,,,
3,Albion,O,MSJ,1,,1.0,2.0,2.0,10.0,-26.0,Run,Rush,0.0,Josh rush Taylor,,,,,,,Jeremiah Major,Levi Ladd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:52,1792,0,0,0,3,3,3,,,,,,,
4,Albion,O,MSJ,1,,1.0,3.0,3.0,10.0,-26.0,Run,Rush,6.0,Josh rush Taylor,,,,,,,John Wester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:52,1792,0,0,0,3,3,3,,,,,,,
5,Albion,K,MSJ,1,,,,4.0,4.0,-32.0,Punt,Return,,,,,,,,,Nate Owens,,,,,,,Andrew Durand,38,-31.0,,,,,,Ryan punt Murray,37.0,31.0,Return,,,,,,,,,,,,,,14:52,1792,0,0,0,3,3,3,,,,,,,
6,Albion,D,ALB,1,,1.0,1.0,0.0,10.0,31.0,Pass,Complete,2.0,,Jack Bush,Complete,Andrew Durand,,,,Noah Hammond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:14,1694,0,0,0,3,3,3,,,,,,,
7,Albion,D,ALB,1,,1.0,2.0,2.0,8.0,29.0,Run,Rush,3.0,Phillip Jones-Price,,,,,,,Jonathan Finn,Decklan Brophy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:14,1694,0,0,0,3,3,3,,,,,,,
8,Albion,D,ALB,1,,1.0,3.0,3.0,5.0,26.0,Pass,Complete,7.0,,Jack Bush,Complete,Kolby Canfield,,,,Anthony Wright,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:14,1694,0,0,0,3,3,3,,,,,,,
9,Albion,D,ALB,1,,1.0,4.0,1.0,10.0,19.0,Pass,Complete,6.0,,Jack Bush,Complete,Andrew Durand,,,,Andrew Pierce,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,13:14,1694,0,0,0,3,3,3,Holding,ALB,Tayvid Elmore,,,,10.0
10,Albion,D,ALB,1,,1.0,5.0,1.0,20.0,29.0,Run,Rush,7.0,Kyle Thomas,,,,,,,Jonathan Finn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:14,1694,0,0,0,3,3,3,,,,,,,
11,Albion,D,ALB,1,,1.0,6.0,2.0,13.0,22.0,Pass,Complete,8.0,,Jack Bush,Complete,Kyle Thomas,,,,Anthony Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:14,1694,0,0,0,3,3,3,,,,,,,
12,Albion,D,ALB,1,,1.0,7.0,3.0,5.0,14.0,Pass,Complete,14.0,,Jack Bush,Complete,Justin Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,13:14,1694,0,0,0,3,3,3,,,,,,,
13,Albion,K,ALB,1,,,,,,,Extra Pt. Block,No Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jackson Cooney,,,No Good,,,,,,,,,10:08,1508,6,0,-6,3,3,3,,,,,,,
14,Albion,K,ALB,1,,,,,,,KO Ret,Return,,,,,,,,,Deondric Sanders,,,,,,,,0,32.0,Hunter Williams,33.0,32.0,Return,,,,,,,,,,,,,,,,,,,10:08,1508,6,0,-6,3,3,3,,,,,,,
15,Albion,O,MSJ,1,,2.0,1.0,0.0,10.0,-32.0,Run,Rush,5.0,Josh rush Taylor,,,,,,,Noah Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:01,1501,0,6,-6,3,3,3,,,,,,,
16,Albion,O,MSJ,1,,2.0,2.0,2.0,5.0,-37.0,Pass,Complete,4.0,,Josh pass Taylor,Complete,Austin for Brock,,,,Mitchell Arendsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:01,1501,0,6,-6,3,3,3,,,,,,,
17,Albion,O,MSJ,1,,2.0,3.0,3.0,1.0,-41.0,Run,Rush,5.0,Josh rush Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,10:01,1501,0,6,-6,3,3,3,,,,,,,
18,Albion,O,MSJ,1,,2.0,4.0,1.0,10.0,-46.0,Pass,Complete,7.0,,Josh pass Taylor,Complete,Austin for Brock,,,,Levi Ladd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:01,1501,0,6,-6,3,3,3,,,,,,,
19,Albion,O,MSJ,1,,2.0,5.0,2.0,3.0,47.0,Run,Rush,17.0,Josh rush Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,10:01,1501,0,6,-6,3,3,3,,,,,,,
20,Albion,O,MSJ,1,,2.0,6.0,1.0,10.0,30.0,Pass,Complete,7.0,,Josh pass Taylor,Complete,Jake for Ayler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:01,1501,0,6,-6,3,3,3,,,,,,,
21,Albion,O,MSJ,1,,2.0,7.0,2.0,3.0,23.0,Run,Rush,-3.0,Josh rush Taylor,,,,,,,Levi Ladd,Jeremiah Major,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:01,1501,0,6,-6,3,3,3,,,,,,,
22,Albion,O,MSJ,1,,2.0,8.0,3.0,6.0,26.0,Pass,Incomplete,0.0,,Josh pass Taylor,Incomplete,Joey broken Newton,John Wester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:01,1501,0,6,-6,3,3,3,,,,,,,
23,Albion,O,MSJ,1,,2.0,9.0,4.0,6.0,26.0,Pass,Incomplete,0.0,,Josh pass Taylor,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Downs,10:01,1501,0,6,-6,3,3,3,,,,,,,
24,Albion,D,ALB,1,,2.0,1.0,0.0,10.0,-26.0,Run,Rush,19.0,Phillip Jones-Price,,,,,,,Andrew Pierce,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,06:02,1262,6,0,-6,3,3,3,Personal Foul,MSJ,,,,,15.0
25,Albion,D,ALB,1,,2.0,2.0,1.0,10.0,40.0,Pass,Complete,7.0,,Jack Bush,Complete,Kyle Thomas,,,,Anthony Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:02,1262,6,0,-6,3,3,3,,,,,,,
26,Albion,D,ALB,1,,2.0,3.0,2.0,17.0,47.0,Run,Rush,6.0,Phillip Jones-Price,,,,,,,Julius Fisher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:02,1262,6,0,-6,3,3,3,,,,,,,
27,Albion,D,ALB,1,,2.0,4.0,3.0,11.0,41.0,Pass,Incomplete,0.0,,Jack Bush,Incomplete,Justin Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,06:02,1262,6,0,-6,3,3,3,,,,,,,
28,Albion,K,ALB,1,,,,4.0,11.0,41.0,Punt Ret,Touchback,,,,,,,,,,,,,,,,,,,,,,,,Hunter Williams,41.0,0.0,Touchback,,,,,,,,,,,,,,06:02,1262,6,0,-6,3,3,3,,,,,,,
29,Albion,O,MSJ,1,,3.0,1.0,0.0,10.0,-20.0,Run,Rush,2.0,Mariano rush Mckenzie,,,,,,,Jeremiah Major,Casmer Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:27,1167,0,6,-6,3,3,3,,,,,,,
30,Albion,O,MSJ,1,,3.0,2.0,2.0,8.0,-22.0,Pass,Complete,19.0,,Josh pass Taylor,Complete,Austin for Brock,,,,Bobby Willis,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,04:27,1167,0,6,-6,3,3,3,,,,,,,
31,Albion,O,MSJ,1,,3.0,3.0,1.0,10.0,-41.0,Run,Rush,13.0,Josh rush Taylor,,,,,,,,,True,Josh at Taylor,,ALB,Jeremiah Major,,,-44.0,,,,,,,,,,,,,,,,,,,,,,Fumble,04:27,1167,0,6,-6,3,3,3,,,,,,,
32,Albion,D,ALB,1,,3.0,1.0,0.0,10.0,-46.0,Run,Rush,22.0,Jacob Clark,,,,,,,Anthony Wright,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,03:08,1088,6,0,-6,3,3,3,,,,,,,
33,Albion,D,ALB,1,,3.0,2.0,1.0,10.0,32.0,Pass,Complete,10.0,,Jack Bush,Complete,Kolby Canfield,,,,Devon Donawerth,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,03:08,1088,6,0,-6,3,3,3,,,,,,,
34,Albion,D,ALB,1,,3.0,3.0,1.0,10.0,22.0,Run,Rush,1.0,Jacob Clark,,,,,,,Austin Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:08,1088,6,0,-6,3,3,3,,,,,,,
