PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Marietta,K,MUSK,1,,,,,,,KO,Return,,,,,,,,,Cortez McGinnis,,,,,,,Darius Hatch,25,34.0,C. Scozzafava,56.0,9.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Marietta,D,MAR,1,,1.0,1.0,0.0,10.0,-34.0,Run,Rush,0.0,Hayden Tanner,,,,,,,Cortez McGinnis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Marietta,D,MAR,1,,1.0,2.0,2.0,10.0,-34.0,Pass,Complete,16.0,,Connor Vierstra,Complete,Clay Mastin,,,,Cedric Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Marietta,D,MAR,1,,1.0,3.0,1.0,10.0,-50.0,Run,Rush,1.0,Bryce Agnew,,,,,,,Cortez McGinnis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Marietta,D,MAR,1,,1.0,4.0,2.0,9.0,49.0,Run,Rush,7.0,Bryce Agnew,,,,,,,Tristan Howell,Isiah Leasure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Marietta,D,MAR,1,,1.0,5.0,3.0,2.0,42.0,Run,Rush,-3.0,Connor Vierstra,,,,,,,Kalib Dailey,A. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,1800,0,0,0,3,3,3,,,,,,,
7,Marietta,K,MAR,1,,,,4.0,5.0,45.0,Punt Ret,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,,Bailey Sprague,32.0,13.0,Fair Catch,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
8,Marietta,O,MUSK,1,,1.0,1.0,0.0,10.0,-13.0,Pass,Complete,4.0,,Jordan Garrett,Complete,Travis Roberson,,,,Quiero-Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:56,1616,0,0,0,3,3,3,,,,,,,
9,Marietta,O,MUSK,1,,1.0,2.0,2.0,6.0,-17.0,Run,Rush,6.0,Jordan Garrett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:56,1616,0,0,0,3,3,3,,,,,,,
10,Marietta,O,MUSK,1,,1.0,3.0,1.0,10.0,-23.0,Pass,Incomplete,0.0,,Jordan Garrett,Incomplete,Travis Roberson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:56,1616,0,0,0,3,3,3,,,,,,,
11,Marietta,,MUSK,1,,,,2.0,10.0,-23.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:56,1616,0,0,0,3,3,3,roughing passer,MAR,Simon Schott,,,,15.0
12,Marietta,O,MUSK,1,,1.0,4.0,1.0,10.0,-38.0,Pass,Incomplete,0.0,,Jordan Garrett,Incomplete,Travanti Keitt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:56,1616,0,0,0,3,3,3,,,,,,,
13,Marietta,O,MUSK,1,,1.0,5.0,2.0,10.0,-38.0,Pass,Complete,6.0,,Jordan Garrett,Complete,Zuri Edmondson,,,,Tay Pryor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:56,1616,0,0,0,3,3,3,,,,,,,
14,Marietta,O,MUSK,1,,1.0,6.0,3.0,4.0,-44.0,Pass,Incomplete,0.0,,Jordan Garrett,Incomplete,Travanti Keitt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,11:56,1616,0,0,0,3,3,3,,,,,,,
15,Marietta,K,MUSK,1,,,,4.0,4.0,-44.0,Punt,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,,C. Scozzafava,37.0,19.0,Fair Catch,,,,,,,,,,,,,,11:56,1616,0,0,0,3,3,3,,,,,,,
16,Marietta,D,MAR,1,,2.0,1.0,0.0,10.0,-19.0,Pass,Incomplete,0.0,,Connor Vierstra,Incomplete,Clay Mastin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:39,1539,0,0,0,3,3,3,,,,,,,
17,Marietta,D,MAR,1,,2.0,2.0,2.0,10.0,-19.0,Pass,Incomplete,0.0,,Connor Vierstra,Incomplete,Maguire Morris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:39,1539,0,0,0,3,3,3,,,,,,,
