PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Elmhurst,K,NPU,1,,,,,,,KO,Fair Catch,,,,,,,,,,,,,,,,,,,Blatchford kickoff,37.0,28.0,Fair Catch,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Elmhurst,D,ELMHURST,1,,1.0,1.0,0.0,10.0,-28.0,Pass,Complete,5.0,,,Complete,Holtke for,,,,Jaydin Miller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Elmhurst,D,ELMHURST,1,,1.0,2.0,2.0,5.0,-33.0,Pass,Complete,3.0,,,Complete,Holtke for,,,,Jaydin Miller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Elmhurst,D,ELMHURST,1,,1.0,3.0,3.0,8.0,-30.0,Pass,Incomplete,0.0,,,Incomplete,W Brown,,,,Nieves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Elmhurst,K,ELMHURST,1,,,,4.0,8.0,-30.0,Punt Rec,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,,Brenner punt,34.0,36.0,Fair Catch,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Elmhurst,O,NPU,1,,1.0,1.0,0.0,10.0,-36.0,Run,Rush,4.0,,,,,,,,Gable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:57,1737,0,0,0,3,3,3,,,,,,,
7,Elmhurst,O,NPU,1,,1.0,2.0,2.0,6.0,-40.0,Run,Rush,3.0,,,,,,,,Gable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:57,1737,0,0,0,3,3,3,,,,,,,
8,Elmhurst,O,NPU,1,,1.0,3.0,3.0,3.0,-43.0,Pass,Complete,4.0,,,Complete,Harris for,,,,Hanrahan,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:57,1737,0,0,0,3,3,3,,,,,,,
9,Elmhurst,O,NPU,1,,1.0,4.0,1.0,10.0,-47.0,Pass,Complete,13.0,,,Complete,Harris for,,,,Bills,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:57,1737,0,0,0,3,3,3,,,,,,,
10,Elmhurst,O,NPU,1,,1.0,5.0,1.0,10.0,40.0,Pass,Complete,2.0,,,Complete,Dreksler for,,,,Turner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:57,1737,0,0,0,3,3,3,,,,,,,
11,Elmhurst,O,NPU,1,,1.0,6.0,2.0,12.0,42.0,Pass,Complete,3.0,,,Complete,Del Nodal,,,,Hanrahan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:57,1737,0,0,0,3,3,3,,,,,,,
12,Elmhurst,O,NPU,1,,1.0,7.0,3.0,15.0,45.0,Pass,Complete,12.0,,,Complete,Harris for,,,,Bills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:57,1737,0,0,0,3,3,3,,,,,,,
13,Elmhurst,,NPU,1,,,,4.0,3.0,33.0,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elmhurst,,,,,,,13:57,1737,0,0,0,3,3,3,,,,,,,
14,Elmhurst,O,NPU,1,,1.0,8.0,4.0,3.0,33.0,Pass,Complete,18.0,,,Complete,Oray for,,,,Turner,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,09:42,1482,0,0,0,3,3,2,,,,,,,
15,Elmhurst,O,NPU,1,,1.0,9.0,1.0,10.0,15.0,Run,Rush,2.0,Del Nodal,,,,,,,Hanrahan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:42,1482,0,0,0,3,3,2,,,,,,,
16,Elmhurst,,NPU,1,,,,2.0,8.0,13.0,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North Park,,,,,,,09:42,1482,0,0,0,3,3,2,,,,,,,
17,Elmhurst,O,NPU,1,,1.0,10.0,2.0,8.0,13.0,Pass,Incomplete,0.0,,,Incomplete,,,,,Inniss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:51,1431,0,0,0,2,2,2,,,,,,,
18,Elmhurst,O,NPU,1,,1.0,11.0,3.0,8.0,13.0,Pass,Incomplete,0.0,,,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FG,08:51,1431,0,0,0,2,2,2,,,,,,,
19,Elmhurst,K,NPU,1,,,,4.0,8.0,13.0,FG,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Messersmith field,29.0,Good,,,,,,,,,,08:51,1431,0,0,0,2,2,2,,,,,,,
20,Elmhurst,K,NPU,1,,,,1.0,-35.0,-35.0,KO,Return,,,,,,,,,Lanier,,,,,,,Turner ,23,33.0,Blatchford kickoff,55.0,10.0,Return,,,,,,,,,,,,,,,,,,,08:39,1419,3,0,3,2,2,2,,,,,,,
21,Elmhurst,D,ELMHURST,1,,2.0,1.0,0.0,10.0,-33.0,Run,Rush,0.0,,,,,,,,Salinas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:30,1410,0,3,3,2,2,2,,,,,,,
22,Elmhurst,D,ELMHURST,1,,2.0,2.0,2.0,10.0,-33.0,Run,Rush,7.0,,,,,,,,Landrau,Gaul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:30,1410,0,3,3,2,2,2,,,,,,,
23,Elmhurst,D,ELMHURST,1,,2.0,3.0,3.0,3.0,-40.0,Run,Rush,-3.0,,,,,,,,Landrau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,08:30,1410,0,3,3,2,2,2,,,,,,,
24,Elmhurst,K,ELMHURST,1,,,,4.0,6.0,-37.0,Punt Rec,,,,,,,,,,,,,,,,,,,,,,,,,Brenner punt,34.0,29.0,,,,,,,,,,,,,,,08:30,1410,0,3,3,2,2,2,,,,,,,
25,Elmhurst,O,NPU,1,,2.0,1.0,0.0,10.0,-29.0,Run,Rush,2.0,,,,,,,,Kotke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:48,1308,3,0,3,2,2,2,,,,,,,
26,Elmhurst,O,NPU,1,,2.0,2.0,2.0,8.0,-31.0,Pass,Sack,-7.0,,,Sack,,,,,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:48,1308,3,0,3,2,2,2,,,,,,,
27,Elmhurst,O,NPU,1,,2.0,3.0,3.0,15.0,-24.0,Pass,Incomplete,0.0,,,Incomplete,PENALTY Harris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,06:48,1308,3,0,3,2,2,2,offside,ELMHURST,,,,,5.0
28,Elmhurst,O,NPU,1,,2.0,4.0,3.0,10.0,-29.0,Pass,Complete,45.0,,,Complete,Caleb Jones,,,,Boyd,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,06:48,1308,3,0,3,2,2,2,,,,,,,
