PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Eureka (Ill.),K,EUREKA,1,,,,,,,KO,Return,,,,,,,,,Logan Fee,,,,,,,,11,-23.0,Samuel Roose,53.0,-12.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Eureka (Ill.),D,R,1,,1.0,1.0,0.0,10.0,23.0,Run,Rush,0.0,Nathan rush Garard,,,,,,,David Curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
3,Eureka (Ill.),D,R,1,,1.0,2.0,2.0,10.0,23.0,Run,Rush,1.0,Nathan rush Garard,,,,,,,T. Heart-Wilkin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
4,Eureka (Ill.),D,R,1,,1.0,3.0,3.0,9.0,24.0,Pass,Incomplete,0.0,,Nathan pass Garard,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:54,1794,0,0,0,3,3,3,,,,,,,
5,Eureka (Ill.),K,R,1,,,,4.0,9.0,24.0,Punt Ret,,,,,,,,,,,,,,,,,,,,,,,,,Sam punt Bartels,40.0,-36.0,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
6,Eureka (Ill.),O,EUREKA,1,,1.0,1.0,0.0,10.0,36.0,Run,Rush,2.0,C. Barnett,,,,,,,Malik Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:21,1701,0,0,0,3,3,3,,,,,,,
7,Eureka (Ill.),O,EUREKA,1,,1.0,2.0,2.0,8.0,38.0,Pass,Complete,7.0,,Evan Ormsby,Complete,Akeem Benjamin,,,,Amari Smith,Colton Walsberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:21,1701,0,0,0,3,3,3,,,,,,,
8,Eureka (Ill.),O,EUREKA,1,,1.0,3.0,3.0,1.0,45.0,Run,Rush,55.0,C. Barnett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,13:21,1701,0,0,0,3,3,3,,,,,,,
9,Eureka (Ill.),K,EUREKA,1,,,,,,,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Samuel Roose,,,Good,,,,,,,,,11:56,1616,6,0,6,3,3,3,,,,,,,
10,Eureka (Ill.),K,EUREKA,1,,,,,,,KO,Return,,,,,,,,,,,True,Kwenti recovered Brookins,,,,,0,-11.0,Samuel Roose,54.0,-11.0,Return,,,,,,,,,,,,,,,,,,,11:56,1616,7,0,7,3,3,3,,,,,,,
11,Eureka (Ill.),O,EUREKA,1,,2.0,1.0,0.0,10.0,-11.0,Pass,Complete,11.0,,Evan Ormsby,Complete,Jalen Broussard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,11:54,1614,7,0,7,3,3,3,,,,,,,
12,Eureka (Ill.),K,EUREKA,1,,,,,,,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Samuel Roose,,,Good,,,,,,,,,11:48,1608,13,0,13,3,3,3,,,,,,,
13,Eureka (Ill.),K,EUREKA,1,,,,,,,KO,Fair Catch,,,,,,,,,,,,,,,,,,,Samuel Roose,40.0,-25.0,Fair Catch,,,,,,,,,,,,,,,,,,,11:48,1608,14,0,14,3,3,3,,,,,,,
14,Eureka (Ill.),,R,1,,,,1.0,10.0,25.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:48,1608,0,14,14,3,3,3,false start,EUREKA,,,,,5.0
15,Eureka (Ill.),D,R,1,,2.0,1.0,0.0,15.0,20.0,Pass,Incomplete,0.0,,Nathan pass Garard,Incomplete,Pierce Bradford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,11:48,1608,0,14,14,3,3,3,,,,,,,5.0
16,Eureka (Ill.),D,R,1,,2.0,2.0,1.0,10.0,25.0,Run,Rush,1.0,Peyton rush Doughty,,,,,,,Justin Norgan,David Curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:48,1608,0,14,14,3,3,3,,,,,,,
17,Eureka (Ill.),D,R,1,,2.0,3.0,2.0,9.0,26.0,Pass,Incomplete,0.0,,Nathan pass Garard,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:48,1608,0,14,14,3,3,3,,,,,,,
18,Eureka (Ill.),D,R,1,,2.0,4.0,3.0,9.0,26.0,Pass,Incomplete,0.0,,Nathan pass Garard,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,11:48,1608,0,14,14,3,3,3,,,,,,,
19,Eureka (Ill.),K,R,1,,,,4.0,9.0,26.0,Punt Ret,Return,,,,,,,,,,,,,,,,Deonte Higgins,42,30.0,,,,,,Sam punt Bartels,46.0,-28.0,Return,,,,,,,,,,,,,,11:48,1608,0,14,14,3,3,3,,,,,,,
20,Eureka (Ill.),O,EUREKA,1,,3.0,1.0,0.0,10.0,-30.0,Pass,Complete,14.0,,Evan Ormsby,Complete,N. Crowell,,,,Stefon Humphrey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:36,1536,14,0,14,3,3,3,,,,,,,
21,Eureka (Ill.),O,EUREKA,1,,3.0,2.0,1.0,10.0,-16.0,Pass,Complete,8.0,,Evan Ormsby,Complete,Akeem Benjamin,,,,Austin Hopkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:36,1536,14,0,14,3,3,3,,,,,,,
22,Eureka (Ill.),O,EUREKA,1,,3.0,3.0,2.0,2.0,-8.0,Pass,Complete,8.0,,Evan Ormsby,Complete,C. Barnett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,10:36,1536,14,0,14,3,3,3,,,,,,,
23,Eureka (Ill.),K,EUREKA,1,,,,,,,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Samuel Roose,,,Good,,,,,,,,,09:21,1461,20,0,20,3,3,3,,,,,,,
24,Eureka (Ill.),K,EUREKA,1,,,,,,,KO,Return,,,,,,,,,Logan Fee,,,,,,,,16,-21.0,Samuel Roose,60.0,-5.0,Return,,,,,,,,,,,,,,,,,,,09:21,1461,21,0,21,3,3,3,,,,,,,
25,Eureka (Ill.),D,R,1,,3.0,1.0,0.0,10.0,21.0,Pass,Complete,8.0,,Nathan pass Garard,Complete,Kobe for Newman,,,,John Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:21,1461,0,21,21,3,3,3,,,,,,,
26,Eureka (Ill.),D,R,1,,3.0,2.0,2.0,2.0,29.0,Run,Rush,9.0,Nathan rush Garard,,,,,,,Thomas Kusterer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:21,1461,0,21,21,3,3,3,,,,,,,
27,Eureka (Ill.),D,R,1,,3.0,3.0,1.0,10.0,38.0,Run,Rush,2.0,Nathan rush Garard,,,,,,,Andrew Campbell,Jeylin Rogers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:21,1461,0,21,21,3,3,3,,,,,,,
28,Eureka (Ill.),D,R,1,,3.0,4.0,2.0,8.0,40.0,Run,Rush,1.0,Nathan rush Garard,,,,,,,Andrew Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:21,1461,0,21,21,3,3,3,,,,,,,
29,Eureka (Ill.),D,R,1,,3.0,5.0,3.0,7.0,41.0,Pass,Incomplete,0.0,,Lukas pass Tinkham,Incomplete,,,,,Kolbe Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,09:21,1461,0,21,21,3,3,3,,,,,,,
30,Eureka (Ill.),,R,1,,,,4.0,7.0,41.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:21,1461,0,21,21,3,3,3,false start,EUREKA,,,,,5.0
31,Eureka (Ill.),K,R,1,,,,4.0,12.0,36.0,Punt Ret,,,,,,,,,,,,,,,,,,,,,,,,,Sam punt Bartels,64.0,0.0,,,,,,,,,,,,,,,09:21,1461,0,21,21,3,3,3,,,,,,,
32,Eureka (Ill.),O,EUREKA,1,,4.0,1.0,0.0,10.0,20.0,Pass,Complete,27.0,,Evan Ormsby,Complete,Deonte Higgins,,,,Garrett Wayne,Jack Arnett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:25,1285,21,0,21,3,3,3,,,,,,,
33,Eureka (Ill.),O,EUREKA,1,,4.0,2.0,1.0,10.0,47.0,Run,Rush,3.0,N. Crowell,,,,,,,Keegan Kerr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:25,1285,21,0,21,3,3,3,,,,,,,
34,Eureka (Ill.),O,EUREKA,1,,4.0,3.0,2.0,7.0,50.0,Run,Rush,0.0,N. Crowell,,,,,,,Stefon Humphrey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:25,1285,21,0,21,3,3,3,,,,,,,
35,Eureka (Ill.),O,EUREKA,1,,4.0,4.0,3.0,7.0,50.0,Pass,Incomplete,0.0,,Evan Ormsby,Incomplete,N. Crowell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,06:25,1285,21,0,21,3,3,3,,,,,,,
36,Eureka (Ill.),K,EUREKA,1,,,,4.0,7.0,50.0,Punt,,,,,,,,,,,,,,,,,,,,,,,,,Brendan Sine,39.0,-11.0,,,,,,,,,,,,,,,06:25,1285,21,0,21,3,3,3,,,,,,,
37,Eureka (Ill.),D,R,1,,4.0,1.0,0.0,10.0,11.0,Run,Rush,2.0,Peyton rush Doughty,,,,,,,Dennis Simmons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:33,1173,0,21,21,3,3,3,,,,,,,
38,Eureka (Ill.),D,R,1,,4.0,2.0,2.0,8.0,13.0,Pass,Incomplete,0.0,,Nathan pass Garard,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:33,1173,0,21,21,3,3,3,,,,,,,
39,Eureka (Ill.),D,R,1,,4.0,3.0,3.0,8.0,13.0,Pass,Complete,5.0,,Nathan pass Garard,Complete,Peyton for Doughty,,,,Jeylin Rogers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,04:33,1173,0,21,21,3,3,3,,,,,,,
40,Eureka (Ill.),K,R,1,,,,4.0,3.0,18.0,Punt Ret,Out of bounds,,,,,,,,,,,,,,,,,,,,,,,,Sam punt Bartels,27.0,-45.0,Out of bounds,,,,,,,,,,,,,,04:33,1173,0,21,21,3,3,3,,,,,,,
41,Eureka (Ill.),O,EUREKA,1,,5.0,1.0,0.0,10.0,-45.0,Pass,Incomplete,0.0,,Evan Ormsby,Incomplete,Seth Young,,,,Amari Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02:59,1079,21,0,21,3,3,3,,,,,,,
42,Eureka (Ill.),O,EUREKA,1,,5.0,2.0,2.0,10.0,-45.0,Run,Rush,4.0,N. Crowell,,,,,,,Alexan Brittain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02:59,1079,21,0,21,3,3,3,,,,,,,
43,Eureka (Ill.),O,EUREKA,1,,5.0,3.0,3.0,6.0,-41.0,Pass,Complete,5.0,,Evan Ormsby,Complete,SirQuarius Ball,,,,Malik Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02:59,1079,21,0,21,3,3,3,,,,,,,
44,Eureka (Ill.),O,EUREKA,1,,5.0,4.0,4.0,1.0,-36.0,Run,Rush,-3.0,N. Crowell,,,,,,,Jon Jackson,Stefon Humphrey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Downs,02:59,1079,21,0,21,3,3,3,,,,,,,
45,Eureka (Ill.),D,R,1,,5.0,1.0,0.0,10.0,39.0,Pass,Complete,46.0,,Nathan pass Garard,Complete,Pierce for Bradford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01:33,993,0,21,21,3,3,3,,,,,,,
46,Eureka (Ill.),D,R,1,,5.0,2.0,1.0,10.0,-15.0,Run,Rush,2.0,Hill Jr,,,,,,,R. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01:33,993,0,21,21,3,3,3,,,,,,,
47,Eureka (Ill.),D,R,1,,5.0,3.0,2.0,8.0,-13.0,Pass,Sack,-6.0,,Nathan sacked Garard,Sack,,,,,David Curl,Logan Fee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01:33,993,0,21,21,3,3,3,,,,,,,
48,Eureka (Ill.),D,R,2,,5.0,4.0,3.0,14.0,-19.0,Pass,Complete,19.0,,Nathan pass Garard,Complete,Pierce for Bradford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,15:00,900,0,21,21,3,3,3,,,,,,,
