PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Linfield,K,PLU,1,,,,,,,KO,Return,,,,,,,,,Kaysen Higa,,,,,,,Connor Morton,38,48.0,Peiyton Hilliard,55.0,10.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Linfield,D,LIN,1,,1.0,1.0,0.0,10.0,-48.0,Run,Rush,4.0,Connor McNabb,,,,,,,Shaun Kim,Kalen Davis-White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:50,1790,0,0,0,3,3,3,,,,,,,
3,Linfield,D,LIN,1,,1.0,2.0,2.0,6.0,48.0,Pass,Complete,2.0,,Wyatt Smith,Complete,Franco Keplinger,,,,Kalen Davis-White,Kord Tuttle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:50,1790,0,0,0,3,3,3,,,,,,,
4,Linfield,D,LIN,1,,1.0,3.0,3.0,4.0,46.0,Run,Rush,4.0,Connor McNabb,,,,,,,Ashton Barton,Max Larson,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:50,1790,0,0,0,3,3,3,,,,,,,
5,Linfield,D,LIN,1,,1.0,4.0,1.0,10.0,42.0,Pass,Complete,42.0,,Wyatt Smith,Complete,Colton Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,14:50,1790,0,0,0,3,3,3,,,,,,,
6,Linfield,K,LIN,1,,,,1.0,3.0,3.0,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrew Starkel,,,Good,,,,,,,,,12:54,1674,6,0,-6,3,3,3,,,,,,,
7,Linfield,K,LIN,1,,,,1.0,10.0,-35.0,KO Ret,Return,,,,,,,,,Cutter Hillock,,,,,,,Manuel Felan,16,18.0,Andrew Starkel,63.0,2.0,Return,,,,,,,,,,,,,,,,,,,12:54,1674,7,0,-7,3,3,3,,,,,,,
8,Linfield,O,PLU,1,,1.0,1.0,0.0,10.0,-18.0,Run,Rush,1.0,Malik White,,,,,,,Nick Severson,Vinny Niosi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:44,1664,0,7,-7,3,3,3,,,,,,,
9,Linfield,O,PLU,1,,1.0,2.0,2.0,9.0,-19.0,Run,Rush,1.0,Erik Bainter,,,,,,,Brian Pullman,Cedric Agcaoili-Ostrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:44,1664,0,7,-7,3,3,3,,,,,,,
10,Linfield,O,PLU,1,,1.0,3.0,3.0,8.0,-20.0,Pass,Incomplete,0.0,,Erik Bainter,Incomplete,Alex Rendon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,12:44,1664,0,7,-7,3,3,3,,,,,,,
11,Linfield,K,PLU,1,,,,4.0,8.0,-20.0,Punt,Return,,,,,,,,,Jai Alapai,,,,,,,Maclain Stoneking,5,42.0,,,,,,Max Boekenoogen,43.0,37.0,Return,,,,,,,,,,,,,,12:44,1664,0,7,-7,3,3,3,,,,,,,
12,Linfield,D,LIN,1,,2.0,1.0,0.0,10.0,-42.0,Run,Rush,5.0,Wyatt Smith,,,,,,,Jared Elwin,Kalen Davis-White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:16,1576,7,0,-7,3,3,3,,,,,,,
13,Linfield,D,LIN,1,,2.0,2.0,2.0,5.0,-47.0,Run,Rush,9.0,Connor Morton,,,,,,,Kord Tuttle,Shaun Kim,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:16,1576,7,0,-7,3,3,3,,,,,,,
14,Linfield,D,LIN,1,,2.0,3.0,1.0,10.0,44.0,Pass,Complete,17.0,,Wyatt Smith,Complete,Joel Valadez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:16,1576,7,0,-7,3,3,3,,,,,,,
15,Linfield,D,LIN,1,,2.0,4.0,1.0,10.0,27.0,Run,Rush,9.0,Connor Morton,,,,,,,Shaun Kim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:16,1576,7,0,-7,3,3,3,,,,,,,
16,Linfield,D,LIN,1,,2.0,5.0,2.0,1.0,18.0,Pass,Incomplete,0.0,,Wyatt Smith,Incomplete,Joel Valadez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:16,1576,7,0,-7,3,3,3,,,,,,,
17,Linfield,D,LIN,1,,2.0,6.0,3.0,1.0,18.0,Run,Rush,1.0,Connor Morton,,,,,,,Nasier Ford,Nico Golla,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:16,1576,7,0,-7,3,3,3,,,,,,,
18,Linfield,,LIN,1,,,,3.0,1.0,18.0,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Linfield,,,,,,,11:16,1576,7,0,-7,3,3,3,,,,,,,
19,Linfield,D,LIN,1,,2.0,7.0,1.0,10.0,17.0,Pass,Complete,0.0,,Wyatt Smith,Complete,Connor Morton,,,,Michael Gurr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:06,1446,7,0,-7,3,2,3,Holding,LIN,,,,,10.0
20,Linfield,D,LIN,1,,2.0,8.0,1.0,20.0,27.0,Pass,Complete,20.0,,Wyatt Smith,Complete,Connor McNabb,,,,Colby Rhinelander,Nasier Ford,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,09:06,1446,7,0,-7,3,2,3,,,,,,,
21,Linfield,D,LIN,1,,2.0,9.0,1.0,7.0,7.0,Run,Rush,2.0,Connor Morton,,,,,,,Ashton Barton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:06,1446,7,0,-7,3,2,3,,,,,,,
22,Linfield,D,LIN,1,,2.0,10.0,2.0,5.0,5.0,Pass,Incomplete,0.0,,Wyatt Smith,Incomplete,Connor Morton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:06,1446,7,0,-7,3,2,3,,,,,,,
23,Linfield,D,LIN,1,,2.0,11.0,3.0,5.0,5.0,Run,Rush,3.0,Connor McNabb,,,,,,,Nico Golla,Kalen Davis-White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:06,1446,7,0,-7,3,2,3,,,,,,,
24,Linfield,,LIN,1,,,,3.0,2.0,2.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:06,1446,7,0,-7,3,2,3,False Start ,LIN,,,,,5.0
25,Linfield,,LIN,1,,,,3.0,2.0,2.0,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Linfield,,,,,,,09:06,1446,7,0,-7,3,2,3,,,,,,,
26,Linfield,D,LIN,1,,2.0,12.0,3.0,7.0,7.0,Pass,Complete,3.0,,Wyatt Smith,Complete,Connor McNabb,,,,Jared Elwin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FG,07:00,1320,7,0,-7,3,1,3,,,,,,,
27,Linfield,K,LIN,1,,,,4.0,4.0,4.0,FG Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrew Starkel,20.0,Good,,,,,,,,,,07:00,1320,7,0,-7,3,1,3,,,,,,,
28,Linfield,K,LIN,1,,,,1.0,10.0,-35.0,KO Ret,Touchback,,,,,,,,,,,,,,,,,,,Andrew Starkel,65.0,0.0,Touchback,,,,,,,,,,,,,,,,,,,06:25,1285,10,0,-10,3,1,3,,,,,,,
29,Linfield,O,PLU,1,,2.0,1.0,0.0,10.0,-25.0,Run,Rush,4.0,Malik White,,,,,,,Caiden Biege-Wetherbee,Cutter Hillock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:25,1285,0,10,-10,3,3,1,,,,,,,
30,Linfield,O,PLU,1,,2.0,2.0,2.0,6.0,-29.0,Run,Rush,2.0,Malik White,,,,,,,Ben Baxter,Cutter Hillock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:25,1285,0,10,-10,3,3,1,,,,,,,
31,Linfield,O,PLU,1,,2.0,3.0,3.0,4.0,-31.0,Pass,Incomplete,0.0,,Erik Bainter,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,06:25,1285,0,10,-10,3,3,1,,,,,,,
32,Linfield,K,PLU,1,,,,4.0,4.0,-31.0,Punt,,,,,,,,,,,,,,,,,,,,,,,,,Max Boekenoogen,48.0,21.0,,,,,,,,,,,,,,,06:25,1285,0,10,-10,3,3,1,UNS: Unsportsmanlike Conduct,PLU,,,,,15.0
33,Linfield,D,LIN,1,,3.0,1.0,0.0,10.0,-44.0,Pass,Complete,17.0,,Wyatt Smith,Complete,Connor McNabb,,,,Kalen Davis-White,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,00:00,900,10,0,-10,3,1,3,,,,,,,
34,Linfield,D,LIN,1,,3.0,2.0,1.0,10.0,39.0,Pass,Incomplete,0.0,,Wyatt Smith,Incomplete,Joel Valadez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00,900,10,0,-10,3,1,3,,,,,,,
35,Linfield,D,LIN,1,,3.0,3.0,2.0,10.0,39.0,Pass,Incomplete,0.0,,Wyatt Smith,Incomplete,Devon Murray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00,900,10,0,-10,3,1,3,,,,,,,
